Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,569,1,2025-03-27,TOR,,BAL,L 2-12,CG,4,3,1,1,0,0,1,2,0,0,1,0,.333,.500,1.333,1.833,4,0,0,0,0,0,.000,0.36,0.043,0.36,0.03%,1.80,18.00,25.20,4,2B
2,570,2,2025-03-28,TOR,,BAL,W 8-2,CG,5,5,1,1,0,0,0,0,0,0,0,2,.250,.333,.625,.958,1,0,0,0,0,0,.333,0.81,-0.117,0.77,-0.07%,-0.99,5.00,6.20,4,2B
3,571,3,2025-03-29,TOR,,BAL,L 5-9,CG,5,4,1,1,0,0,1,2,0,0,1,1,.250,.357,.750,1.107,4,0,0,0,0,0,.000,1.04,0.192,1.05,0.12%,1.41,18.00,25.20,4,2B
4,572,4,2025-03-30,TOR,,BAL,W 3-1,CG,4,4,1,1,1,0,0,0,0,0,0,0,.250,.333,.688,1.021,2,0,0,0,0,0,.250,0.91,-0.029,0.84,-0.02%,-0.57,7.00,9.20,4,2B
5,573,5,2025-03-31,TOR,,WSN,W 5-2,CG,4,2,3,2,1,0,1,1,1,1,1,0,.333,.455,.944,1.399,6,0,1,0,0,0,1.000,0.65,0.155,0.57,0.08%,2.01,32.00,43.10,4,2B
6,574,6,2025-04-01,TOR,,WSN,W 5-3,CG,4,4,1,1,0,0,0,0,0,0,0,0,.318,.423,.818,1.241,1,0,0,0,0,0,.250,0.93,-0.029,0.86,-0.02%,-0.35,5.00,6.20,4,2B
7,575,7,2025-04-02,TOR,,WSN,W 4-2,CG,4,4,0,1,0,0,0,1,0,0,0,1,.308,.400,.731,1.131,1,0,0,0,0,0,.333,0.75,0.049,0.72,0.03%,0.00,5.00,6.50,4,2B
8,576,8,2025-04-04,TOR,@,NYM,L 0-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,.267,.353,.633,.986,0,0,0,0,0,0,.000,1.25,-0.116,1.23,-0.07%,-1.11,0.00,0.00,4,2B
9,577,9,2025-04-05,TOR,@,NYM,L 2-3,CG,5,4,0,1,0,0,0,0,0,0,1,2,.265,.359,.588,.947,1,0,0,0,0,0,.500,1.83,-0.123,1.80,-0.07%,-0.39,5.00,6.00,4,2B
10,578,10,2025-04-06,TOR,@,NYM,L 1-2,CG,4,3,0,0,0,0,0,1,0,0,0,2,.243,.349,.541,.889,0,0,1,0,0,0,.000,2.06,0.006,1.95,0.00%,0.19,4.00,6.50,4,2B
11,579,11,2025-04-07,TOR,@,BOS,W 6-2,CG,5,2,2,0,0,0,0,1,2,0,2,0,.231,.354,.513,.867,0,0,0,0,1,0,.000,0.78,0.032,0.79,0.02%,-0.20,20.00,27.90,4,2B
12,580,12,2025-04-08,TOR,@,BOS,W 6-1,7-GF,2,2,0,0,0,0,0,0,0,0,0,0,.220,.340,.488,.828,0,0,0,0,0,0,.000,0.12,-0.007,0.13,0.00%,-0.40,0.00,0.00,6,PH 2B
13,581,13,2025-04-09,TOR,@,BOS,W 2-1 (11),CG(11),4,3,0,2,0,0,0,0,0,0,1,1,.250,.370,.500,.870,2,0,0,0,0,0,1.000,1.90,0.089,2.19,0.06%,1.14,8.00,9.00,4,2B
14,582,14,2025-04-10,TOR,@,BOS,L 3-4 (10),CG(10),5,5,1,0,0,0,0,0,0,0,0,3,.224,.339,.449,.788,0,0,0,0,0,0,.000,1.80,-0.235,2.10,-0.16%,-1.51,2.00,3.20,2,2B
15,583,15,2025-04-12,TOR,@,BAL,L 4-5,CG,4,4,0,1,0,0,0,0,1,0,0,0,.226,.333,.434,.767,1,0,0,0,0,0,.250,1.09,-0.019,1.29,-0.01%,-0.12,8.00,9.00,4,2B
16,584,16,2025-04-13,TOR,@,BAL,W 7-6 (10),CG(10),5,5,2,2,1,0,0,0,1,0,0,0,.241,.338,.448,.787,3,0,0,0,0,0,.400,1.22,0.068,1.39,0.05%,1.07,17.00,21.40,5,2B
17,585,17,2025-04-14,TOR,,ATL,L 4-8,CG,4,3,0,0,0,0,0,0,0,0,1,0,.230,.333,.426,.760,0,0,0,0,0,0,.000,0.36,-0.025,0.38,-0.02%,-0.26,2.00,3.00,4,2B
18,586,18,2025-04-15,TOR,,ATL,W 6-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.215,.316,.400,.716,0,0,0,0,0,0,.000,0.79,-0.077,0.83,-0.05%,-1.15,0.00,0.00,4,2B
19,587,19,2025-04-16,TOR,,ATL,W 3-1,CG,4,4,0,0,0,0,0,0,1,0,0,0,.203,.300,.377,.677,0,0,0,0,0,0,.000,0.67,-0.048,0.70,-0.03%,-0.75,5.00,6.00,4,2B
20,588,20,2025-04-18,TOR,,SEA,W 3-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,.192,.286,.356,.642,0,0,0,0,0,0,.000,0.51,-0.057,0.57,-0.04%,-1.02,0.00,0.00,4,2B
21,589,21,2025-04-19,TOR,,SEA,L 4-8 (12),CG(12),6,6,1,3,1,0,0,0,1,0,0,1,.215,.300,.380,.680,4,0,0,0,0,0,.600,1.58,0.023,1.83,0.02%,0.80,18.00,21.20,4,2B
22,590,22,2025-04-20,TOR,,SEA,L 3-8,CG,5,4,0,0,0,0,0,0,0,0,0,1,.205,.295,.361,.656,0,0,1,0,0,0,.000,1.26,-0.114,1.45,-0.08%,-1.29,2.00,3.00,4,2B
23,591,23,2025-04-21,TOR,@,HOU,L 0-7,CG,3,3,0,0,0,0,0,0,0,0,0,1,.198,.286,.349,.635,0,0,0,0,0,0,.000,0.78,-0.080,0.84,-0.05%,-0.79,0.00,0.00,5,2B
24,592,24,2025-04-22,TOR,@,HOU,L 1-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.189,.275,.333,.608,0,0,0,0,0,0,.000,0.44,-0.044,0.47,-0.03%,-0.51,0.00,0.00,3,2B
25,593,25,2025-04-23,TOR,@,HOU,L 1-3,GS-9,3,3,0,1,0,0,0,0,1,0,0,1,.194,.276,.333,.610,1,0,0,0,0,0,.500,1.07,-0.038,1.12,-0.02%,-0.24,8.00,9.00,5,2B
26,594,26,2025-04-25,TOR,@,NYY,W 4-2,CG,4,2,1,0,0,0,0,0,0,0,1,0,.189,.284,.326,.611,0,0,1,0,0,0,.000,1.69,0.159,1.85,0.11%,0.55,6.00,9.20,5,2B
27,595,27,2025-04-27 (1),TOR,@,NYY,L 2-11,CG,4,3,0,0,0,0,0,0,0,0,1,0,.184,.283,.316,.600,0,0,0,0,0,0,.000,0.68,-0.008,0.79,-0.01%,-0.43,2.00,3.00,6,2B
28,596,28,2025-04-27 (2),TOR,@,NYY,L 1-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,.176,.274,.304,.577,0,1,0,0,0,0,.000,1.16,-0.151,1.25,-0.10%,-1.34,0.00,0.00,5,2B
29,597,29,2025-04-29,TOR,,BOS,L 2-10,CG,3,3,0,0,0,0,0,0,0,0,0,2,.171,.267,.295,.562,0,0,0,0,0,0,.000,0.45,-0.032,0.46,-0.02%,-0.67,0.00,0.00,8,2B
30,598,30,2025-04-30,TOR,,BOS,W 7-6 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,2,.165,.258,.284,.542,0,0,0,0,0,0,.000,0.96,-0.102,0.88,-0.06%,-0.78,0.00,0.00,8,2B
31,599,31,2025-05-01,TOR,,BOS,W 4-2,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.165,.258,.284,.542,0,,0,0,,,,,,,,,0.00,0.00,6,2B
32,600,32,2025-05-02,TOR,,CLE,W 5-3,CG,4,4,0,2,0,0,0,0,0,0,0,0,.177,.266,.292,.558,2,0,0,0,0,0,.500,0.87,0.034,0.86,0.02%,-0.04,6.00,6.00,9,2B
33,601,33,2025-05-03,TOR,,CLE,L 3-5,CG,4,4,0,1,0,0,0,0,1,0,0,0,.179,.265,.291,.556,1,0,0,0,0,0,.250,0.67,-0.036,0.69,-0.02%,-0.75,8.00,9.00,9,2B
34,602,34,2025-05-04,TOR,,CLE,L 4-5,CG,4,4,1,2,0,0,0,2,0,0,0,0,.190,.272,.298,.570,2,0,0,0,0,0,.500,1.49,0.218,1.43,0.13%,1.77,12.00,16.20,9,2B
35,603,35,2025-05-06,TOR,@,LAA,L 3-8,CG,4,4,0,1,1,0,0,0,0,0,0,0,.192,.271,.304,.575,2,0,0,0,0,0,.250,1.03,-0.016,0.95,-0.01%,-0.25,5.00,6.00,9,2B
36,604,36,2025-05-07,TOR,@,LAA,L 4-5,GS-7,3,3,1,1,0,0,0,0,0,0,0,0,.195,.273,.305,.577,1,0,0,0,0,0,.333,1.20,0.063,1.08,0.03%,0.39,5.00,6.20,7,2B
37,605,60,2025-06-03,TOR,,PHI,L 3-8,CG,4,3,0,0,0,0,0,0,0,0,1,0,.191,.272,.298,.570,0,0,0,0,0,0,.000,0.21,-0.006,0.23,0.00%,-0.37,2.00,3.00,9,2B
38,606,61,2025-06-04,TOR,,PHI,W 2-1,CG,3,3,1,2,0,0,0,0,0,0,0,0,.201,.280,.306,.586,2,0,0,0,0,0,.667,1.20,0.062,1.21,0.04%,0.44,8.00,9.20,9,2B
