Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1896,1,2023-03-30,PIT,@,CIN,W 5-4,CG,5,2,0,1,0,0,0,1,0,0,3,0,.500,.800,.500,1.300,1,0,0,0,0,0,.500,1.25,0.165,1.28,0.10%,1.70,3,DH
2,1897,2,2023-04-01,PIT,@,CIN,L 2-6,CG,4,3,1,0,0,0,0,0,0,0,1,1,.200,.556,.200,.756,0,0,0,0,0,0,.000,0.66,-0.049,0.67,-0.03%,-0.49,3,DH
3,1898,3,2023-04-02,PIT,@,CIN,L 1-3,CG,4,3,0,1,1,0,0,0,0,0,1,0,.250,.538,.375,.913,2,0,0,0,0,0,.333,1.28,-0.029,1.33,-0.02%,-0.10,3,RF
4,1899,4,2023-04-03,PIT,@,BOS,W 7-6,7-GF,1,1,0,0,0,0,0,0,0,0,0,1,.222,.500,.333,.833,0,0,0,0,0,0,,1.02,-0.026,0.89,-0.01%,-0.25,3,PH DH
5,1900,5,2023-04-04,PIT,@,BOS,W 4-1,CG,4,2,0,0,0,0,0,0,0,0,2,1,.182,.500,.273,.773,0,0,0,0,0,0,.000,0.81,-0.032,0.74,-0.02%,-0.24,3,RF
6,1901,6,2023-04-05,PIT,@,BOS,W 4-1,CG,5,4,0,2,0,0,0,0,1,0,0,0,.267,.522,.333,.855,2,0,1,0,0,0,.500,0.74,0.065,0.71,0.04%,0.80,3,DH
7,1902,7,2023-04-07,PIT,,CHW,W 13-9,CG,5,5,0,2,0,0,0,0,0,1,0,1,.300,.500,.350,.850,2,0,0,0,0,0,.500,0.60,0.031,0.60,0.02%,-0.16,3,DH
8,1903,8,2023-04-08,PIT,,CHW,L 5-11,CG,5,4,2,3,1,0,1,2,1,0,0,0,.375,.515,.583,1.098,7,0,0,0,1,0,.500,0.61,-0.004,0.61,0.00%,0.95,3,RF
9,1904,10,2023-04-10,PIT,,HOU,L 2-8,CG,4,3,0,0,0,0,0,0,0,0,1,1,.333,.486,.519,1.005,0,0,0,0,0,0,.000,0.33,0.003,0.34,0.00%,0.06,3,RF
10,1905,11,2023-04-11,PIT,,HOU,W 7-4,9-GF,1,1,1,1,0,0,0,0,0,0,0,0,.357,.500,.536,1.036,1,0,0,0,0,0,1.000,2.95,0.073,2.89,0.04%,0.39,9,PH
11,1906,12,2023-04-12,PIT,,HOU,L 0-7,CG,4,3,0,0,0,0,0,0,1,0,1,1,.323,.476,.484,.960,0,0,0,0,0,0,.000,0.61,-0.027,0.61,-0.02%,-0.66,3,DH
12,1907,13,2023-04-13,PIT,@,STL,W 5-0,CG,5,3,1,1,1,0,0,1,0,0,1,1,.324,.468,.500,.968,2,0,0,0,1,0,.333,1.01,0.082,1.11,0.05%,0.57,2,RF
13,1908,14,2023-04-14,PIT,@,STL,L 0-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,.316,.451,.474,.925,1,0,0,0,0,0,.250,1.44,-0.128,1.67,-0.09%,-0.80,3,DH
14,1909,15,2023-04-15,PIT,@,STL,W 6-3 (10),CG(10),5,4,1,1,0,0,1,2,0,0,1,1,.310,.446,.524,.970,4,0,0,0,0,0,.000,1.91,0.208,2.15,0.14%,0.59,3,DH
15,1910,16,2023-04-16,PIT,@,STL,L 4-5 (10),CG(10),5,5,1,1,0,0,0,0,0,0,0,0,.298,.426,.489,.916,1,1,0,0,0,0,.200,1.18,-0.011,1.34,-0.01%,-0.34,3,DH
16,1911,17,2023-04-17,PIT,@,COL,W 14-3,CG,6,6,1,2,0,0,1,1,0,0,0,0,.302,.418,.528,.946,5,0,0,0,0,0,.200,0.14,0.075,0.14,0.05%,-0.26,3,DH
17,1912,19,2023-04-19,PIT,@,COL,W 14-3,GS-9,5,5,2,2,1,0,1,2,0,0,0,1,.310,.417,.586,1.003,6,0,0,0,0,0,.333,0.30,0.127,0.32,0.08%,1.21,3,DH
18,1913,20,2023-04-20,PIT,,CIN,W 4-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.290,.395,.548,.943,0,0,0,0,0,0,.000,0.63,-0.024,0.69,-0.02%,-0.64,3,DH
19,1914,21,2023-04-21,PIT,,CIN,W 4-2,CG,4,3,1,0,0,0,0,0,0,0,1,1,.277,.388,.523,.911,0,0,0,0,0,0,.000,0.84,-0.066,0.99,-0.05%,-0.55,3,DH
