Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1074,1,2023-03-30,LAA,@,OAK,L 1-2,CG,4,3,0,0,0,0,0,0,0,0,1,2,.000,.250,.000,.250,0,0,0,0,0,0,.000,1.34,-0.117,1.36,-0.07%,-1.11,4,3B
2,1075,2,2023-04-01,LAA,@,OAK,W 13-1,GS-6,4,3,0,0,0,0,0,1,0,0,0,0,.000,.125,.000,.125,0,0,0,0,1,0,.000,0.49,-0.033,0.46,-0.02%,-1.10,4,3B
3,1076,8,2023-04-08,LAA,,TOR,W 9-5,CG,4,4,1,2,0,0,0,1,0,0,0,0,.200,.250,.200,.450,2,1,0,0,0,0,.500,1.01,-0.016,1.04,-0.01%,-0.09,4,3B
4,1077,9,2023-04-09,LAA,,TOR,L 11-12 (10),GS-9,5,3,1,1,0,0,0,2,0,0,1,0,.231,.353,.231,.584,1,0,1,0,0,0,.333,1.11,0.165,1.17,0.11%,1.65,4,3B
5,1078,11,2023-04-11,LAA,,WSN,W 2-0,CG,4,1,0,0,0,0,0,1,0,0,2,0,.214,.381,.214,.595,0,0,0,0,1,0,.000,0.96,-0.005,0.90,0.00%,0.02,4,3B
6,1079,12,2023-04-12,LAA,,WSN,W 3-2,CG,4,3,0,0,0,0,0,0,0,0,1,0,.176,.360,.176,.536,0,1,0,0,0,0,.000,0.90,0.045,0.90,0.03%,0.57,3,3B
7,1080,13,2023-04-14,LAA,@,BOS,L 3-5,CG,5,4,1,3,0,0,0,1,0,0,1,0,.286,.433,.286,.719,3,0,0,0,0,0,.750,1.11,0.072,1.17,0.05%,0.95,4,3B
8,1081,14,2023-04-15,LAA,@,BOS,L 7-9,CG,5,4,1,1,0,0,0,1,0,0,1,0,.280,.429,.280,.709,1,0,0,0,0,0,.250,1.84,0.011,1.80,0.01%,-0.15,4,3B
9,1082,15,2023-04-16,LAA,@,BOS,L 1-2,CG,3,3,1,1,1,0,0,0,0,0,0,0,.286,.421,.321,.742,2,0,0,0,0,0,.333,1.01,0.008,0.96,0.01%,0.28,4,3B
10,1083,17,2023-04-18,LAA,@,NYY,W 5-2,CG,4,3,1,1,0,0,0,2,0,0,0,1,.290,.405,.323,.727,1,0,0,0,1,0,.333,0.86,0.046,0.85,0.03%,0.30,4,3B
11,1084,18,2023-04-19,LAA,@,NYY,L 2-3 (10),CG(10),5,4,0,1,0,0,0,0,0,0,1,0,.286,.404,.314,.719,1,0,0,0,0,0,.250,1.94,0.024,2.06,0.02%,0.22,4,3B
12,1085,19,2023-04-20,LAA,@,NYY,L 3-9,CG,4,4,0,0,0,0,0,0,0,0,0,2,.256,.373,.282,.655,0,0,0,0,0,0,.000,1.53,-0.157,1.51,-0.09%,-1.37,4,3B
13,1086,20,2023-04-21,LAA,,KCR,W 2-0,CG,4,3,0,0,0,0,0,0,0,0,1,0,.238,.364,.262,.626,0,0,0,0,0,0,.000,0.45,-0.019,0.43,-0.01%,0.20,3,3B
14,1087,21,2023-04-22,LAA,,KCR,L 8-11,CG,4,4,0,0,0,0,0,0,0,0,0,1,.217,.339,.239,.578,0,0,0,0,0,0,.000,0.83,-0.086,0.79,-0.05%,-0.72,4,3B
15,1088,23,2023-04-24,LAA,,OAK,L 10-11 (10),CG(10),5,5,1,2,1,0,0,2,0,0,0,2,.235,.344,.275,.618,3,0,0,0,0,0,.667,1.17,0.043,1.15,0.03%,1.20,4,3B
16,1089,24,2023-04-25,LAA,,OAK,W 5-3,CG,4,2,1,0,0,0,0,0,1,0,2,1,.226,.353,.264,.617,0,0,0,0,0,0,.000,0.69,-0.004,0.65,0.00%,-0.18,4,3B
17,1090,25,2023-04-26,LAA,,OAK,W 11-3,CG,5,5,1,2,0,0,0,0,0,0,0,0,.241,.356,.276,.632,2,0,0,0,0,0,.400,0.40,0.011,0.38,0.01%,-0.44,4,3B
18,1091,26,2023-04-27,LAA,,OAK,W 8-7,CG,5,4,2,2,1,0,0,1,0,0,0,2,.258,.372,.306,.678,3,0,1,0,0,0,1.000,1.01,0.051,1.01,0.03%,0.64,4,3B
19,1092,27,2023-04-28,LAA,@,MIL,L 1-2,CG,4,4,1,1,0,0,0,0,0,0,0,0,.258,.366,.303,.669,1,0,0,0,0,0,.250,1.79,-0.176,1.80,-0.11%,-1.01,4,3B
20,1093,28,2023-04-29,LAA,@,MIL,L 5-7,CG,5,3,0,0,0,0,0,0,1,0,2,0,.246,.368,.290,.658,0,0,0,0,0,0,.000,1.15,-0.047,1.11,-0.03%,-0.48,4,3B
21,1094,30,2023-05-02,LAA,@,STL,W 5-1,CG,4,3,1,1,0,0,0,1,0,0,1,0,.250,.374,.292,.665,1,0,0,0,0,0,.333,0.62,0.055,0.61,0.03%,0.44,4,3B
22,1095,31,2023-05-03,LAA,@,STL,W 6-4,CG,5,4,0,1,0,0,0,1,0,0,1,1,.250,.375,.289,.664,1,0,0,0,0,0,.333,1.25,-0.007,1.31,0.00%,-0.12,4,3B
23,1096,32,2023-05-04,LAA,@,STL,W 11-7,CG,5,3,2,2,0,0,0,0,0,0,1,0,.266,.396,.304,.700,2,0,1,0,0,0,.667,0.50,0.094,0.54,0.06%,1.50,4,3B
24,1097,33,2023-05-05,LAA,,TEX,W 5-4 (10),CG(10),4,4,0,2,0,0,0,0,0,0,0,0,.277,.400,.313,.713,2,0,0,0,0,0,.500,0.96,0.038,1.27,0.03%,0.29,4,3B
25,1098,35,2023-05-07,LAA,,TEX,L 8-16,CG,5,3,1,2,0,0,1,4,0,0,2,0,.291,.418,.360,.779,5,0,0,0,0,0,.500,1.48,0.354,1.98,0.28%,3.60,4,3B
