Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1407,1,2022-04-08,NYY,,BOS,W 6-5 (11),CG(11),5,3,1,1,0,0,1,2,0,0,1,0,.333,.600,1.333,1.933,4,0,1,0,0,1,.000,1.58,0.173,1.55,0.10%,2.04,3,1B
2,1408,2,2022-04-09,NYY,,BOS,W 4-2,CG,4,4,1,1,0,0,1,2,0,0,0,0,.286,.444,1.143,1.587,4,0,0,0,0,0,.000,1.05,0.148,1.06,0.09%,1.04,3,1B
3,1409,3,2022-04-10,NYY,,BOS,L 3-4,GS-9,5,3,1,1,0,0,0,2,0,0,2,1,.300,.500,.900,1.400,1,0,0,0,0,0,.500,1.67,0.100,1.70,0.06%,1.25,2,1B
4,1410,4,2022-04-11,NYY,,TOR,L 0-3,CG,4,2,0,0,0,0,0,0,0,0,1,1,.250,.500,.750,1.250,0,0,1,0,0,0,.000,0.67,0.025,0.70,0.02%,0.20,2,1B
5,1411,5,2022-04-12,NYY,,TOR,W 4-0,CG,4,4,0,1,1,0,0,0,0,0,0,1,.250,.455,.688,1.142,2,0,0,0,0,0,.333,0.49,-0.037,0.48,-0.02%,-1.10,3,DH
6,1412,6,2022-04-13,NYY,,TOR,L 4-6,CG,5,4,1,2,0,0,1,1,0,0,1,1,.300,.481,.800,1.281,5,0,0,0,0,0,.500,1.05,0.105,1.08,0.07%,1.05,1,1B
7,1413,7,2022-04-14,NYY,,TOR,W 3-0,CG,4,4,0,0,0,0,0,0,0,0,0,1,.250,.419,.667,1.086,0,0,0,0,0,0,.000,0.47,-0.041,0.48,-0.03%,-0.66,3,1B
8,1414,8,2022-04-15,NYY,@,BAL,L 1-2 (11),CG(11),5,4,0,0,0,0,0,0,0,0,0,1,.214,.389,.571,.960,0,0,1,0,0,0,.000,1.52,-0.113,1.53,-0.07%,-0.35,1,1B
9,1415,9,2022-04-16,NYY,@,BAL,W 5-2,CG,5,4,0,1,0,0,0,1,0,0,0,0,.219,.390,.531,.921,1,0,1,0,0,0,.250,1.35,0.108,1.37,0.07%,0.10,3,1B
10,1416,10,2022-04-17,NYY,@,BAL,L 0-5,7-GF,1,1,0,0,0,0,0,0,0,0,0,1,.212,.381,.515,.896,0,0,0,0,0,0,,1.53,-0.038,1.58,-0.02%,-0.22,8,PH 1B
11,1417,11,2022-04-19,NYY,@,DET,W 4-2,CG,5,2,1,0,0,0,0,0,1,0,3,0,.200,.404,.486,.890,0,0,0,0,0,0,.000,0.90,0.053,0.87,0.03%,0.57,3,1B
12,1418,12,2022-04-20,NYY,@,DET,W 5-3,CG,4,4,2,2,1,0,1,2,1,0,0,0,.231,.412,.590,1.002,6,0,0,0,0,0,.333,0.96,0.230,0.95,0.14%,1.80,3,1B
13,1419,13,2022-04-21,NYY,@,DET,L 0-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,.233,.400,.558,.958,1,0,0,0,0,0,.250,2.31,-0.212,2.38,-0.13%,-1.00,3,1B
14,1420,14,2022-04-22,NYY,,CLE,W 4-1,CG,4,4,0,1,0,0,0,0,0,0,0,2,.234,.390,.532,.922,1,0,0,0,0,0,.500,0.50,-0.034,0.50,-0.02%,-0.16,3,1B
