Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,1,2020-09-30,ATL,,CIN,W 1-0 (13),NLWC G1,CG(13),5,5,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,.500,1.96,-0.087,20.37,-0.51%,-0.24,9,3B
2,2,2,2020-10-01,ATL,,CIN,W 5-0,NLWC G2,CG,4,3,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,.000,0.74,-0.074,7.18,-0.39%,-0.49,9,3B
3,3,3,2020-10-06,ATL,,MIA,W 9-5,NLDS G1,CG,4,3,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,.667,0.81,0.089,12.69,0.89%,0.99,9,3B
4,4,4,2020-10-07,ATL,,MIA,W 2-0,NLDS G2,CG,3,3,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1.000,0.67,-0.051,10.77,-0.46%,-0.50,9,3B
5,5,5,2020-10-08,ATL,@,MIA,W 7-0,NLDS G3,CG,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,0.68,-0.086,7.03,-0.53%,-0.75,9,3B
6,6,6,2020-10-12,ATL,@,LAD,W 5-1,NLCS G1,CG,4,4,1,1,0,0,1,1,0,0,0,2,4,0,0,0,0,0,.000,1.67,0.217,43.47,3.70%,-0.03,9,3B LF
7,7,7,2020-10-13,ATL,@,LAD,W 8-7,NLCS G2,CG,5,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,.000,0.38,-0.047,9.89,-0.72%,-0.88,7,3B
8,8,8,2020-10-14,ATL,,LAD,L 3-15,NLCS G3,CG,4,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,.000,0.01,-0.001,0.26,-0.02%,-0.51,7,LF
9,9,9,2020-10-15,ATL,,LAD,W 10-2,NLCS G4,CG,4,4,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,.333,0.57,-0.036,18.15,-0.64%,0.11,7,3B LF
10,10,10,2020-10-16,ATL,,LAD,L 3-7,NLCS G5,CG,4,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.500,0.69,-0.037,16.25,-0.46%,-0.40,7,3B LF
11,11,11,2020-10-17,ATL,@,LAD,L 1-3,NLCS G6,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,1.79,-0.187,79.21,-4.66%,-1.88,7,3B
12,12,12,2020-10-18,ATL,@,LAD,L 3-4,NLCS G7,CG,4,4,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,.333,1.32,0.020,109.58,1.32%,0.40,7,3B LF
13,13,1,2021-10-08,ATL,@,MIL,L 1-2,NLDS G1,CG,4,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.333,1.88,0.015,29.38,0.13%,-0.38,4,3B
14,14,2,2021-10-09,ATL,@,MIL,W 3-0,NLDS G2,CG,4,4,1,2,0,0,1,1,0,0,0,1,5,0,0,0,0,0,.500,0.59,0.044,9.39,0.48%,0.54,4,3B
15,15,3,2021-10-11,ATL,,MIL,W 3-0,NLDS G3,CG,4,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.500,0.58,0.000,12.03,0.00%,-0.48,4,3B
16,16,4,2021-10-12,ATL,,MIL,W 5-4,NLDS G4,CG,4,3,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,.333,1.70,-0.013,37.65,-0.01%,-0.11,4,3B
17,17,5,2021-10-16,ATL,,LAD,W 3-2,NLCS G1,CG,4,4,1,2,0,0,1,2,0,0,0,2,5,0,0,0,0,0,1.000,1.34,0.386,34.98,5.89%,1.49,4,3B
18,18,6,2021-10-17,ATL,,LAD,W 5-4,NLCS G2,CG,4,3,1,1,1,0,0,1,0,0,1,2,2,0,0,0,0,0,1.000,1.61,0.306,42.59,4.93%,0.93,4,3B
19,19,7,2021-10-19,ATL,@,LAD,L 5-6,NLCS G3,CG,5,4,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,.000,1.27,0.009,26.42,0.12%,0.53,4,3B
