Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,177,3,2020-07-25,SFG,@,LAD,W 5-4,GS-8,4,1,1,0,0,0,0,0,0,1,3,0,.000,.750,.000,.750,0,0,0,0,0,0,.000,0.90,0.027,1.03,0.02%,0.13,1,LF
2,178,6,2020-07-29,SFG,,SDP,W 7-6,CG,4,4,0,2,0,0,0,0,1,0,0,2,.400,.625,.400,1.025,2,0,0,0,0,0,1.000,1.25,0.047,1.49,0.03%,-0.11,8,RF
3,179,7,2020-07-30,SFG,,SDP,L 7-12 (10),7-8,1,1,0,1,0,0,0,1,0,0,0,0,.500,.667,.500,1.167,1,0,0,0,0,0,1.000,1.97,0.090,2.38,0.07%,1.00,7,PH
4,180,8,2020-07-31,SFG,,TEX,W 9-2,CG,5,5,0,1,0,0,0,0,0,0,0,1,.364,.500,.364,.864,1,0,0,0,0,0,.250,0.96,-0.054,1.06,-0.04%,-1.30,1,RF
5,181,9,2020-08-01,SFG,,TEX,W 7-3,5-GF,3,3,0,1,0,0,0,0,0,0,0,1,.357,.471,.357,.828,1,0,0,0,0,0,.500,0.56,-0.018,0.62,-0.01%,-1.33,2,PH LF
6,182,10,2020-08-02,SFG,,TEX,L 5-9,GS-6,3,3,0,0,0,0,0,0,0,0,0,0,.294,.400,.294,.694,0,0,0,0,0,0,.000,1.10,-0.071,1.26,-0.05%,-0.70,1,RF
7,183,11,2020-08-03,SFG,@,COL,L 6-7,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.294,.400,.294,.694,0,,0,0,,,,,,,,,9,PR
8,184,13,2020-08-05,SFG,@,COL,W 4-3,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.294,.400,.294,.694,0,,0,0,,,,,,,,,2,RF
9,185,14,2020-08-06,SFG,@,COL,L 4-6,CG,5,5,0,1,0,0,0,0,0,0,0,2,.273,.360,.273,.633,1,1,0,0,0,0,.333,1.13,-0.144,1.41,-0.11%,-1.04,1,LF
10,186,15,2020-08-07,SFG,@,LAD,L 2-7,GS-7,3,2,0,1,0,1,0,0,1,0,1,0,.292,.393,.375,.768,3,0,0,0,0,0,.500,0.73,0.034,0.87,0.03%,0.50,1,RF
11,187,16,2020-08-08,SFG,@,LAD,W 5-4,CG,5,5,2,2,0,0,2,2,0,0,0,2,.310,.394,.586,.980,8,0,0,0,0,0,.000,0.64,0.155,0.73,0.11%,1.23,1,RF
12,188,17,2020-08-09,SFG,@,LAD,L 2-6,CG,3,1,1,0,0,0,0,0,1,0,1,1,.300,.417,.567,.983,0,0,1,0,0,0,,1.16,0.099,1.41,0.07%,0.85,8,RF
13,189,18,2020-08-10,SFG,@,HOU,L 4-6,CG,4,3,1,2,0,0,1,1,1,0,0,1,.333,.450,.667,1.117,5,0,1,0,0,0,1.000,0.78,0.105,0.82,0.07%,1.72,7,RF
14,190,19,2020-08-11,SFG,@,HOU,W 7-6 (10),CG(10),5,5,0,2,0,0,0,0,1,0,0,1,.342,.444,.632,1.076,2,0,0,0,0,0,.500,1.62,0.051,1.63,0.03%,0.32,6,RF
15,191,21,2020-08-14,SFG,,OAK,L 7-8 (10),10-GF(10),0,0,0,0,0,0,0,0,0,0,0,0,.342,.444,.632,1.076,0,,0,0,,,,,,,,,7,PR DH
16,192,22,2020-08-15,SFG,,OAK,L 6-7,CG,4,3,1,0,0,0,0,0,0,0,1,2,.317,.429,.585,1.014,0,0,0,0,0,0,.000,0.91,-0.019,0.86,-0.01%,-0.43,1,DH
17,193,26,2020-08-19,SFG,,LAA,W 7-2,CG,4,3,2,2,0,0,1,2,0,0,1,0,.341,.453,.659,1.112,5,0,0,0,0,0,.500,0.67,0.154,0.45,0.06%,2.31,1,DH
18,194,27,2020-08-20,SFG,,LAA,W 10-5,CG,5,5,2,2,1,0,0,0,1,0,0,0,.347,.448,.653,1.101,3,0,0,0,0,0,.400,0.50,0.029,0.40,0.01%,0.19,1,DH
19,195,28,2020-08-21,SFG,,ARI,W 6-2,GS-1,1,0,0,0,0,0,0,0,0,0,1,0,.347,.458,.653,1.111,0,0,0,0,0,0,,0.87,0.035,0.91,0.02%,0.39,1,DH
20,196,40,2020-09-05,SFG,,ARI,W 4-3,CG,5,5,0,0,0,0,0,0,0,0,0,2,.315,.422,.593,1.014,0,0,0,0,0,0,.000,0.89,-0.112,1.30,-0.10%,-1.60,1,DH
21,197,41,2020-09-06,SFG,,ARI,W 4-2,CG,4,4,1,2,1,0,0,0,0,0,0,0,.328,.426,.603,1.030,3,0,0,0,0,0,.500,0.97,0.032,1.40,0.03%,0.32,1,DH
22,198,43,2020-09-08,SFG,,SEA,W 6-5,8-9,0,0,0,0,0,0,0,0,1,0,0,0,.328,.426,.603,1.030,0,,0,0,,,,0.54,0.008,0.82,0.01%,0.09,7,PR
23,199,49,2020-09-17,SFG,,SEA,W 6-4,GS-7,3,2,0,0,0,0,0,0,0,0,1,0,.317,.423,.583,1.006,0,0,0,0,0,0,.000,1.06,-0.014,1.84,-0.02%,-0.13,1,DH
24,200,51,2020-09-19,SFG,@,OAK,L 0-6,CG,4,4,0,0,0,0,0,0,0,0,0,1,.297,.400,.547,.947,0,0,0,0,0,0,.000,0.85,-0.094,1.47,-0.10%,-0.96,1,DH
25,201,52,2020-09-20,SFG,@,OAK,W 14-2,CG,6,5,2,2,0,0,0,0,0,0,1,1,.304,.407,.536,.944,2,0,0,0,0,0,.500,0.27,-0.043,0.57,-0.05%,-0.61,1,DH
26,202,54,2020-09-22,SFG,,COL,W 5-2,CG,5,2,2,2,0,0,1,1,1,0,3,0,.324,.442,.592,1.033,5,0,0,0,0,0,1.000,0.75,0.182,1.80,0.26%,2.45,1,DH
27,203,55,2020-09-23,SFG,,COL,W 7-2,CG,5,5,0,0,0,0,0,0,0,0,0,1,.303,.418,.553,.970,0,0,0,0,0,0,.000,0.74,-0.099,1.67,-0.13%,-1.35,1,DH
28,204,56,2020-09-24,SFG,,COL,L 4-5 (11),CG(11),6,4,1,1,0,0,0,0,0,0,1,1,.300,.417,.538,.954,1,1,0,1,0,0,.333,2.36,-0.495,4.09,-0.52%,-0.60,1,DH
29,205,58,2020-09-25 (2),SFG,,SDP,L 5-6 (7),6-6,1,0,1,0,0,0,0,0,0,0,1,0,.300,.423,.538,.960,0,0,0,0,0,0,,2.05,0.047,3.88,0.05%,0.21,4,PH
30,206,59,2020-09-26,SFG,,SDP,L 2-6,8-9,1,0,1,0,0,0,0,0,0,0,1,0,.300,.429,.538,.966,0,0,0,0,0,0,,1.09,0.051,3.24,0.09%,0.39,9,PH
31,207,60,2020-09-27,SFG,,SDP,L 4-5,CG,5,5,0,0,0,0,0,0,0,0,0,3,.282,.408,.506,.914,0,0,0,0,0,0,.000,1.42,-0.180,7.64,-0.58%,-1.07,1,DH
,,,,,,,17-14,,104,85,18,24,2,1,5,7,8,1,16,22,.282,.408,.506,.914,43,2,2,1,0,0,.328,0.99,-0.197,1.68,-0.75%,0.86,,
