Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,68,1,2024-03-29,MIL,@,NYM,W 3-1,CG,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,.333,0.58,-0.031,0.55,-0.02%,-0.41,3.00,3.00,6,CF
2,69,8,2024-04-07,MIL,,SEA,W 12-4,CG,4,4,1,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,.333,0.43,0.037,0.42,0.02%,-0.44,5.00,6.20,9,CF
3,70,10,2024-04-09,MIL,@,CIN,W 9-5,CG,5,5,2,3,0,0,0,3,1,0,0,0,.385,.385,.385,.769,3,0,0,0,0,0,.600,0.65,0.157,0.70,0.10%,1.58,24.00,31.90,9,CF
4,71,11,2024-04-10,MIL,@,CIN,W 7-2,CG,4,2,2,1,0,0,1,1,1,0,1,1,.400,.471,.600,1.071,4,0,1,0,0,0,,0.40,0.032,0.47,0.02%,1.53,25.00,33.90,7,CF
5,72,12,2024-04-12,MIL,@,BAL,W 11-1,2-GF,4,3,1,1,0,0,0,0,0,0,1,1,.389,.476,.556,1.032,1,0,0,0,0,0,.500,0.30,0.013,0.33,0.01%,0.36,7.00,9.20,3,CF
6,73,13,2024-04-13,MIL,@,BAL,W 11-5,CG,5,4,0,0,0,0,0,0,0,0,1,1,.318,.423,.455,.878,0,0,0,0,0,0,.000,0.66,-0.005,0.72,0.00%,-0.47,2.00,3.00,9,CF
7,74,14,2024-04-14,MIL,@,BAL,L 4-6,CG,4,4,2,3,0,0,1,1,0,0,0,1,.385,.467,.615,1.082,6,0,0,0,0,0,1.000,1.64,0.323,1.80,0.21%,1.82,22.00,27.90,9,CF
8,75,15,2024-04-15,MIL,,SDP,L 3-7,CG,4,4,0,1,0,0,0,0,0,0,0,1,.367,.441,.567,1.008,1,0,0,0,0,0,.333,0.42,-0.007,0.46,0.00%,-0.25,3.00,3.00,8,CF
9,76,16,2024-04-16,MIL,,SDP,L 3-6,CG,4,4,0,0,0,0,0,0,0,0,0,2,.324,.395,.500,.895,0,0,0,0,0,0,.000,0.63,-0.067,0.69,-0.04%,-0.75,0.00,0.00,6,CF
10,77,17,2024-04-17,MIL,,SDP,W 1-0,CG,3,3,0,1,0,0,0,1,0,0,0,1,.324,.390,.486,.877,1,0,0,0,0,0,.500,1.51,0.234,1.67,0.16%,0.67,5.00,6.50,9,CF
