Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,529,1,2024-03-28,TOR,@,TBR,W 8-2,CG,5,4,1,2,1,0,0,2,0,0,1,1,.500,.600,.750,1.350,3,0,0,0,0,0,.667,0.38,0.013,0.37,0.01%,1.90,16.00,22.20,3,SS
2,530,2,2024-03-29,TOR,@,TBR,L 2-8,CG,4,4,0,0,0,0,0,0,0,0,0,1,.250,.333,.375,.708,0,0,0,0,0,0,.000,0.62,-0.063,0.66,-0.04%,-0.88,0.00,0.00,3,SS
3,531,3,2024-03-30,TOR,@,TBR,L 1-5,CG,4,4,0,0,0,0,0,0,0,0,0,0,.167,.231,.250,.481,0,0,0,0,0,0,.000,1.01,-0.095,1.01,-0.06%,-0.89,0.00,0.00,3,SS
4,532,6,2024-04-02,TOR,@,HOU,W 2-1,CG,4,4,0,1,0,0,0,0,0,0,0,0,.188,.235,.250,.485,1,1,0,0,0,0,.250,1.62,-0.261,1.44,-0.14%,-0.89,3.00,3.00,3,SS
5,533,7,2024-04-03,TOR,@,HOU,L 0-8,GS-8,4,4,0,0,0,0,0,0,0,0,0,1,.150,.190,.200,.390,0,0,0,0,0,0,.000,0.73,-0.073,0.67,-0.04%,-0.85,0.00,0.00,3,SS
6,534,8,2024-04-05,TOR,@,NYY,W 3-0,CG,5,5,0,0,0,0,0,0,0,0,0,1,.120,.154,.160,.314,0,0,0,0,0,0,.000,0.95,-0.143,0.87,-0.08%,-1.80,0.00,0.00,3,SS
7,535,9,2024-04-06,TOR,@,NYY,L 8-9,CG,5,4,1,2,1,0,0,0,0,0,1,1,.172,.226,.241,.467,3,0,0,0,0,0,.667,0.67,0.007,0.66,0.00%,0.86,12.00,15.20,3,SS
8,536,10,2024-04-07,TOR,@,NYY,L 3-8,CG,5,2,0,1,1,0,0,1,0,0,2,1,.194,.306,.290,.596,2,0,1,0,0,0,1.000,1.14,0.146,1.09,0.08%,1.50,13.00,18.50,3,SS
9,537,11,2024-04-08,TOR,,SEA,W 5-2,CG,4,4,1,1,1,0,0,0,0,0,0,1,.200,.300,.314,.614,2,0,0,0,0,0,.333,0.48,0.055,0.40,0.03%,0.31,7.00,9.20,3,SS
10,538,12,2024-04-09,TOR,,SEA,W 5-3,CG,4,4,1,1,0,0,1,2,0,0,0,1,.205,.295,.385,.680,4,1,0,0,0,0,.000,0.53,0.124,0.47,0.07%,0.98,16.00,22.20,3,SS
