Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,151,1,2023-03-30,KCR,,MIN,L 0-2,CG,4,2,0,0,0,0,0,0,0,0,2,1,.000,.500,.000,.500,0,0,0,0,0,0,.000,1.46,0.068,1.46,0.04%,0.35,1,SS
2,152,2,2023-04-01,KCR,,MIN,L 0-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,.000,.250,.000,.250,0,0,0,0,0,0,.000,1.17,-0.117,1.11,-0.07%,-0.98,1,SS
3,153,3,2023-04-02,KCR,,MIN,L 4-7,CG,4,4,0,0,0,0,0,0,0,0,0,2,.000,.167,.000,.167,0,0,0,0,0,0,.000,1.07,-0.153,0.99,-0.09%,-1.48,2,SS
4,154,4,2023-04-03,KCR,,TOR,W 9-5,CG,4,3,1,2,0,0,0,2,1,0,1,0,.154,.313,.154,.466,2,0,0,0,0,0,.667,0.49,0.113,0.39,0.05%,1.69,3,DH
5,155,5,2023-04-04,KCR,,TOR,L 1-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,.118,.250,.118,.368,0,0,0,0,0,0,.000,0.77,-0.080,0.61,-0.04%,-0.72,1,SS
6,156,6,2023-04-05,KCR,,TOR,L 0-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.095,.208,.095,.304,0,0,0,0,0,0,.000,1.49,-0.184,1.15,-0.09%,-1.71,1,SS
7,157,7,2023-04-06,KCR,,TOR,L 3-6,CG,5,5,1,2,0,0,1,1,0,0,0,1,.154,.241,.269,.511,5,0,0,0,0,0,.333,0.53,-0.034,0.39,-0.02%,0.61,1,SS
8,158,8,2023-04-07,KCR,@,SFG,W 3-1,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.148,.233,.259,.493,0,0,0,0,0,0,.000,1.39,-0.074,0.91,-0.03%,-0.78,2,PH SS
9,159,9,2023-04-08,KCR,@,SFG,W 6-5,CG,4,4,1,1,0,0,1,1,0,0,0,2,.161,.235,.355,.590,4,0,0,0,0,0,.000,0.86,-0.020,0.59,-0.01%,0.24,1,SS
10,160,10,2023-04-09,KCR,@,SFG,L 1-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.143,.211,.314,.525,0,0,0,0,0,0,.000,0.80,-0.085,0.60,-0.04%,-0.75,2,SS
11,161,11,2023-04-10,KCR,@,TEX,L 2-11,CG,4,3,1,1,0,0,0,0,1,0,1,1,.158,.238,.316,.554,1,0,0,0,0,0,.500,0.81,0.054,0.63,0.03%,0.35,1,SS
12,162,12,2023-04-11,KCR,@,TEX,L 5-8 (10),CG(10),5,5,1,2,0,0,0,1,0,0,0,0,.186,.255,.326,.581,2,0,0,0,0,0,.400,1.95,0.074,1.39,0.03%,0.73,1,SS
13,163,13,2023-04-12,KCR,@,TEX,W 10-1,CG,5,5,1,3,0,1,0,1,3,0,0,0,.229,.288,.396,.684,5,0,0,0,0,0,.600,0.40,0.072,0.28,0.03%,1.82,2,SS
14,164,14,2023-04-14,KCR,,ATL,L 3-10,CG,4,4,0,3,0,0,0,0,0,0,0,0,.269,.321,.423,.745,3,0,0,0,0,0,.750,0.61,0.081,0.40,0.03%,1.21,2,SS
15,165,15,2023-04-15,KCR,,ATL,L 3-9,CG,5,5,2,3,2,0,0,0,0,0,0,1,.298,.344,.474,.818,5,0,0,0,0,0,.750,0.92,0.014,0.51,0.01%,1.03,1,SS
16,166,16,2023-04-16,KCR,,ATL,L 4-5,CG,5,5,1,0,0,0,0,0,0,0,0,2,.274,.318,.435,.754,0,1,0,0,0,0,.000,1.90,-0.280,1.12,-0.10%,-2.03,1,SS
17,167,17,2023-04-17,KCR,,TEX,L 0-4,CG,4,3,0,0,0,0,0,0,0,0,1,0,.262,.314,.415,.730,0,0,0,0,0,0,.000,0.73,-0.043,0.40,-0.01%,-0.44,1,DH
18,168,18,2023-04-18,KCR,,TEX,L 2-12,CG,4,4,1,1,0,1,0,0,0,0,0,0,.261,.311,.435,.746,3,0,0,0,0,0,.250,0.88,0.017,0.45,0.01%,0.19,1,SS
19,169,19,2023-04-19,KCR,,TEX,L 3-12,CG,4,4,1,1,0,0,1,1,0,0,0,0,.260,.308,.466,.773,4,0,0,0,0,0,.000,0.62,0.033,0.27,0.01%,0.28,1,SS
20,170,20,2023-04-21,KCR,@,LAA,L 0-2,CG,4,4,0,1,0,0,0,0,0,0,0,3,.260,.305,.455,.759,1,0,0,0,0,0,1.000,1.14,-0.039,0.45,-0.01%,-0.53,1,SS
21,171,21,2023-04-22,KCR,@,LAA,W 11-8,CG,5,5,0,1,0,0,0,1,0,0,0,1,.256,.299,.439,.738,1,0,0,0,0,0,.250,1.40,-0.113,0.50,-0.02%,-0.15,1,SS
22,172,22,2023-04-23,KCR,@,LAA,L 3-4,CG,4,4,1,1,0,0,1,1,0,0,0,0,.256,.297,.465,.762,4,0,0,0,0,0,.000,0.97,-0.023,0.41,-0.01%,-0.22,1,SS
23,173,23,2023-04-24,KCR,@,ARI,L 4-5,CG,5,4,0,0,0,0,0,0,0,1,1,2,.244,.292,.444,.736,0,0,0,0,0,0,.000,1.63,-0.209,0.57,-0.04%,-1.44,1,SS
24,174,24,2023-04-25,KCR,@,ARI,W 5-4,CG,5,5,1,2,1,0,0,0,0,0,0,1,.253,.297,.453,.750,3,0,0,0,0,0,.500,0.65,0.036,0.20,0.01%,0.43,1,SS
25,175,25,2023-04-26,KCR,@,ARI,L 0-2,CG,4,4,0,1,0,0,0,0,0,0,0,1,.253,.295,.444,.740,1,0,0,0,0,0,.333,1.06,-0.070,0.38,-0.02%,-0.74,1,SS
26,176,26,2023-04-27,KCR,@,MIN,L 1-7,CG,4,4,0,0,0,0,0,0,0,0,0,2,.243,.284,.427,.712,0,0,0,0,0,0,.000,0.49,-0.054,0.20,-0.01%,-1.03,1,DH
27,177,27,2023-04-28,KCR,@,MIN,L 6-8,CG,5,5,2,1,1,0,0,1,1,0,0,0,.241,.281,.426,.707,2,0,0,0,0,0,.200,1.04,-0.040,0.34,-0.01%,-0.09,1,SS
28,178,28,2023-04-29,KCR,@,MIN,W 3-2,CG,5,4,1,0,0,0,0,0,1,0,1,3,.232,.277,.411,.688,0,0,0,0,0,0,.000,1.72,-0.001,0.53,0.00%,-0.82,1,SS
