Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,92,2021-07-18,LAA,,SEA,L 4-7,CG,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.75,-0.091,0.49,-0.04%,-1.52,7,CF
2,2,93,2021-07-19,LAA,@,OAK,L 1-4,CG,4,4,0,3,1,0,0,1,0,0,0,0,.375,.375,.500,.875,4,0,0,0,0,0,.750,0.75,0.091,0.47,0.03%,1.69,5,CF
3,3,94,2021-07-20,LAA,@,OAK,L 0-6,CG,4,3,0,1,0,0,0,0,1,0,1,1,.364,.417,.455,.871,1,0,0,0,0,0,.500,0.88,0.007,0.44,0.00%,0.01,5,CF
4,4,95,2021-07-22,LAA,@,MIN,W 3-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.267,.313,.333,.646,0,0,0,0,0,0,.000,0.71,-0.076,0.24,-0.02%,-0.69,6,CF
5,5,96,2021-07-23,LAA,@,MIN,L 4-5,CG,4,4,0,1,0,0,0,0,0,0,0,0,.263,.300,.316,.616,1,0,0,0,0,0,.250,0.81,-0.045,0.34,-0.01%,-0.78,6,CF
6,6,97,2021-07-24,LAA,@,MIN,W 2-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.217,.250,.261,.511,0,0,0,0,0,0,.000,0.51,-0.054,0.17,-0.01%,-0.76,6,CF
7,7,98,2021-07-25,LAA,@,MIN,W 6-2,CG,4,3,2,1,1,0,0,1,0,0,1,1,.231,.286,.308,.593,2,0,0,0,0,0,.500,0.82,0.058,0.30,0.01%,0.88,6,CF
8,8,99,2021-07-26,LAA,,COL,W 6-2,CG,4,3,1,1,1,0,0,0,0,0,1,1,.241,.313,.345,.657,2,0,0,0,0,0,.500,0.74,0.000,0.32,0.00%,0.11,6,CF
9,9,100,2021-07-27,LAA,,COL,L 3-12,CG,4,3,0,0,0,0,0,0,0,0,1,2,.219,.306,.313,.618,0,0,0,0,0,0,.000,0.20,0.024,0.10,0.01%,-0.47,6,CF
10,10,101,2021-07-28,LAA,,COL,W 8-7,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.219,.306,.313,.618,0,,0,0,,,,,,,,,4,CF
11,11,102,2021-07-29,LAA,,OAK,L 0-4,CG,4,3,0,0,0,0,0,0,0,0,1,2,.200,.300,.286,.586,0,0,0,0,0,0,.000,0.58,-0.037,0.32,-0.01%,-0.47,6,CF
12,12,103,2021-07-30,LAA,,OAK,L 0-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.179,.273,.256,.529,0,0,0,0,0,0,.000,2.12,-0.226,0.88,-0.06%,-1.42,6,CF
13,13,104,2021-07-31,LAA,,OAK,W 1-0,CG,3,3,0,1,0,0,0,0,0,0,0,1,.190,.277,.262,.539,1,0,0,0,0,0,.500,0.72,-0.013,0.21,0.00%,-0.16,5,CF
14,14,105,2021-08-01,LAA,,OAK,L 3-8,CG,3,2,1,0,0,0,0,0,0,0,1,2,.182,.280,.250,.530,0,0,0,0,0,0,,0.52,-0.010,0.19,0.00%,-0.08,7,CF
15,15,106,2021-08-02,LAA,@,TEX,L 1-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.167,.259,.229,.488,0,0,0,0,0,0,.000,0.98,-0.046,0.26,-0.01%,-0.48,5,CF
16,16,107,2021-08-03,LAA,@,TEX,W 11-3,CG,5,4,1,1,1,0,0,0,0,0,1,2,.173,.271,.250,.521,2,0,0,0,0,0,.500,0.51,-0.017,0.11,0.00%,-1.02,8,CF
17,17,108,2021-08-04,LAA,@,TEX,W 2-1,7-GF,1,1,0,0,0,0,0,0,0,0,0,1,.170,.267,.245,.512,0,0,0,0,0,0,,1.58,-0.068,0.40,-0.01%,-0.59,2,CF
18,18,109,2021-08-05,LAA,@,TEX,W 5-0,CG,4,4,1,0,0,0,0,0,0,0,0,2,.158,.250,.228,.478,0,0,0,0,0,0,.000,0.48,0.016,0.14,0.00%,0.45,6,CF
19,19,110,2021-08-06,LAA,@,LAD,W 4-3 (10),7-GF(10),2,2,0,0,0,0,0,0,0,0,0,1,.153,.242,.220,.463,0,0,0,0,0,0,.000,2.26,-0.043,0.79,-0.01%,-0.34,8,CF
20,20,111,2021-08-07,LAA,@,LAD,L 3-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,.143,.229,.206,.435,0,0,0,0,0,0,.000,1.86,-0.181,0.84,-0.05%,-1.44,7,CF
21,21,112,2021-08-08,LAA,@,LAD,L 2-8,CG,4,2,0,1,0,0,0,0,0,0,2,1,.154,.257,.215,.472,1,0,0,0,0,0,1.000,0.52,0.044,0.17,0.01%,-0.18,7,CF
22,22,113,2021-08-10 (1),LAA,,TOR,W 6-3 (7),6-GF(7),0,0,0,0,0,0,0,0,0,0,0,0,.154,.257,.215,.472,0,,0,0,,,,,,,,,5,CF
23,23,114,2021-08-10 (2),LAA,,TOR,L 0-4 (7),CG(7),3,2,0,1,0,0,0,0,1,0,1,1,.164,.273,.224,.497,1,0,0,0,0,0,1.000,0.95,0.027,0.26,0.00%,0.45,6,CF
24,24,115,2021-08-11,LAA,,TOR,L 2-10,CG,4,4,0,0,0,0,0,0,0,0,0,4,.155,.259,.211,.471,0,0,0,0,0,0,,0.82,-0.083,0.21,-0.01%,-1.17,5,CF
25,25,116,2021-08-12,LAA,,TOR,W 6-3,CG,4,4,1,2,1,0,0,0,0,0,0,0,.173,.271,.240,.511,3,0,0,0,0,0,.500,0.51,0.098,0.08,0.01%,0.77,8,CF
26,26,117,2021-08-13,LAA,,HOU,L 1-4,CG,3,3,1,1,0,0,0,0,0,0,0,2,.179,.273,.244,.516,1,0,0,0,0,0,1.000,0.76,-0.034,0.15,0.00%,-0.28,7,CF
27,27,118,2021-08-14,LAA,,HOU,L 2-8,CG,4,4,0,2,0,0,0,0,1,0,0,1,.195,.283,.256,.539,2,0,0,0,0,0,.667,0.67,0.012,0.09,0.00%,0.52,6,CF
28,28,119,2021-08-15,LAA,,HOU,W 3-1,CG,4,4,0,2,0,0,0,0,0,0,0,2,.209,.292,.267,.559,2,0,0,0,0,0,1.000,1.06,0.016,0.07,0.00%,0.10,6,CF
29,29,120,2021-08-16,LAA,@,NYY,L 1-2,CG,3,2,0,0,0,0,0,0,0,0,1,2,.205,.293,.261,.554,0,0,0,0,0,0,,1.01,-0.023,0.10,0.00%,-0.21,7,CF
30,30,121,2021-08-17,LAA,@,DET,W 8-2,CG,5,5,0,2,1,0,0,1,0,0,0,3,.215,.298,.280,.578,3,0,0,0,0,0,1.000,2.17,-0.069,0.09,0.00%,-0.36,5,CF
31,31,122,2021-08-18,LAA,@,DET,W 3-1,CG,4,4,0,1,0,0,0,0,0,0,0,2,.216,.296,.278,.575,1,0,0,0,0,0,.500,0.66,0.002,0.07,0.00%,-0.12,7,CF
32,32,123,2021-08-19,LAA,@,DET,W 13-10,CG,6,5,2,3,0,2,0,3,0,0,1,1,.235,.316,.333,.649,7,0,0,0,0,0,.750,0.78,0.321,0.11,0.03%,3.13,7,CF
33,33,124,2021-08-20,LAA,@,CLE,L 1-9,CG,3,3,0,0,0,0,0,0,0,0,0,2,.229,.308,.324,.632,0,0,0,0,0,0,.000,0.35,-0.027,0.05,0.00%,-0.46,7,CF
34,34,125,2021-08-21,LAA,@,CLE,L 1-5,CG,3,3,0,1,1,0,0,0,0,0,0,2,.231,.308,.333,.642,2,0,0,0,0,0,1.000,0.63,0.002,0.05,0.00%,0.75,7,CF
35,35,126,2021-08-22,LAA,@,CLE,L 0-3,CG,3,2,0,0,0,0,0,0,0,0,1,1,.227,.309,.327,.636,0,0,0,0,0,0,.000,0.82,0.003,0.05,0.00%,-0.02,7,CF
36,36,127,2021-08-24,LAA,@,BAL,W 14-8,CG,6,6,2,4,0,0,0,2,0,0,0,1,.250,.326,.345,.670,4,0,0,0,0,0,.800,0.47,0.117,0.03,0.00%,1.90,7,CF
37,37,128,2021-08-25,LAA,@,BAL,L 6-10,CG,4,4,1,3,0,0,1,5,0,1,0,1,.267,.338,.383,.722,6,0,0,0,0,0,1.000,1.26,0.198,0.08,0.01%,2.48,7,CF
