Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,41,2023-05-16,CLE,@,CHW,L 3-8,6-GF,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,1,1,0,0,0,0,.500,0.62,-0.038,0.52,-0.02%,-0.93,3,PH 3B
2,2,42,2023-05-17,CLE,@,CHW,L 2-7,CG,4,4,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,.333,0,1,0,0,0,0,.000,0.79,-0.148,0.64,-0.07%,-1.59,7,SS
3,3,43,2023-05-18,CLE,@,CHW,W 3-1,CG,4,4,0,1,0,0,0,1,0,0,0,0,.200,.200,.200,.400,1,0,0,0,0,0,.250,1.10,0.104,0.86,0.05%,0.50,7,3B
4,4,57,2023-06-02,CLE,@,MIN,L 0-1,CG,4,4,0,1,0,0,0,0,0,0,0,1,.214,.214,.214,.429,1,0,0,0,0,0,.333,1.42,-0.075,1.02,-0.03%,-0.33,6,SS
5,5,109,2023-08-02,CLE,@,HOU,L 2-3,CG,4,3,1,1,0,0,0,0,0,0,1,1,.235,.278,.235,.513,1,1,0,0,0,0,.500,1.78,-0.181,1.60,-0.10%,-0.57,6,3B
6,6,110,2023-08-04,CLE,,CHW,W 4-2,CG,4,4,0,1,0,0,0,0,0,0,0,2,.238,.273,.238,.511,1,0,0,0,0,0,.500,0.59,-0.061,0.46,-0.03%,-0.75,7,SS
7,7,111,2023-08-05,CLE,,CHW,L 4-7,CG,4,4,0,0,0,0,0,0,0,0,0,2,.200,.231,.200,.431,0,1,0,0,0,0,.000,1.07,-0.153,0.87,-0.07%,-1.21,6,SS 3B
8,8,112,2023-08-06,CLE,,CHW,L 3-5,CG,3,3,1,1,1,0,0,0,0,0,0,1,.214,.241,.250,.491,2,0,0,0,0,0,.500,0.72,0.056,0.52,0.03%,0.36,7,3B
9,9,113,2023-08-07,CLE,,TOR,L 1-3,CG,4,4,1,2,0,0,0,0,0,0,0,1,.250,.273,.281,.554,2,0,0,0,0,0,.667,2.42,-0.132,1.56,-0.05%,-0.63,7,SS
10,10,114,2023-08-08,CLE,,TOR,W 1-0,CG,3,3,0,1,1,0,0,0,0,0,0,1,.257,.278,.314,.592,2,0,0,0,0,0,.500,0.62,-0.001,0.33,0.00%,-0.07,6,SS
11,11,115,2023-08-09,CLE,,TOR,L 0-1,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.250,.270,.306,.576,0,0,0,0,0,0,.000,2.44,-0.069,1.48,-0.03%,-0.23,9,PH SS
12,12,116,2023-08-10,CLE,,TOR,W 4-3,CG,4,4,1,2,2,0,0,2,0,0,0,0,.275,.293,.375,.668,4,0,0,0,0,0,.500,1.07,0.169,0.62,0.06%,1.76,1,3B
13,13,117,2023-08-11,CLE,@,TBR,L 8-9,CG,5,4,2,1,0,0,0,0,0,0,1,2,.273,.304,.364,.668,1,0,0,0,0,0,.500,1.74,0.060,1.20,0.02%,0.63,7,SS
14,14,118,2023-08-12,CLE,@,TBR,L 5-6,CG,5,4,0,0,0,0,0,1,0,0,0,0,.250,.275,.333,.608,0,0,0,0,1,0,.000,0.73,-0.074,0.50,-0.03%,-1.37,2,SS
15,15,121,2023-08-16,CLE,@,CIN,L 2-7,CG,4,4,0,3,0,0,0,0,0,0,0,0,.288,.309,.365,.674,3,0,0,0,0,0,.750,0.52,0.031,0.32,0.01%,0.63,5,SS
16,16,122,2023-08-18 (1),CLE,,DET,L 2-4,CG,4,3,0,0,0,0,0,0,0,0,1,3,.273,.305,.345,.651,0,0,0,0,0,0,,1.40,-0.101,0.89,-0.04%,-0.51,7,SS
17,17,123,2023-08-18 (2),CLE,,DET,W 4-1,CG,4,4,1,1,0,0,0,1,0,0,0,3,.271,.302,.339,.641,1,0,0,0,0,0,1.000,2.21,0.168,1.29,0.06%,0.23,6,SS
18,18,125,2023-08-20,CLE,,DET,L 1-4,CG,3,3,0,0,0,0,0,0,0,0,0,2,.258,.288,.323,.610,0,0,0,0,0,0,.000,0.80,-0.064,0.47,-0.02%,-0.51,9,SS
19,19,127,2023-08-23,CLE,,LAD,L 1-6,CG,4,4,0,0,0,0,0,0,0,0,0,3,.242,.271,.303,.574,0,0,0,0,0,0,.000,1.01,-0.114,0.52,-0.04%,-1.17,8,SS
20,20,159,2023-09-27,CLE,,CIN,W 4-3,CG,3,2,1,1,0,0,0,1,0,0,1,0,.250,.288,.309,.596,1,0,0,0,0,0,.500,0.51,0.029,0.00,0.00%,0.29,6,SS
21,21,160,2023-09-29,CLE,@,DET,W 7-5,CG,5,5,1,2,2,0,0,1,0,0,0,2,.260,.295,.342,.637,4,0,0,0,0,0,.667,0.57,0.096,0.00,0.00%,0.47,7,SS
22,22,161,2023-09-30,CLE,@,DET,L 0-8,CG,4,4,0,1,0,0,0,0,0,0,0,1,.260,.293,.338,.630,1,0,0,0,0,0,.333,1.02,-0.083,0.00,0.00%,-0.78,6,SS
23,23,162,2023-10-01,CLE,@,DET,L 2-5,CG,4,4,0,0,0,0,0,1,0,0,0,2,.247,.279,.321,.600,0,0,0,0,0,0,.000,0.98,-0.068,0.00,0.00%,-0.68,6,SS
,,,,,,,7-16,,86,81,9,20,6,0,0,8,0,0,4,27,.247,.279,.321,.600,26,4,0,0,1,0,.364,1.13,-0.649,0.68,-0.30%,-6.46,,
