Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,118,2022-08-17,NYM,@,ATL,W 9-7,CG,4,4,1,1,0,0,1,2,0,0,0,0,.250,.250,1.000,1.250,4,0,0,0,0,0,.000,0.81,0.030,1.06,0.02%,0.00,8,3B
2,2,119,2022-08-18,NYM,@,ATL,L 2-3,CG,3,3,0,1,0,0,0,0,0,0,0,1,.286,.286,.714,1.000,1,0,0,0,0,0,.500,1.57,-0.014,1.73,-0.01%,0.24,8,3B
3,3,120,2022-08-19,NYM,@,PHI,W 7-2,CG,4,3,0,1,0,0,0,2,0,0,1,1,.300,.364,.600,.964,1,0,0,0,0,0,.500,0.60,0.057,0.47,0.03%,1.72,8,3B
4,4,121,2022-08-20 (1),NYM,@,PHI,W 8-2,CG,4,3,1,0,0,0,0,0,0,0,0,0,.231,.333,.462,.795,0,0,1,0,0,0,.000,1.01,-0.035,0.72,-0.02%,-0.37,8,3B
5,5,122,2022-08-20 (2),NYM,@,PHI,L 1-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.176,.263,.353,.616,0,0,0,0,0,0,.000,1.10,-0.106,0.68,-0.04%,-1.04,8,3B
6,6,123,2022-08-21,NYM,@,PHI,W 10-9,GS-9,5,5,1,0,0,0,0,0,0,0,0,3,.136,.208,.273,.481,0,0,0,0,0,0,.000,1.33,-0.152,1.04,-0.07%,-1.50,8,3B
7,7,124,2022-08-22,NYM,@,NYY,L 2-4,CG,3,2,0,0,0,0,0,0,0,0,1,0,.125,.222,.250,.472,0,0,0,0,0,0,.000,1.02,0.026,0.62,0.01%,0.00,8,3B
8,8,125,2022-08-23,NYM,@,NYY,L 2-4,CG,4,3,0,1,0,0,0,0,0,0,0,0,.148,.233,.259,.493,1,0,0,0,0,0,.333,1.54,0.062,1.19,0.03%,0.29,8,3B
9,9,126,2022-08-25,NYM,,COL,W 3-1,GS-8,4,4,0,1,0,0,0,0,0,0,0,2,.161,.235,.258,.493,1,0,0,0,0,0,.500,0.81,-0.091,0.73,-0.05%,-1.14,8,3B
10,10,127,2022-08-26,NYM,,COL,W 7-6,CG,4,4,1,1,0,0,1,1,0,0,0,0,.171,.237,.343,.580,4,0,0,0,0,0,.000,1.59,-0.021,1.39,-0.01%,0.03,8,3B
11,11,129,2022-08-28,NYM,,COL,L 0-1,CG,3,3,0,1,0,0,0,0,0,0,0,0,.184,.244,.342,.586,1,0,0,0,0,0,.333,1.95,0.049,1.44,0.02%,-0.13,8,3B
,,,,,,,6-5,,42,38,4,7,0,0,2,5,0,0,2,8,.184,.244,.342,.586,13,0,1,0,0,0,.179,1.21,-0.195,1.01,-0.09%,-1.88,,
