Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,120,1,2024-03-29,NYM,,MIL,L 1-3,CG,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.99,-0.075,0.93,-0.04%,-0.55,0.00,0.00,8,3B
2,121,2,2024-03-30,NYM,,MIL,L 6-7,8-GF,1,1,1,1,0,0,1,3,0,0,0,0,.250,.250,1.000,1.250,4,0,0,0,0,0,,0.82,0.074,0.74,0.04%,2.09,18.00,25.70,8,PH 3B
3,122,3,2024-03-31,NYM,,MIL,L 1-4,CG,4,4,0,1,0,0,0,0,0,0,0,2,.250,.250,.625,.875,1,0,0,0,0,0,.500,1.17,-0.066,1.01,-0.03%,-0.66,3.00,3.00,7,3B
4,123,4,2024-04-01,NYM,,DET,L 0-5 (10),GS-9,4,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.500,.750,1,0,0,0,0,0,.250,1.53,-0.085,1.18,-0.04%,-0.74,3.00,3.00,7,3B
5,124,5,2024-04-04 (1),NYM,,DET,L 3-6 (11),CG(11),5,3,0,1,0,0,0,1,0,0,2,1,.267,.353,.467,.820,1,0,0,0,0,0,.500,1.25,-0.068,0.93,-0.03%,0.28,9.00,12.50,5,3B
6,125,6,2024-04-04 (2),NYM,,DET,W 2-1,CG,4,3,1,0,0,0,0,0,0,0,1,1,.222,.333,.389,.722,0,0,0,0,0,0,.000,1.43,-0.019,1.00,-0.01%,-0.29,4.00,6.20,4,3B
7,126,7,2024-04-05,NYM,@,CIN,W 3-2,CG,4,4,0,2,0,0,0,0,0,0,0,0,.273,.360,.409,.769,2,0,0,0,0,0,.500,1.42,-0.028,1.12,-0.01%,-0.32,6.00,6.00,4,3B
8,127,8,2024-04-06,NYM,@,CIN,L 6-9,CG,5,5,1,2,0,0,0,1,0,0,0,1,.296,.367,.407,.774,2,0,0,0,0,0,.500,0.65,-0.005,0.54,0.00%,0.80,10.00,12.70,4,3B
9,128,9,2024-04-07,NYM,@,CIN,W 3-1,CG,4,4,0,1,0,0,0,0,0,0,0,0,.290,.353,.387,.740,1,0,0,0,0,0,.250,0.69,-0.021,0.55,-0.01%,-0.27,3.00,3.00,5,3B
10,129,10,2024-04-08,NYM,@,ATL,W 8-7,CG,5,5,1,3,0,0,0,0,0,0,0,1,.333,.385,.417,.801,3,0,0,0,0,0,.750,1.16,0.078,1.09,0.04%,0.67,11.00,12.20,5,3B
11,130,11,2024-04-09,NYM,@,ATL,L 5-6,CG,4,4,0,1,0,0,0,0,0,0,0,1,.325,.372,.400,.772,1,0,0,0,0,0,.333,0.68,-0.046,0.68,-0.03%,-0.23,3.00,3.00,5,3B
12,131,12,2024-04-11,NYM,@,ATL,W 16-4,CG,5,5,0,1,0,0,0,1,0,0,0,1,.311,.354,.378,.732,1,0,0,0,0,0,.250,0.57,0.088,0.54,0.05%,-0.28,5.00,6.50,5,3B
13,132,13,2024-04-12,NYM,,KCR,W 6-1,CG,4,4,1,2,1,0,0,2,0,0,0,0,.327,.365,.408,.774,3,1,0,0,0,0,.500,0.82,0.049,0.68,0.02%,1.03,14.00,19.20,5,3B
