Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,143,32,2025-05-01,SFG,,COL,L 3-4,8-GF,0,0,0,0,0,0,0,0,0,1,0,0,,,,,0,,0,0,,,,3.33,-0.113,3.67,-0.08%,-0.40,0.00,0.00,3,PR DH
2,144,34,2025-05-03,SFG,,COL,W 6-3,CG,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.07,-0.056,1.18,-0.04%,-0.92,0.00,0.00,9,2B
3,145,36,2025-05-05,SFG,@,CHC,L 2-9,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.03,-0.001,0.03,0.00%,-0.23,0.00,0.00,4,2B
4,146,37,2025-05-06,SFG,@,CHC,W 14-5 (11),GS-11,5,3,1,0,0,0,0,2,0,0,0,2,.000,.000,.000,.000,0,0,0,2,0,0,.000,1.16,0.047,1.33,0.03%,0.06,6.00,10.20,9,2B
5,147,41,2025-05-11,SFG,@,MIN,L 6-7 (10),GS-9,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.71,-0.054,0.80,-0.04%,-0.49,0.00,0.00,9,2B
6,148,76,2025-06-20,SFG,,BOS,L 5-7,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,0,0,,,,,,,,,0.00,0.00,9,PR 2B
7,149,81,2025-06-26,SFG,,MIA,L 5-12,CG,4,4,0,2,1,0,0,2,0,0,0,0,.143,.143,.214,.357,3,0,0,0,0,0,.500,1.01,0.148,1.23,0.11%,0.79,12.00,16.00,8,2B
8,150,82,2025-06-27,SFG,@,CHW,W 3-1,CG,4,2,0,0,0,0,0,0,0,0,2,0,.125,.222,.188,.410,0,0,0,0,0,0,.000,1.01,-0.083,1.11,-0.06%,-1.05,4.00,6.00,9,2B
9,151,83,2025-06-28,SFG,@,CHW,L 0-1,CG,3,3,0,1,0,0,0,0,0,0,0,0,.158,.238,.211,.449,1,0,0,0,0,0,.333,1.64,-0.084,1.87,-0.06%,-0.51,3.00,3.00,9,2B
10,152,84,2025-06-29,SFG,@,CHW,L 2-5,CG,4,3,0,0,0,0,0,0,0,0,1,1,.136,.240,.182,.422,0,0,0,0,0,0,.000,1.62,-0.028,1.83,-0.02%,-0.33,2.00,3.00,9,2B
11,153,85,2025-06-30,SFG,@,ARI,L 2-4,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.136,.240,.182,.422,0,,0,0,,,,,,,,,0.00,0.00,1,PR 3B
12,154,87,2025-07-02,SFG,@,ARI,W 6-5 (10),CG(10),4,4,1,2,1,0,0,1,0,0,0,0,.192,.276,.269,.545,3,0,0,0,0,0,.500,0.88,0.071,0.94,0.05%,1.15,12.00,15.70,9,2B 3B
13,155,88,2025-07-03,SFG,@,ARI,W 7-2,CG,4,4,0,0,0,0,0,0,0,0,0,3,.167,.242,.233,.476,0,0,0,0,0,0,.000,0.28,-0.029,0.31,-0.02%,-0.80,0.00,0.00,8,3B
14,156,89,2025-07-04,SFG,@,ATH,L 2-11,7-GF,1,1,1,1,0,0,1,1,0,0,0,0,.194,.265,.355,.620,4,0,0,0,0,0,,0.00,0.000,0.00,0.00%,1.00,14.00,18.70,2,3B
15,157,90,2025-07-05,SFG,@,ATH,W 7-2,CG,4,4,0,2,1,0,0,2,0,0,0,0,.229,.289,.400,.689,3,0,0,0,0,0,.500,0.32,0.002,0.32,0.00%,1.20,12.00,16.00,9,2B
,,,,,,,6-9,,40,35,3,8,3,0,1,8,0,1,3,7,.229,.289,.400,.689,14,0,0,2,0,0,.259,1.00,-0.180,1.12,-0.11%,-0.54,65.00,88.60,,
