Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,59,2,2022-04-09,MIA,@,SFG,W 2-1,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,,,,,1,LF
2,60,5,2022-04-12,MIA,@,LAA,L 3-4,GS-7,3,1,0,1,0,0,0,0,0,0,2,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,1.000,1.18,0.251,0.96,0.12%,2.13,4,LF
3,61,6,2022-04-14,MIA,,PHI,W 4-3,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0,,0,0,,,,,,,,,1,LF
4,62,7,2022-04-15,MIA,,PHI,W 7-1,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.500,.750,.500,1.250,0,0,0,0,0,0,,0.00,0.000,0.00,0.00%,-0.16,1,LF
5,63,8,2022-04-16,MIA,,PHI,L 3-10,CG,4,3,0,0,0,0,0,0,0,0,1,0,.200,.500,.200,.700,0,1,0,0,0,0,.000,0.23,-0.020,0.22,-0.01%,-1.36,7,CF
6,64,9,2022-04-17,MIA,,PHI,W 11-3,CG,5,4,1,2,0,0,0,1,0,0,1,1,.333,.538,.333,.872,2,0,0,0,0,0,.667,0.25,0.040,0.24,0.02%,-0.18,7,RF
7,65,10,2022-04-19,MIA,,STL,L 1-5,6-GF,2,2,1,1,0,0,1,1,0,0,0,1,.364,.533,.636,1.170,4,0,0,0,0,0,,0.48,0.008,0.43,0.00%,0.65,5,RF
8,66,12,2022-04-21,MIA,,STL,W 5-0,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.364,.533,.636,1.170,0,,0,0,,,,,,,,,3,LF
9,67,13,2022-04-22,MIA,@,ATL,L 0-3,7-7,1,1,0,0,0,0,0,0,0,0,0,1,.333,.500,.583,1.083,0,0,0,0,0,0,,1.61,-0.046,1.38,-0.02%,-0.24,1,PH
10,68,15,2022-04-24,MIA,@,ATL,W 5-4,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.333,.500,.583,1.083,0,,0,0,,,,,,,,,3,LF
11,69,16,2022-04-26,MIA,@,WSN,W 5-2,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.333,.500,.583,1.083,0,,0,0,,,,,,,,,3,LF
12,70,17,2022-04-27,MIA,@,WSN,W 2-1,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.333,.500,.583,1.083,0,,0,0,,,,,,,,,3,LF
13,71,18,2022-04-28,MIA,@,WSN,W 3-2,GS-7,2,2,0,0,0,0,0,0,0,0,0,1,.286,.444,.500,.944,0,0,0,0,0,0,.000,1.36,-0.079,1.35,-0.05%,-0.65,8,CF
14,72,20,2022-04-30,MIA,,SEA,W 3-1,CG,3,2,1,1,0,0,0,1,0,0,1,0,.313,.476,.500,.976,1,0,0,0,0,0,.500,1.30,0.067,1.31,0.04%,0.58,8,CF
15,73,23,2022-05-03,MIA,,ARI,L 4-5,7-GF,0,0,0,0,0,0,0,0,0,0,0,0,.313,.476,.500,.976,0,,0,0,,,,,,,,,2,PR DH
16,74,24,2022-05-04,MIA,,ARI,L 7-8,CG,4,3,0,1,0,0,0,2,0,0,0,1,.316,.440,.474,.914,1,0,0,0,1,0,.333,2.32,0.219,2.29,0.13%,0.02,8,CF
17,75,26,2022-05-06,MIA,@,SDP,L 2-3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.316,.440,.474,.914,0,,0,0,,,,,,,,,3,PR DH
18,76,27,2022-05-07,MIA,@,SDP,W 8-0,CG,4,3,1,1,0,0,0,0,0,0,1,1,.318,.448,.455,.903,1,0,0,0,0,0,.500,0.80,-0.067,0.67,-0.03%,-0.23,7,CF
19,77,28,2022-05-08,MIA,@,SDP,L 2-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.269,.394,.385,.779,0,0,0,0,0,0,.000,0.66,-0.068,0.57,-0.04%,-0.87,6,RF
20,78,29,2022-05-09,MIA,@,ARI,L 3-4,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.269,.394,.385,.779,0,,0,0,,,,,,,,,2,PR DH
21,79,31,2022-05-11,MIA,@,ARI,W 11-3,CG,4,4,1,2,0,0,0,0,0,0,0,1,.300,.405,.400,.805,2,0,0,0,0,0,.667,1.17,0.058,0.87,0.03%,0.35,8,LF
22,80,32,2022-05-13,MIA,,MIL,L 1-2,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,.290,.395,.387,.782,0,0,0,0,0,0,.000,1.15,-0.028,0.91,-0.01%,-0.16,5,RF
23,81,34,2022-05-15,MIA,,MIL,L 3-7,CG,4,4,0,1,1,0,0,0,0,0,0,1,.286,.381,.400,.781,2,0,0,0,0,0,.333,0.90,-0.093,0.75,-0.05%,-0.78,7,RF
24,82,35,2022-05-16,MIA,,WSN,W 8-2,CG,4,4,1,3,2,0,0,0,0,0,0,0,.333,.413,.487,.900,5,1,0,0,0,0,.750,0.66,0.027,0.48,0.01%,-0.06,7,CF
25,83,36,2022-05-17,MIA,,WSN,W 5-1,GS-5,2,1,0,0,0,0,0,0,0,0,0,0,.325,.417,.475,.892,0,0,1,0,0,0,.000,0.84,0.007,0.64,0.00%,0.05,6,CF
26,84,37,2022-05-18,MIA,,WSN,L 4-5 (10),9-GF(10),0,0,0,0,0,0,0,0,0,0,0,0,.325,.417,.475,.892,0,,0,0,,,,,,,,,8,PR LF
27,85,38,2022-05-20,MIA,,ATL,L 3-5,CG,4,4,0,1,0,0,0,1,0,0,0,0,.318,.404,.455,.858,1,0,0,0,0,0,.250,1.84,-0.152,1.46,-0.07%,-0.71,7,CF LF
28,86,39,2022-05-21,MIA,,ATL,L 3-4,CG,4,4,0,0,0,0,0,0,0,0,0,2,.292,.375,.417,.792,0,0,0,0,0,0,.000,1.39,-0.217,0.97,-0.09%,-1.64,7,CF LF
29,87,40,2022-05-22,MIA,,ATL,W 4-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.269,.350,.385,.735,0,0,0,0,0,0,.000,0.67,-0.072,0.43,-0.03%,-1.06,7,LF
30,88,42,2022-05-25,MIA,@,TBR,L 4-5,9-GF,1,1,0,1,0,0,0,0,0,0,0,0,.283,.361,.396,.757,1,0,0,0,0,0,1.000,1.98,0.147,1.18,0.05%,0.87,7,PH
31,89,43,2022-05-27,MIA,@,ATL,L 4-6,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.278,.355,.389,.744,0,0,0,0,0,0,,0.52,-0.014,0.32,-0.01%,-0.11,4,PH RF
32,90,44,2022-05-28,MIA,@,ATL,W 4-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.259,.333,.362,.695,0,0,0,0,0,0,.000,0.80,-0.083,0.44,-0.03%,-0.96,8,RF
33,91,45,2022-05-29,MIA,@,ATL,L 3-6,CG,4,4,0,0,0,0,0,0,0,0,0,3,.242,.314,.339,.653,0,0,0,0,0,0,.000,0.87,-0.085,0.54,-0.03%,-1.07,6,RF
34,92,47,2022-06-01 (1),MIA,@,COL,W 14-1,CG,5,5,2,3,1,0,0,2,0,0,0,0,.269,.333,.373,.706,4,0,0,0,0,0,.600,0.52,-0.003,0.24,0.00%,2.06,7,CF LF
35,93,48,2022-06-01 (2),MIA,@,COL,L 12-13 (10),CG(10),6,5,1,1,0,0,0,0,0,0,1,1,.264,.333,.361,.694,1,0,0,0,0,0,.250,1.67,-0.171,0.90,-0.06%,-0.77,6,CF RF
36,94,49,2022-06-02,MIA,,SFG,W 3-0,CG,3,3,0,0,0,0,0,0,0,0,0,1,.253,.321,.347,.668,0,0,0,0,0,0,.000,0.95,-0.079,0.45,-0.02%,-1.04,7,CF
37,95,50,2022-06-03,MIA,,SFG,L 6-15,8-GF,2,2,0,0,0,0,0,0,0,0,0,0,.247,.314,.338,.652,0,0,0,0,0,0,.000,0.00,0.000,0.00,0.00%,-0.55,3,RF
38,96,53,2022-06-07,MIA,,WSN,W 12-2,2-GF,5,5,1,1,0,0,0,0,0,0,0,1,.244,.308,.329,.637,1,0,0,0,0,0,.250,0.31,0.028,0.12,0.01%,-0.53,6,PH CF RF
39,97,54,2022-06-08,MIA,,WSN,W 2-1 (10),CG(10),4,4,0,1,0,0,0,0,0,0,0,0,.244,.305,.326,.631,1,0,0,0,0,0,.250,2.27,-0.101,0.95,-0.03%,-0.44,9,CF
40,98,55,2022-06-09,MIA,,WSN,W 7-4,CG,4,4,0,0,0,0,0,0,0,0,0,2,.233,.293,.311,.604,0,0,0,0,0,0,.000,0.33,-0.033,0.17,-0.01%,-0.65,9,LF
41,99,56,2022-06-10,MIA,@,HOU,W 7-4,CG,4,4,1,1,0,0,0,0,0,0,0,2,.234,.291,.309,.600,1,0,0,0,0,0,.500,0.46,-0.005,0.25,0.00%,-0.40,9,RF
42,100,57,2022-06-11,MIA,@,HOU,W 5-1,CG,4,3,0,0,0,0,0,1,1,0,1,1,.227,.290,.299,.589,0,0,0,0,0,0,.000,0.97,0.072,0.57,0.03%,0.33,8,CF
43,101,58,2022-06-12,MIA,@,HOU,L 4-9,CG,3,3,1,1,0,0,1,3,0,0,0,0,.230,.291,.330,.621,4,0,0,0,0,0,.000,0.66,0.147,0.42,0.06%,2.31,8,RF
44,102,59,2022-06-13,MIA,@,PHI,L 2-3,CG,3,3,0,0,0,0,0,0,0,0,0,0,.223,.283,.320,.604,0,0,0,0,0,0,.000,1.26,-0.132,0.77,-0.05%,-1.00,9,RF
45,103,60,2022-06-14,MIA,@,PHI,W 11-9,8-GF,2,2,0,0,0,0,0,0,0,0,0,1,.219,.278,.314,.593,0,0,0,0,0,0,.000,1.17,-0.072,0.66,-0.02%,-1.03,5,PH CF
46,104,61,2022-06-15,MIA,@,PHI,L 1-3,CG,3,3,0,0,0,0,0,0,0,0,0,0,.213,.271,.306,.577,0,0,0,0,0,0,.000,1.14,-0.095,0.69,-0.03%,-0.91,9,LF
47,105,62,2022-06-17,MIA,@,NYM,L 4-10,CG,4,4,1,1,0,0,1,1,0,0,0,1,.214,.270,.330,.601,4,0,0,0,0,0,.000,0.45,0.062,0.24,0.02%,0.24,9,CF
48,106,63,2022-06-18,MIA,@,NYM,L 2-3,CG,3,3,0,0,0,0,0,0,0,0,0,1,.209,.264,.322,.586,0,0,0,0,0,0,.000,0.60,-0.045,0.27,-0.01%,-0.40,9,CF
49,107,64,2022-06-19,MIA,@,NYM,W 6-2,CG,4,3,1,1,0,0,0,0,1,0,1,1,.212,.271,.322,.593,1,0,0,0,0,0,.500,1.58,0.121,0.60,0.03%,0.57,7,CF
50,108,65,2022-06-20,MIA,@,NYM,L 0-6,CG,4,3,0,0,0,0,0,0,0,0,1,2,.207,.271,.314,.585,0,0,0,0,0,0,.000,0.80,-0.097,0.36,-0.03%,-0.62,8,CF
51,109,66,2022-06-21,MIA,,COL,W 9-8,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.207,.271,.314,.585,0,,0,0,,,,,,,,,3,PR LF
52,110,67,2022-06-22,MIA,,COL,W 7-4,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.207,.271,.314,.585,0,,0,0,,,,,,,,,3,RF LF
53,111,68,2022-06-23,MIA,,COL,W 3-2,CG,3,3,0,2,0,0,0,0,0,0,0,0,.218,.279,.323,.602,2,0,0,0,0,0,.667,0.92,0.026,0.41,0.01%,0.15,9,CF
54,112,70,2022-06-25,MIA,,NYM,L 3-5,CG,3,3,1,1,0,0,1,1,0,0,0,0,.220,.281,.346,.627,4,0,0,0,0,0,.000,1.30,0.081,0.65,0.02%,0.61,9,RF
55,113,71,2022-06-26,MIA,,NYM,W 3-2,CG,3,3,0,0,0,0,0,0,0,0,0,1,.215,.275,.338,.613,0,0,0,0,0,0,.000,0.85,-0.064,0.31,-0.01%,-0.49,7,RF
56,114,72,2022-06-27,MIA,@,STL,L 0-9,CG,3,3,0,0,0,0,0,0,0,0,0,1,.211,.269,.331,.600,0,0,0,0,0,0,.000,1.14,-0.090,0.53,-0.03%,-0.89,8,LF
57,115,74,2022-06-29,MIA,@,STL,W 4-3,CG,3,3,0,1,1,0,0,0,0,0,0,0,.213,.270,.338,.609,2,1,0,0,0,0,.333,1.54,-0.091,0.57,-0.02%,-0.90,9,LF
58,116,75,2022-07-01,MIA,@,WSN,W 6-3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.213,.270,.338,.609,0,,0,0,,,,,,,,,8,LF
59,117,76,2022-07-02,MIA,@,WSN,W 5-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,.214,.270,.336,.605,1,0,0,0,0,0,.250,0.80,-0.047,0.34,-0.01%,-0.70,9,LF
60,118,77,2022-07-03,MIA,@,WSN,W 7-4 (10),CG(10),4,4,2,1,1,0,0,0,0,0,0,2,.215,.269,.340,.610,2,0,0,0,0,0,.500,0.96,0.086,0.45,0.02%,0.64,7,RF LF
61,119,78,2022-07-04,MIA,@,WSN,W 3-2 (10),CG(10),5,5,1,1,0,0,1,2,0,0,0,0,.215,.267,.356,.623,4,0,0,0,0,0,.000,1.93,0.344,1.07,0.11%,0.54,4,RF LF
62,120,79,2022-07-05,MIA,,LAA,W 2-1,CG,3,3,1,1,0,0,1,1,0,0,0,1,.217,.268,.375,.643,4,0,0,0,0,0,.000,0.48,0.091,0.28,0.03%,0.67,8,RF LF
63,121,81,2022-07-07,MIA,@,NYM,L 0-10,6-GF,1,1,0,0,0,0,0,0,0,0,0,0,.216,.267,.373,.639,0,0,0,0,0,0,.000,0.01,0.000,0.01,0.00%,-0.22,5,RF
