Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1143,1,2021-04-01,PHI,,ATL,W 3-2 (10),CG(10),5,4,1,1,0,0,0,0,0,0,1,1,.250,.400,.250,.650,1,0,0,0,0,0,.333,1.15,-0.011,1.20,-0.01%,0.31,3,RF
2,1144,2,2021-04-03,PHI,,ATL,W 4-0,CG,4,3,0,1,0,0,0,0,0,0,1,0,.286,.444,.286,.730,1,0,0,0,0,1,.333,0.53,-0.028,0.60,-0.02%,-0.34,3,RF
3,1145,3,2021-04-04,PHI,,ATL,W 2-1,CG,4,3,0,1,0,0,0,0,0,0,1,2,.300,.462,.300,.762,1,0,0,0,0,0,1.000,1.17,0.028,1.28,0.02%,-0.02,3,RF
4,1146,4,2021-04-05,PHI,,NYM,W 5-3,CG,4,1,1,0,0,0,0,1,0,0,2,1,.273,.529,.273,.802,0,0,1,0,0,0,,2.03,0.227,2.52,0.17%,1.41,3,RF
5,1147,5,2021-04-06,PHI,,NYM,L 4-8,CG,5,4,0,0,0,0,0,0,0,0,1,0,.200,.455,.200,.655,0,0,0,0,0,0,.000,0.81,-0.094,1.02,-0.07%,-0.81,3,RF
6,1148,6,2021-04-07,PHI,,NYM,W 8-2,CG,4,4,2,2,1,0,0,1,0,0,0,1,.263,.462,.316,.777,3,0,0,0,0,0,.667,0.36,0.048,0.47,0.04%,0.77,3,RF
7,1149,7,2021-04-09,PHI,@,ATL,L 1-8,CG,4,2,0,0,0,0,0,0,0,0,2,1,.238,.467,.286,.752,0,0,0,0,0,0,.000,0.50,-0.011,0.66,-0.01%,-0.02,3,RF
8,1150,8,2021-04-10,PHI,@,ATL,L 4-5,CG,4,4,2,2,0,0,1,1,0,0,0,0,.280,.471,.440,.911,5,0,0,0,0,0,.333,1.35,0.116,1.72,0.09%,0.97,3,RF
9,1151,9,2021-04-11,PHI,@,ATL,W 7-6,CG,4,4,1,1,0,0,1,1,0,0,0,2,.276,.447,.517,.965,4,0,0,0,0,0,.000,1.08,0.080,1.34,0.06%,0.47,3,RF
10,1152,10,2021-04-13 (1),PHI,@,NYM,L 3-4 (8),CG(8),4,3,0,1,0,0,0,0,0,0,1,0,.281,.452,.500,.952,1,0,0,0,0,1,.333,2.21,0.115,3.01,0.09%,0.50,3,RF
11,1153,11,2021-04-13 (2),PHI,@,NYM,L 0-4 (7),CG(7),3,3,0,0,0,0,0,0,0,0,0,1,.257,.422,.457,.879,0,1,0,0,0,0,.000,0.85,-0.098,1.13,-0.08%,-0.85,3,RF
12,1154,12,2021-04-14,PHI,@,NYM,L 1-5,CG,4,4,0,0,0,0,0,0,0,0,0,3,.231,.388,.410,.798,0,0,0,0,0,0,.000,0.65,-0.070,0.83,-0.05%,-0.64,3,RF
13,1155,13,2021-04-16,PHI,,STL,W 9-2,CG,4,3,1,1,1,0,0,2,0,0,1,0,.238,.396,.429,.825,2,0,0,0,0,0,.333,0.34,0.039,0.35,0.02%,1.88,3,RF
14,1156,15,2021-04-18,PHI,,STL,W 2-0,CG,4,3,1,3,1,0,1,1,0,0,1,0,.289,.439,.556,.994,7,0,0,0,0,0,1.000,0.58,0.213,0.56,0.12%,2.31,3,RF
