Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,586,1,2023-03-30,MIN,@,KCR,W 2-0,CG,5,5,1,2,0,1,0,0,0,0,0,1,.400,.400,.800,1.200,4,0,0,0,0,0,.500,0.74,0.145,0.74,0.09%,0.87,3,DH
2,587,2,2023-04-01,MIN,@,KCR,W 2-0,CG,4,4,2,2,1,0,0,0,0,0,0,1,.444,.444,.778,1.222,3,0,0,0,0,0,.667,0.85,0.041,0.90,0.03%,0.29,3,DH
3,588,3,2023-04-02,MIN,@,KCR,W 7-4,CG,5,4,0,2,0,0,0,0,0,0,1,1,.462,.500,.692,1.192,2,1,0,0,0,0,.667,0.65,-0.023,0.69,-0.02%,0.08,3,DH
4,589,4,2023-04-03,MIN,@,MIA,W 11-1,GS-9,4,3,1,0,0,0,0,0,0,0,1,1,.375,.444,.563,1.007,0,0,0,0,0,0,.000,0.27,-0.008,0.27,-0.01%,-0.67,3,DH
5,590,6,2023-04-05,MIN,@,MIA,L 2-5,CG,4,4,0,1,0,0,0,0,0,0,0,2,.350,.409,.500,.909,1,0,0,0,0,0,.500,1.45,-0.084,1.48,-0.05%,-0.51,1,DH
6,591,7,2023-04-07,MIN,,HOU,W 3-2 (10),CG(10),5,5,1,2,0,0,0,0,0,0,0,1,.360,.407,.480,.887,2,0,0,0,0,0,.500,1.92,0.130,2.06,0.08%,0.32,1,DH
7,592,8,2023-04-08,MIN,,HOU,W 9-6,CG,5,5,1,1,0,0,1,3,0,0,0,2,.333,.375,.533,.908,4,0,0,0,0,0,.000,0.71,-0.022,0.78,-0.02%,1.71,1,DH
8,593,9,2023-04-09,MIN,,HOU,L 1-5,CG,4,4,1,1,0,0,0,0,0,0,0,1,.324,.361,.500,.861,1,0,0,0,0,0,.333,0.86,0.013,0.98,0.01%,-0.10,1,DH
9,594,10,2023-04-10,MIN,,CHW,L 3-4,8-9,1,1,0,0,0,0,0,0,0,0,0,1,.314,.351,.486,.837,0,0,0,0,0,0,,2.49,-0.064,2.83,-0.04%,-0.25,6,PH
10,595,11,2023-04-11,MIN,,CHW,W 4-3 (10),CG(10),4,4,1,1,0,0,1,2,0,0,0,1,.308,.341,.538,.880,4,0,0,0,0,0,.000,0.86,0.106,0.99,0.07%,0.96,2,DH
11,596,12,2023-04-12,MIN,,CHW,W 3-1,CG,4,4,0,1,0,0,0,0,0,0,0,2,.302,.333,.512,.845,1,0,0,0,0,0,.500,1.15,-0.059,1.35,-0.04%,-0.51,2,DH
12,597,13,2023-04-13,MIN,@,NYY,W 11-2,GS-8,4,2,1,0,0,0,0,0,0,0,2,1,.289,.347,.489,.836,0,0,0,0,0,0,.000,0.38,0.072,0.43,0.05%,0.51,3,DH
