Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,465,1,2025-03-27,SEA,,ATH,W 4-2,CG,4,3,0,0,0,0,0,0,0,0,1,1,.000,.250,.000,.250,0,0,0,0,0,0,.000,1.34,-0.112,1.35,-0.07%,-0.51,2.00,3.00,3,C
2,466,2,2025-03-28,SEA,,ATH,L 0-7,CG,4,3,0,0,0,0,0,0,0,0,1,2,.000,.250,.000,.250,0,0,0,0,0,0,.000,0.45,-0.021,0.44,-0.01%,-0.32,2.00,3.00,3,DH
3,467,3,2025-03-29,SEA,,ATH,L 2-4,CG,4,3,0,0,0,0,0,0,1,0,1,0,.000,.250,.000,.250,0,1,0,0,0,0,.000,2.04,-0.123,2.04,-0.07%,-0.49,7.00,9.00,3,C
4,468,4,2025-03-30,SEA,,ATH,W 2-1,CG,3,3,0,1,0,0,0,0,0,0,0,0,.083,.267,.083,.350,1,0,0,0,0,0,.333,0.86,-0.006,0.79,0.00%,-0.17,3.00,3.00,3,C
5,469,5,2025-03-31,SEA,,DET,L 6-9,CG,5,5,1,1,0,0,1,2,0,0,0,2,.118,.250,.294,.544,4,0,0,0,0,0,.000,0.41,-0.047,0.38,-0.03%,0.70,16.00,22.20,3,C
6,470,6,2025-04-01,SEA,,DET,L 1-4,CG,4,3,0,0,0,0,0,0,0,0,1,1,.100,.250,.250,.500,0,0,0,0,0,0,.000,1.16,-0.043,1.04,-0.02%,-0.38,2.00,3.00,3,C
7,471,7,2025-04-02,SEA,,DET,W 3-2,CG,4,4,0,1,0,0,0,0,0,0,0,1,.125,.250,.250,.500,1,0,0,0,0,0,.333,0.65,-0.041,0.55,-0.02%,-0.64,3.00,3.00,3,DH
8,472,8,2025-04-04,SEA,@,SFG,L 9-10 (11),CG(11),6,4,2,1,0,0,0,0,1,0,2,0,.143,.294,.250,.544,1,0,0,0,0,0,.250,2.34,0.241,1.95,0.12%,1.80,16.00,21.40,3,C
9,473,9,2025-04-05,SEA,@,SFG,L 1-4,CG,4,4,0,1,0,0,0,0,0,0,0,2,.156,.289,.250,.539,1,0,0,0,0,0,.500,1.07,-0.039,0.87,-0.02%,-0.34,3.00,3.00,3,DH
10,474,10,2025-04-06,SEA,@,SFG,L 4-5,CG,5,4,1,3,1,0,1,1,0,0,1,0,.222,.349,.417,.766,7,0,0,0,0,1,.667,1.40,0.155,1.05,0.07%,1.49,24.00,30.70,3,C
11,475,11,2025-04-07,SEA,,HOU,W 4-3,CG,3,3,0,0,0,0,0,0,0,0,0,1,.205,.326,.385,.711,0,0,0,0,0,0,.000,0.79,-0.062,0.63,-0.03%,-0.60,0.00,0.00,4,C
12,476,12,2025-04-08,SEA,,HOU,L 1-2 (12),CG(12),5,5,0,1,1,0,0,0,0,0,0,2,.205,.314,.386,.700,2,0,0,0,0,0,.333,1.35,0.042,1.12,0.02%,-0.29,5.00,6.00,3,DH
13,477,13,2025-04-09,SEA,,HOU,W 7-6,CG,5,5,0,0,0,0,0,0,0,0,0,2,.184,.286,.347,.633,0,0,0,0,0,0,.000,1.77,-0.243,1.42,-0.12%,-1.98,0.00,0.00,3,C
14,478,14,2025-04-11,SEA,,TEX,W 5-3,CG,4,4,1,1,0,0,1,2,0,0,0,2,.189,.283,.396,.680,4,0,0,0,0,0,.000,1.14,0.242,0.98,0.13%,1.02,16.00,22.20,3,C
15,479,15,2025-04-12,SEA,,TEX,W 9-2,CG,4,3,3,2,1,0,1,1,0,0,1,1,.214,.313,.482,.795,6,0,0,0,0,0,1.000,0.56,0.166,0.51,0.09%,2.70,25.00,34.10,3,C
16,480,16,2025-04-13,SEA,,TEX,W 3-1,CG,4,3,1,1,0,0,1,2,0,0,0,1,.220,.324,.525,.849,4,0,1,0,0,0,.000,0.93,0.214,0.90,0.12%,2.07,18.00,25.20,3,C
17,481,17,2025-04-15,SEA,@,CIN,L 4-8,CG,5,5,0,0,0,0,0,0,0,0,0,2,.203,.301,.484,.786,0,0,0,0,0,0,.000,1.33,-0.170,1.26,-0.10%,-1.71,0.00,0.00,3,DH
18,482,18,2025-04-16,SEA,@,CIN,W 5-3,CG,5,5,2,2,0,0,2,2,0,0,0,0,.217,.308,.565,.873,8,0,0,0,0,0,.000,0.61,0.026,0.54,0.01%,0.99,28.00,37.40,3,C
19,483,19,2025-04-17,SEA,@,CIN,W 11-7 (10),CG(10),6,5,1,2,0,0,1,2,1,0,1,2,.230,.321,.595,.916,5,0,0,0,0,0,.500,1.37,0.047,1.27,0.03%,0.68,26.00,34.20,3,C
20,484,20,2025-04-18,SEA,@,TOR,L 1-3,CG,4,4,0,1,0,0,0,0,0,0,0,2,.231,.318,.577,.895,1,0,0,0,0,0,.500,1.09,-0.108,1.14,-0.07%,-0.79,3.00,3.00,3,C
21,485,21,2025-04-19,SEA,@,TOR,W 8-4 (12),CG(12),6,3,1,2,1,0,0,2,0,0,3,0,.247,.351,.593,.944,3,0,0,0,0,1,.667,2.70,0.383,2.68,0.23%,2.76,20.00,28.20,3,C
22,486,22,2025-04-20,SEA,@,TOR,W 8-3,CG,5,5,1,1,0,0,1,2,0,0,0,4,.244,.343,.605,.948,4,0,0,0,0,0,,0.75,0.035,0.75,0.02%,-0.39,16.00,22.20,3,DH
23,487,23,2025-04-22,SEA,@,BOS,L 3-8,CG,5,4,0,1,1,0,0,0,0,0,1,0,.244,.346,.600,.946,2,0,0,0,0,0,.250,1.17,-0.041,1.29,-0.03%,-0.15,7.00,9.00,3,C
24,488,24,2025-04-23,SEA,@,BOS,W 8-5,CG,5,4,0,0,0,0,0,0,0,0,1,2,.234,.339,.574,.914,0,0,0,0,0,0,.000,0.50,0.001,0.53,0.00%,-0.41,2.00,3.00,3,C
25,489,25,2025-04-24,SEA,@,BOS,W 4-3,CG,5,5,0,0,0,0,0,0,0,0,0,3,.222,.325,.545,.870,0,0,0,0,0,0,.000,0.83,-0.111,0.87,-0.07%,-1.45,0.00,0.00,3,DH
26,490,26,2025-04-25,SEA,,MIA,L 4-8,CG,4,4,0,1,0,0,0,0,0,0,0,1,.223,.322,.534,.856,1,0,0,0,0,0,.333,0.55,-0.032,0.56,-0.02%,-0.12,3.00,3.00,3,C
27,491,27,2025-04-26,SEA,,MIA,W 14-0,GS-6,3,1,2,1,1,0,0,0,0,0,2,0,.231,.339,.548,.887,2,0,0,0,0,0,1.000,0.27,0.039,0.28,0.02%,1.71,13.00,18.40,3,C
28,492,28,2025-04-27,SEA,,MIA,W 7-6,CG,5,5,1,1,0,0,1,1,0,0,0,2,.229,.333,.560,.893,4,0,0,0,0,0,.000,0.53,0.054,0.57,0.04%,-0.56,14.00,18.70,3,C
29,493,29,2025-04-29,SEA,,LAA,W 5-3,CG,4,2,0,1,0,0,0,0,0,0,2,0,.234,.346,.559,.905,1,0,0,0,0,0,.500,0.59,0.077,0.72,0.06%,1.12,7.00,9.00,3,C
30,494,30,2025-04-30,SEA,,LAA,W 9-3,CG,5,5,2,1,0,0,0,1,1,0,0,0,.233,.341,.543,.884,1,0,0,0,0,0,.200,0.75,0.145,0.94,0.11%,1.69,14.00,18.90,3,DH
