Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1496,1,2021-04-01,KCR,,TEX,W 14-10,CG,6,3,2,1,0,0,0,1,0,0,3,0,.333,.667,.333,1.000,1,0,0,0,0,0,.333,1.12,0.196,1.07,0.11%,2.37,3,1B
2,1497,2,2021-04-03,KCR,,TEX,W 11-4,CG,5,4,1,1,1,0,0,2,0,0,1,2,.286,.545,.429,.974,2,0,0,0,0,0,.500,0.58,0.074,0.57,0.04%,1.65,3,1B
3,1498,3,2021-04-04,KCR,,TEX,L 3-7,CG,4,4,0,2,0,0,0,0,0,0,0,2,.364,.533,.455,.988,2,0,0,0,0,0,1.000,0.57,-0.026,0.60,-0.02%,-0.45,3,1B
4,1499,4,2021-04-05,KCR,@,CLE,W 3-0,CG,4,4,0,0,0,0,0,0,0,0,0,0,.267,.421,.333,.754,0,0,0,0,0,0,.000,0.64,-0.072,0.71,-0.05%,-0.95,3,1B
5,1500,5,2021-04-07,KCR,@,CLE,L 2-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.211,.348,.263,.611,0,0,0,0,0,0,.000,1.23,-0.127,1.33,-0.08%,-1.03,3,1B
6,1501,6,2021-04-08,KCR,@,CHW,L 0-6,CG,4,4,0,0,0,0,0,0,0,0,0,1,.174,.296,.217,.514,0,0,0,0,0,0,.000,0.31,-0.034,0.36,-0.02%,-0.71,3,1B
7,1502,7,2021-04-11,KCR,@,CHW,W 4-3 (10),CG(10),5,4,1,1,0,0,1,1,0,0,1,1,.185,.313,.333,.646,4,0,0,0,0,0,.000,1.70,0.202,1.89,0.14%,0.09,4,1B
8,1503,8,2021-04-12,KCR,,LAA,L 3-10,CG,4,3,0,0,0,0,0,0,0,0,1,1,.167,.306,.300,.606,0,0,0,0,0,0,.000,1.47,-0.029,1.56,-0.02%,-0.17,4,1B
9,1504,9,2021-04-13,KCR,,LAA,W 3-2,CG,4,3,0,0,0,0,0,2,0,0,0,0,.152,.275,.273,.548,0,0,0,0,1,0,.000,0.91,-0.015,0.86,-0.01%,-0.49,4,1B
10,1505,10,2021-04-14,KCR,,LAA,W 6-1,CG,4,2,1,1,0,0,1,2,0,0,2,1,.171,.318,.371,.690,4,0,0,0,0,0,,0.84,0.089,0.84,0.05%,1.86,4,1B
11,1506,11,2021-04-15,KCR,,TOR,W 7-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.154,.292,.333,.625,0,0,0,0,0,0,.000,0.33,-0.036,0.35,-0.02%,-0.95,4,1B
12,1507,12,2021-04-17 (1),KCR,,TOR,L 1-5 (7),CG(7),3,2,0,0,0,0,0,0,0,0,1,0,.146,.294,.317,.611,0,0,0,0,0,0,.000,0.91,-0.036,0.99,-0.02%,-0.11,4,1B
13,1508,13,2021-04-17 (2),KCR,,TOR,W 3-2 (7),CG(7),3,3,0,2,1,0,0,1,0,0,0,1,.182,.315,.364,.678,3,0,0,0,0,0,1.000,1.63,0.113,1.77,0.07%,0.87,4,1B
14,1509,14,2021-04-18,KCR,,TOR,W 2-0,CG,5,4,1,2,0,0,0,0,0,0,1,0,.208,.339,.375,.714,2,0,0,0,0,0,.500,1.35,0.103,1.50,0.07%,0.96,2,1B
15,1510,15,2021-04-19,KCR,,TBR,L 1-4,CG,4,4,0,2,1,0,0,0,0,0,0,0,.231,.349,.404,.753,3,0,0,0,0,0,.500,0.70,0.053,0.77,0.04%,0.45,2,1B
16,1511,16,2021-04-20,KCR,,TBR,L 7-14,GS-9,4,4,1,2,1,0,1,3,0,0,0,0,.250,.358,.482,.840,6,0,0,0,0,0,.333,0.95,0.179,1.07,0.12%,1.65,2,1B
17,1512,17,2021-04-21,KCR,,TBR,W 9-8,CG,5,4,1,1,0,0,1,2,0,0,1,0,.250,.361,.517,.878,4,0,0,0,0,1,.000,1.79,0.357,1.94,0.23%,1.25,2,1B
18,1513,18,2021-04-23,KCR,@,DET,W 6-2,CG,5,2,1,0,0,0,0,0,1,0,3,0,.242,.377,.500,.877,0,0,0,0,0,0,.000,0.31,0.031,0.37,0.02%,1.06,2,1B
19,1514,19,2021-04-24,KCR,@,DET,W 2-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.227,.358,.470,.828,0,0,0,0,0,0,.000,0.66,-0.066,0.84,-0.05%,-0.65,2,1B
20,1515,20,2021-04-25,KCR,@,DET,W 4-0,CG,5,4,0,1,0,0,0,2,0,0,1,1,.229,.360,.457,.818,1,0,0,0,0,0,.333,0.91,-0.020,1.21,-0.02%,0.44,2,1B
21,1516,21,2021-04-26,KCR,@,DET,W 3-2,CG,4,4,1,1,0,0,1,2,0,0,0,2,.230,.356,.486,.842,4,0,0,0,0,0,.000,0.95,0.154,1.24,0.12%,1.27,2,DH
22,1517,22,2021-04-27,KCR,@,PIT,L 1-2,CG,4,4,0,2,0,0,0,1,0,0,0,0,.244,.362,.487,.849,2,0,0,0,0,0,.500,1.07,0.084,1.33,0.06%,0.60,2,1B
23,1518,23,2021-04-28,KCR,@,PIT,W 9-6,CG,5,4,3,1,0,0,0,0,0,0,1,0,.244,.364,.476,.839,1,0,0,0,0,0,.250,0.67,0.086,0.81,0.06%,1.07,2,1B
24,1519,24,2021-04-30,KCR,@,MIN,L 1-9,GS-9,3,3,1,1,0,0,1,1,0,0,0,0,.247,.363,.506,.869,4,0,0,0,0,0,.000,0.57,0.025,0.77,0.02%,0.60,2,1B
25,1520,25,2021-05-01,KCR,@,MIN,W 11-3,CG,5,4,2,2,0,0,0,1,0,0,1,1,.258,.374,.506,.879,2,0,0,0,0,0,.667,0.19,0.036,0.26,0.03%,0.69,2,1B
26,1521,26,2021-05-02,KCR,@,MIN,L 4-13,GS-7,4,4,0,3,0,0,0,0,0,0,0,0,.280,.387,.516,.904,3,0,0,0,0,0,.750,0.55,0.004,0.76,0.00%,0.50,2,1B
27,1522,27,2021-05-03,KCR,,CLE,L 6-8,CG,5,4,1,1,0,0,0,0,0,0,1,1,.278,.388,.505,.893,1,0,0,0,0,0,.333,1.13,-0.023,1.71,-0.02%,0.38,3,1B
28,1523,28,2021-05-04,KCR,,CLE,L 3-7,CG,5,5,0,0,0,0,0,0,0,0,0,0,.265,.372,.480,.852,0,1,0,0,0,0,.000,1.08,-0.169,1.59,-0.15%,-2.55,3,1B
29,1524,29,2021-05-05,KCR,,CLE,L 4-5,CG,4,4,0,0,0,0,0,0,0,0,0,3,.255,.360,.462,.822,0,0,0,0,0,0,.000,0.97,-0.120,1.38,-0.10%,-1.44,3,1B
30,1525,30,2021-05-06,KCR,,CLE,L 0-4,CG,4,2,0,0,0,0,0,0,0,0,2,0,.250,.364,.454,.818,0,1,0,0,0,0,.000,1.15,0.062,1.65,0.05%,0.21,3,1B
31,1526,31,2021-05-07,KCR,,CHW,L 0-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,.250,.361,.446,.807,1,0,0,0,0,0,.250,0.68,-0.023,0.92,-0.02%,-0.26,3,1B
32,1527,32,2021-05-08,KCR,,CHW,L 1-9,CG,4,2,0,2,0,0,0,0,0,0,2,0,.263,.380,.456,.836,2,0,0,0,0,0,1.000,0.14,0.022,0.18,0.02%,1.20,4,1B
33,1528,33,2021-05-09,KCR,,CHW,L 3-9,CG,4,2,1,0,0,0,0,0,0,0,2,1,.259,.383,.448,.831,0,0,0,0,0,0,.000,0.46,-0.004,0.58,0.00%,-0.10,4,1B
34,1529,34,2021-05-11,KCR,@,DET,L 7-8,CG,5,2,1,1,0,0,0,0,0,0,2,1,.263,.397,.449,.846,1,0,1,0,0,0,1.000,0.77,0.014,0.70,0.01%,0.82,2,1B
35,1530,35,2021-05-12,KCR,@,DET,L 2-4,CG,4,2,1,0,0,0,0,0,0,0,2,1,.258,.400,.442,.842,0,0,0,0,0,0,.000,1.38,0.038,1.23,0.02%,0.46,2,1B
