Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,312,1,2022-04-07,ARI,,SDP,W 4-2,CG,4,3,1,0,0,0,0,0,0,0,0,0,.000,.250,.000,.250,0,1,1,0,0,0,.000,2.29,-0.114,2.25,-0.07%,-0.80,6,C
2,313,2,2022-04-08,ARI,,SDP,L 0-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.000,.125,.000,.125,0,0,0,0,0,0,.000,0.60,-0.060,0.63,-0.04%,-0.52,3,C
3,314,4,2022-04-10,ARI,,SDP,L 5-10,CG,4,4,0,0,0,0,0,0,0,0,0,2,.000,.083,.000,.083,0,1,0,0,0,0,.000,0.33,-0.048,0.31,-0.03%,-1.59,5,C P
4,315,5,2022-04-12,ARI,,HOU,L 1-2,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.000,.077,.000,.077,0,0,0,0,0,0,,5.87,-0.160,4.56,-0.08%,-0.36,9,PH
5,316,6,2022-04-13,ARI,,HOU,W 3-2 (10),GS-7,3,3,0,0,0,0,0,0,0,0,0,1,.000,.063,.000,.063,0,0,0,0,0,0,.000,1.65,-0.128,1.24,-0.06%,-1.41,5,C
6,317,8,2022-04-16,ARI,@,NYM,W 3-2,CG,4,4,0,0,0,0,0,0,0,0,0,1,.000,.050,.000,.050,0,0,0,0,0,0,.000,1.77,-0.174,1.36,-0.08%,-1.54,7,C
7,318,9,2022-04-17,ARI,@,NYM,L 0-5,CG,4,3,0,1,1,0,0,0,0,0,1,2,.045,.125,.091,.216,2,0,0,0,0,0,1.000,1.06,0.020,0.85,0.01%,-0.03,3,DH
8,319,11,2022-04-19 (2),ARI,@,WSN,L 0-1,GS-9,3,3,0,0,0,0,0,0,0,0,0,1,.040,.111,.080,.191,0,0,0,0,0,0,.000,1.96,-0.142,1.41,-0.06%,-1.05,7,C
9,320,12,2022-04-20,ARI,@,WSN,W 11-2,CG,4,4,1,1,0,0,0,0,0,0,0,3,.069,.129,.103,.232,1,0,0,0,0,0,1.000,0.67,-0.078,0.45,-0.03%,-0.83,7,C
10,321,13,2022-04-21,ARI,@,WSN,W 4-3,GS-8,3,3,0,0,0,0,0,0,0,0,0,0,.063,.118,.094,.211,0,0,0,0,0,0,.000,0.63,-0.046,0.46,-0.02%,-0.58,7,C
