Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,239,1,2022-04-08,TOR,,TEX,W 10-8,GS-5,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,1,0,0,0,0,.000,0.51,-0.020,0.48,-0.01%,-0.50,9,2B
2,240,2,2022-04-09,TOR,,TEX,W 4-3,GS-6,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,,0.64,-0.031,0.60,-0.02%,-0.30,9,2B
3,241,3,2022-04-10,TOR,,TEX,L 6-12,9-GF,1,0,0,0,0,0,0,0,0,0,0,0,.000,.250,.000,.250,0,0,1,0,0,0,,0.26,0.008,0.26,0.01%,0.60,8,PH
4,242,4,2022-04-11,TOR,@,NYY,W 3-0,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.000,.200,.000,.200,0,0,0,0,0,0,.000,0.13,-0.003,0.14,0.00%,-0.23,8,PH DH
5,243,6,2022-04-13,TOR,@,NYY,W 6-4,7-7,0,0,1,0,0,0,0,0,0,0,0,0,.000,.200,.000,.200,0,,0,0,,,,,0.000,,0.00%,0.00,6,PR
6,244,7,2022-04-14,TOR,@,NYY,L 0-3,CG,4,2,0,0,0,0,0,0,0,0,2,2,.000,.333,.000,.333,0,0,0,0,0,0,,1.63,0.049,1.74,0.03%,0.90,7,2B
7,245,8,2022-04-15,TOR,,OAK,W 4-1,CG,4,3,0,0,0,0,0,0,0,0,0,2,.000,.308,.000,.308,0,0,1,0,0,0,.000,0.70,-0.070,0.69,-0.04%,-0.83,9,1B
8,246,10,2022-04-17,TOR,,OAK,W 4-3,GS-9,4,3,0,0,0,0,0,0,0,0,1,0,.000,.294,.000,.294,0,0,0,0,0,0,.000,0.90,-0.078,0.90,-0.05%,-1.22,9,RF
9,247,11,2022-04-19,TOR,@,BOS,L 1-2,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.294,.000,.294,0,,0,0,,,,,,,,,5,PR DH
10,248,12,2022-04-20,TOR,@,BOS,W 6-1,CG,4,4,1,1,0,0,0,0,0,0,0,2,.063,.286,.063,.348,1,0,0,0,0,0,.500,0.61,0.043,0.66,0.03%,0.14,9,1B
11,249,13,2022-04-21,TOR,@,BOS,W 3-2,GS-6,2,2,0,0,0,0,0,0,0,0,0,1,.056,.261,.056,.316,0,0,0,0,0,0,.000,0.77,-0.043,0.83,-0.03%,-0.43,7,RF
12,250,15,2022-04-23,TOR,@,HOU,W 3-2,GS-7,3,3,0,0,0,0,0,0,0,0,0,0,.048,.231,.048,.278,0,0,0,0,0,0,.000,0.76,-0.056,0.87,-0.04%,-0.45,9,RF
13,251,16,2022-04-24,TOR,@,HOU,L 7-8 (10),GS-7,2,2,0,0,0,0,0,0,0,0,0,1,.043,.214,.043,.258,0,0,0,0,0,0,.000,0.65,-0.033,0.76,-0.02%,-0.32,9,1B
14,252,44,2022-05-26,TOR,@,LAA,W 6-3,CG,4,3,0,0,0,0,0,0,0,0,1,3,.038,.219,.038,.257,0,0,0,0,0,0,,0.64,-0.037,0.65,-0.02%,-0.30,9,1B
15,253,45,2022-05-27,TOR,@,LAA,W 4-3,GS-7,2,2,0,1,0,0,0,0,1,0,0,0,.071,.235,.071,.307,1,0,0,0,0,0,.500,1.29,-0.021,1.37,-0.01%,-0.17,9,2B
16,254,46,2022-05-28,TOR,@,LAA,W 6-5,GS-8,3,3,1,1,1,0,0,1,0,0,0,1,.097,.243,.129,.372,2,0,0,0,0,0,.500,1.52,0.150,1.63,0.10%,0.42,8,LF
17,255,47,2022-05-29,TOR,@,LAA,W 11-10,GS-8,4,3,2,1,0,0,0,0,0,0,1,1,.118,.268,.147,.415,1,0,0,0,0,0,.500,1.80,-0.026,2.00,-0.02%,-0.03,6,1B
18,256,48,2022-05-31,TOR,,CHW,W 6-5,GS-7,3,2,0,0,0,0,0,0,0,0,1,2,.111,.273,.139,.412,0,0,0,0,0,0,,1.17,0.024,1.29,0.02%,0.42,9,2B
19,257,50,2022-06-02,TOR,,CHW,W 8-3,CG,4,4,1,1,1,0,0,1,0,0,0,2,.125,.271,.175,.446,2,0,0,0,0,0,.500,0.84,-0.006,0.92,0.00%,0.76,6,1B
20,258,51,2022-06-03,TOR,,MIN,L 3-9,CG,3,1,0,0,0,0,0,0,0,0,2,0,.122,.294,.171,.465,0,0,0,0,0,0,.000,1.02,0.087,1.09,0.06%,0.63,9,2B
21,259,52,2022-06-04,TOR,,MIN,W 12-3,CG,5,3,1,2,1,0,0,2,0,0,2,0,.159,.339,.227,.567,3,0,0,0,0,0,.667,0.52,0.151,0.55,0.10%,3.52,9,2B 1B
22,260,54,2022-06-06,TOR,@,KCR,W 8-0,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.156,.333,.222,.556,0,0,0,0,0,0,.000,0.01,0.000,0.01,0.00%,-0.32,2,PH 2B
23,261,56,2022-06-08,TOR,@,KCR,L 4-8,CG,4,4,1,2,0,0,0,0,0,0,0,0,.184,.344,.245,.589,2,0,0,0,0,0,.500,1.13,-0.023,1.07,-0.01%,0.36,9,1B
24,262,57,2022-06-10,TOR,@,DET,W 10-1,CG,5,4,1,1,0,0,0,0,0,0,1,0,.189,.348,.245,.594,1,0,0,0,0,0,.250,0.11,0.010,0.11,0.01%,-0.58,9,2B 1B
