Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,447,1,2024-03-28,TOR,@,TBR,W 8-2,CG,4,2,2,1,0,0,1,1,0,0,2,1,.500,.750,2.000,2.750,4,0,0,0,0,0,,0.39,0.179,0.38,0.10%,1.65,20.00,27.90,9,2B
2,448,2,2024-03-29,TOR,@,TBR,L 2-8,CG,3,3,0,0,0,0,0,0,0,0,0,1,.200,.429,.800,1.229,0,0,0,0,0,0,.000,0.85,-0.059,0.90,-0.04%,-0.73,0.00,0.00,9,2B
3,449,3,2024-03-30,TOR,@,TBR,L 1-5,CG,3,2,0,1,0,0,0,1,0,0,1,1,.286,.500,.714,1.214,1,0,0,0,0,0,1.000,1.33,0.056,1.32,0.03%,0.94,7.00,9.50,9,2B
4,450,4,2024-03-31,TOR,@,TBR,W 9-2,CG,5,5,0,1,0,0,0,1,0,0,0,2,.250,.400,.500,.900,1,0,0,0,0,0,.333,0.24,-0.024,0.23,-0.01%,0.58,5.00,6.50,8,RF
5,451,5,2024-04-01,TOR,@,HOU,L 0-10,CG,3,3,0,0,0,0,0,0,0,0,0,1,.200,.333,.400,.733,0,0,0,0,0,0,.000,0.22,-0.016,0.21,-0.01%,-0.46,0.00,0.00,9,2B 3B
6,452,7,2024-04-03,TOR,@,HOU,L 0-8,CG,3,2,0,0,0,0,0,0,0,0,1,0,.176,.333,.353,.686,0,0,0,0,0,0,.000,0.83,-0.018,0.76,-0.01%,-0.28,2.00,3.00,9,2B 1B
7,453,8,2024-04-05,TOR,@,NYY,W 3-0,GS-7,2,2,0,1,1,0,0,0,0,0,0,0,.211,.348,.421,.769,2,0,0,0,0,0,.500,0.83,0.027,0.76,0.02%,0.21,5.00,6.00,6,2B
8,454,9,2024-04-06,TOR,@,NYY,L 8-9,9-GF,1,1,0,1,0,0,0,1,0,0,0,0,.250,.375,.450,.825,1,0,0,0,0,0,1.000,1.34,0.041,1.33,0.03%,0.87,5.00,6.50,9,PH
9,455,10,2024-04-07,TOR,@,NYY,L 3-8,CG,5,5,0,1,0,0,0,0,0,0,0,2,.240,.345,.400,.745,1,0,0,0,0,0,.333,1.35,-0.100,1.30,-0.06%,-1.19,3.00,3.00,5,RF
10,456,11,2024-04-08,TOR,,SEA,W 5-2,CG,4,3,0,1,1,0,0,0,0,0,0,1,.250,.364,.429,.792,2,0,1,0,0,0,.500,0.55,-0.066,0.45,-0.03%,-0.57,7.00,9.00,6,2B
11,457,12,2024-04-09,TOR,,SEA,W 5-3,GS-7,3,3,1,2,0,0,0,0,1,0,0,1,.290,.389,.452,.841,2,0,0,0,0,0,1.000,0.40,0.038,0.35,0.02%,0.52,13.00,15.20,6,2B
12,458,13,2024-04-10,TOR,,SEA,L 1-6 (10),CG(10),4,3,0,1,0,0,0,0,0,0,0,1,.294,.400,.441,.841,1,0,1,0,0,0,.500,1.73,0.017,1.55,0.01%,0.12,5.00,6.00,5,2B 1B
13,459,14,2024-04-12,TOR,,COL,L 4-12,CG,4,4,0,2,0,0,0,1,0,0,0,2,.316,.409,.447,.856,2,0,0,0,0,0,1.000,0.63,0.107,0.51,0.05%,0.81,8.00,9.50,5,2B RF
14,460,15,2024-04-13,TOR,,COL,W 5-3,CG,4,4,0,1,0,0,0,0,0,0,0,1,.310,.396,.429,.824,1,0,0,0,0,0,.333,0.75,-0.075,0.60,-0.04%,-0.80,3.00,3.00,5,2B
15,461,17,2024-04-15,TOR,,NYY,W 3-1,CG,4,4,1,1,1,0,0,0,0,0,0,2,.304,.385,.435,.819,2,0,0,0,0,0,.500,0.71,0.018,0.72,0.01%,-0.11,7.00,9.20,5,2B
16,462,19,2024-04-17,TOR,,NYY,L 4-6,GS-6,2,2,0,0,0,0,0,0,0,0,0,1,.292,.370,.417,.787,0,0,0,0,0,0,.000,0.61,-0.031,0.67,-0.02%,-0.33,0.00,0.00,5,3B
17,463,20,2024-04-19,TOR,@,SDP,W 5-1,CG,4,3,1,0,0,0,0,0,0,0,1,3,.275,.362,.392,.754,0,0,0,0,0,0,,0.42,0.003,0.39,0.00%,-0.36,4.00,6.20,7,RF
18,464,21,2024-04-20,TOR,@,SDP,W 5-2,GS-9,3,1,0,0,0,0,0,0,0,0,1,0,.269,.377,.385,.762,0,0,1,0,0,0,.000,0.37,0.038,0.35,0.02%,0.82,4.00,6.00,7,2B
19,465,23,2024-04-22,TOR,@,KCR,W 5-3,CG,4,4,1,1,1,0,0,0,0,0,0,2,.268,.369,.393,.762,2,0,0,0,0,0,.500,0.66,0.088,0.66,0.05%,0.32,7.00,9.20,9,2B 1B
20,466,24,2024-04-23,TOR,@,KCR,L 2-3,6-GF,1,1,0,0,0,0,0,0,0,0,0,0,.263,.364,.386,.750,0,0,0,0,0,0,.000,2.87,-0.073,2.90,-0.05%,-0.24,0.00,0.00,9,2B
21,467,25,2024-04-24,TOR,@,KCR,L 2-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.246,.343,.361,.704,0,0,0,0,0,0,.000,1.78,-0.193,1.81,-0.12%,-0.88,0.00,0.00,9,2B
22,468,27,2024-04-26,TOR,,LAD,L 2-12,CG,4,2,1,0,0,0,0,0,0,0,2,0,.238,.351,.349,.701,0,0,0,0,0,0,.000,0.08,0.006,0.07,0.00%,-0.40,6.00,9.20,9,2B
23,469,28,2024-04-27,TOR,,LAD,L 2-4,CG,4,3,0,1,0,0,0,1,0,0,0,2,.242,.351,.348,.699,1,0,0,0,0,0,1.000,0.90,-0.019,0.76,-0.01%,0.45,5.00,6.50,7,2B
24,470,29,2024-04-28,TOR,,LAD,W 3-1,CG,3,2,0,0,0,0,0,0,0,0,0,0,.235,.350,.338,.688,0,1,1,0,0,0,.000,0.45,-0.038,0.36,-0.02%,-0.93,2.00,3.00,9,2B 1B
