Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,132,2023-08-28,BOS,,HOU,L 5-13,8-GF,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,1.000,0.03,0.001,0.03,0.00%,0.51,2,CF
2,2,134,2023-08-30,BOS,,HOU,L 4-7,CG,4,4,1,1,1,0,0,1,0,0,0,2,.400,.400,.600,1.000,2,0,0,0,0,0,.500,1.06,-0.010,0.46,0.00%,0.52,1,SS
3,3,135,2023-09-01,BOS,@,KCR,L 2-13,7-GF,2,2,0,1,0,0,0,0,0,0,0,1,.429,.429,.571,1.000,1,0,0,0,0,0,1.000,0.00,0.000,0.00,0.00%,-0.04,5,PH CF
4,4,136,2023-09-02,BOS,@,KCR,W 9-5,6-GF,1,1,0,0,0,0,0,0,0,0,0,1,.375,.375,.500,.875,0,0,0,0,0,0,,0.03,-0.001,0.01,0.00%,-0.25,6,CF
5,5,137,2023-09-03,BOS,@,KCR,W 7-3,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.375,.375,.500,.875,0,,0,0,,,,,,,,,6,CF
6,6,138,2023-09-04,BOS,@,TBR,W 7-3,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.375,.375,.500,.875,0,,0,0,,,,,,,,,6,CF
7,7,139,2023-09-05,BOS,@,TBR,L 6-8 (11),CG(11),6,6,2,3,0,0,0,0,0,1,0,2,.429,.429,.500,.929,3,0,0,0,0,0,.750,1.24,0.030,0.62,0.01%,0.39,1,SS
8,8,140,2023-09-06,BOS,@,TBR,L 1-3,8-GF,1,1,0,1,1,0,0,0,0,0,0,0,.467,.467,.600,1.067,2,0,0,0,0,0,1.000,0.52,0.029,0.18,0.01%,0.22,1,PH 2B
9,9,141,2023-09-08,BOS,,BAL,L 2-11,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.438,.438,.563,1.000,0,0,0,0,0,0,,0.37,-0.010,0.10,0.00%,-0.25,8,PH 2B
10,10,142,2023-09-09,BOS,,BAL,L 12-13,7-GF,1,1,1,1,0,0,0,0,0,0,0,0,.471,.471,.588,1.059,1,0,0,0,0,0,1.000,0.57,0.024,0.11,0.00%,0.24,3,PR DH
11,11,143,2023-09-10,BOS,,BAL,W 7-3,CG,5,4,1,0,0,0,0,0,1,0,1,2,.381,.409,.476,.885,0,0,0,0,0,0,.000,0.84,-0.146,0.09,-0.01%,-1.17,1,CF
12,12,144,2023-09-12 (1),BOS,,NYY,L 2-3,CG,4,3,0,0,0,0,0,0,0,0,1,2,.333,.385,.417,.801,0,0,0,0,0,0,.000,1.83,-0.031,0.24,0.00%,-0.75,7,SS
13,13,145,2023-09-12 (2),BOS,,NYY,L 1-4,CG,5,5,1,2,1,0,1,1,0,0,0,1,.345,.387,.552,.939,6,0,0,0,0,0,.333,1.98,0.017,0.15,0.00%,0.22,1,CF
14,14,146,2023-09-14 (1),BOS,,NYY,W 5-0,CG,4,4,1,2,1,0,1,1,0,0,0,2,.364,.400,.667,1.067,6,0,0,0,0,0,1.000,0.74,0.124,0.03,0.00%,1.12,1,CF
15,15,147,2023-09-14 (2),BOS,,NYY,L 5-8,CG,5,5,2,2,0,0,0,0,0,0,0,1,.368,.400,.632,1.032,2,1,0,0,0,0,.500,1.31,-0.005,0.06,0.00%,-0.32,1,SS
16,16,148,2023-09-15,BOS,@,TOR,L 0-3,CG,4,4,0,1,0,0,0,0,0,0,0,1,.357,.386,.595,.982,1,0,0,0,0,0,.333,0.77,-0.032,0.03,0.00%,-0.38,1,CF
17,17,149,2023-09-16,BOS,@,TOR,L 3-4 (13),8-GF(13),3,3,0,0,0,0,0,0,0,0,0,1,.333,.362,.556,.917,0,0,0,0,0,0,.000,3.65,-0.294,0.06,0.00%,-1.27,1,PH CF
18,18,150,2023-09-17,BOS,@,TOR,L 2-3,CG,5,5,0,1,1,0,0,0,0,0,0,0,.320,.346,.540,.886,2,0,0,0,0,0,.200,1.46,-0.027,0.00,0.00%,0.01,1,2B CF
19,19,151,2023-09-18,BOS,@,TEX,W 4-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.296,.321,.500,.821,0,0,0,0,0,0,.000,1.67,-0.218,0.00,0.00%,-1.39,1,CF
20,20,153,2023-09-20,BOS,@,TEX,L 5-15,CG,5,5,0,2,0,0,0,1,0,0,0,1,.305,.328,.492,.819,2,1,0,0,0,0,.500,0.25,-0.022,0.00,0.00%,-0.20,1,SS
21,21,154,2023-09-22,BOS,,CHW,W 3-2,CG,4,2,1,0,0,0,0,1,0,0,0,0,.295,.323,.475,.798,0,0,1,0,1,0,.000,1.50,0.066,0.00,0.00%,-0.15,1,2B CF
22,22,155,2023-09-23,BOS,,CHW,L 0-1,CG,5,4,0,1,1,0,0,0,0,0,1,1,.292,.329,.477,.805,2,0,0,0,0,0,.333,2.48,-0.170,0.00,0.00%,-0.59,1,CF
23,23,156,2023-09-24,BOS,,CHW,L 2-3 (6),CG(6),3,3,0,1,0,0,0,0,0,0,0,0,.294,.329,.471,.799,1,0,0,0,0,0,.333,1.38,-0.107,0.00,0.00%,-0.79,1,CF
24,24,158,2023-09-27,BOS,,TBR,L 0-5,CG,4,4,0,0,0,0,0,0,0,0,0,3,.278,.312,.444,.756,0,0,0,0,0,0,.000,0.68,-0.067,0.00,0.00%,-0.92,1,CF
25,25,159,2023-09-28,BOS,@,BAL,L 0-2,CG,4,4,0,0,0,0,0,0,0,0,0,1,.263,.296,.421,.717,0,0,0,0,0,0,.000,1.66,-0.158,0.00,0.00%,-0.98,1,CF
26,26,160,2023-09-29,BOS,@,BAL,W 3-0,CG,4,3,1,0,0,0,0,0,1,0,1,1,.253,.294,.405,.699,0,0,0,0,0,0,.000,0.63,-0.026,0.00,0.00%,0.30,1,CF
27,27,161,2023-09-30,BOS,@,BAL,L 2-5,7-GF,2,2,0,0,0,0,0,0,0,0,0,1,.247,.287,.395,.682,0,0,0,0,0,0,.000,2.98,-0.160,0.00,0.00%,-0.73,8,PH CF
28,28,162,2023-10-01,BOS,@,BAL,W 6-1,6-GF,2,2,0,0,0,0,0,0,1,0,0,1,.241,.281,.386,.666,0,0,0,0,0,0,.000,0.40,-0.009,0.00,0.00%,-0.81,4,PR CF
,,,,,,,9-19,,89,83,11,20,6,0,2,5,3,1,4,28,.241,.281,.386,.666,32,2,1,0,1,0,.333,1.26,-1.202,0.08,0.00%,-7.45,,
