Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,547,1,2024-03-28,BAL,,LAA,W 11-3,CG,4,4,1,1,0,0,1,3,0,0,0,0,.250,.250,1.000,1.250,4,0,0,0,0,0,.000,0.47,-0.048,0.44,-0.03%,0.70,18.00,25.70,7,CF
2,548,2,2024-03-30,BAL,,LAA,W 13-4,CG,4,4,1,1,1,0,0,1,0,0,0,3,.250,.250,.750,1.000,2,0,0,0,0,0,1.000,0.38,0.009,0.37,0.01%,0.92,9.00,12.70,7,CF
3,549,3,2024-03-31,BAL,,LAA,L 1-4,CG,4,3,0,0,0,0,0,0,0,0,0,1,.182,.250,.545,.795,0,0,1,0,0,0,.000,0.84,-0.028,0.85,-0.02%,-0.20,2.00,3.00,7,CF
4,550,4,2024-04-01,BAL,,KCR,W 6-4,CG,4,4,1,1,0,0,0,0,0,0,0,1,.200,.250,.467,.717,1,0,0,0,0,0,.333,1.20,-0.029,1.13,-0.02%,-0.28,5.00,6.20,7,CF
5,551,5,2024-04-02,BAL,,KCR,L 1-4,CG,3,3,0,0,0,0,0,0,0,0,0,2,.167,.211,.389,.599,0,0,0,0,0,0,.000,0.49,-0.039,0.49,-0.02%,-0.40,0.00,0.00,6,CF
6,552,6,2024-04-03,BAL,,KCR,W 4-3,9-GF,0,0,1,0,0,0,0,0,0,0,0,0,.167,.211,.389,.599,0,,0,0,,,,,0.000,,0.00%,0.00,2.00,3.20,4,PR
7,553,7,2024-04-05,BAL,@,PIT,W 5-2,CG,4,4,1,1,0,0,1,1,0,0,0,1,.182,.217,.500,.717,4,0,0,0,0,0,.000,0.81,-0.023,0.75,-0.01%,-0.01,14.00,18.70,6,CF
8,554,8,2024-04-06,BAL,@,PIT,L 4-5 (11),CG(11),4,3,0,0,0,0,0,2,1,0,0,0,.160,.185,.440,.625,0,0,0,0,1,0,.000,2.65,0.230,2.60,0.14%,0.75,9.00,13.00,7,CF
9,555,9,2024-04-07,BAL,@,PIT,L 2-3,CG,3,3,0,0,0,0,0,0,0,0,0,1,.143,.167,.393,.560,0,0,0,0,0,0,.000,0.54,-0.042,0.50,-0.02%,-0.45,0.00,0.00,7,CF
10,556,10,2024-04-09,BAL,@,BOS,W 7-1,CG,5,4,2,2,0,0,0,1,1,0,1,0,.188,.229,.406,.635,2,0,0,0,0,0,.500,0.62,0.074,0.61,0.04%,2.23,19.00,24.90,6,CF
11,557,11,2024-04-10,BAL,@,BOS,W 7-5,CG,5,3,2,1,0,0,0,0,0,0,1,2,.200,.256,.400,.656,1,0,0,0,0,0,1.000,1.32,0.136,1.34,0.08%,1.49,9.00,12.40,6,CF
12,558,12,2024-04-11,BAL,@,BOS,W 9-4 (10),CG(10),5,3,1,1,0,0,0,1,0,0,2,0,.211,.295,.395,.690,1,0,0,0,0,0,.333,1.15,0.181,1.26,0.12%,1.24,11.00,15.70,6,CF
13,559,13,2024-04-12,BAL,,MIL,L 1-11,GS-9,3,3,0,1,0,0,0,0,0,0,0,2,.220,.298,.390,.688,1,0,0,0,0,0,1.000,0.41,-0.009,0.42,-0.01%,-0.19,3.00,3.00,5,CF
14,560,14,2024-04-13,BAL,,MIL,L 5-11,7-GF,1,1,0,1,0,0,0,0,0,0,0,0,.238,.313,.405,.717,1,0,0,0,0,0,1.000,0.34,0.013,0.33,0.01%,0.12,3.00,3.00,6,PH CF
15,561,15,2024-04-14,BAL,,MIL,W 6-4,CG,4,4,1,2,1,0,1,1,0,0,0,1,.261,.327,.500,.827,6,0,0,0,0,0,.500,0.76,0.067,0.71,0.04%,0.85,19.00,24.70,7,CF
16,562,16,2024-04-15,BAL,,MIN,W 7-4,CG,4,3,1,1,0,0,1,3,0,0,0,0,.265,.321,.551,.872,4,0,0,0,1,0,.000,0.86,0.086,0.90,0.05%,1.16,18.00,25.70,7,CF
17,563,17,2024-04-16,BAL,,MIN,W 11-3,CG,5,5,1,1,0,0,0,0,1,0,0,1,.259,.311,.519,.830,1,0,0,0,0,0,.250,0.53,-0.004,0.57,0.00%,-0.14,10.00,12.20,5,CF
18,564,18,2024-04-17,BAL,,MIN,W 4-2,CG,4,4,1,1,0,0,1,2,0,0,0,2,.259,.308,.552,.859,4,0,0,0,0,0,.000,1.56,0.293,1.67,0.19%,1.12,16.00,22.20,6,CF
19,565,19,2024-04-19,BAL,@,KCR,L 4-9,CG,4,4,1,1,0,0,0,0,0,0,0,0,.258,.304,.532,.837,1,0,0,0,0,0,.250,1.06,-0.104,1.20,-0.07%,-0.78,5.00,6.20,6,CF
20,566,20,2024-04-20,BAL,@,KCR,W 9-7,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.254,.300,.524,.824,0,0,0,0,0,0,.000,0.16,-0.004,0.18,0.00%,-0.11,0.00,0.00,9,CF
21,567,21,2024-04-21,BAL,@,KCR,W 5-0,CG,4,4,0,2,0,0,0,0,1,1,0,0,.269,.311,.522,.833,2,0,0,0,0,0,.500,0.63,-0.014,0.73,-0.01%,0.04,11.00,12.00,6,CF
22,568,22,2024-04-22,BAL,@,LAA,W 4-2,CG,4,3,0,0,0,0,0,0,1,0,1,0,.257,.308,.500,.808,0,0,0,0,0,0,.000,0.50,-0.031,0.57,-0.02%,-0.08,7.00,9.00,6,CF
23,569,23,2024-04-23,BAL,@,LAA,L 4-7,CG,4,4,0,0,0,0,0,0,0,0,0,3,.243,.293,.473,.766,0,0,0,0,0,0,.000,1.12,-0.114,1.29,-0.08%,-1.43,0.00,0.00,5,CF
