Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1270,1,2022-04-08,COL,,LAD,L 3-5,CG,5,5,0,1,1,0,0,1,0,0,0,2,.200,.200,.400,.600,2,0,0,0,0,0,.333,0.72,-0.045,0.72,-0.03%,0.09,1,RF
2,1271,2,2022-04-09,COL,,LAD,W 3-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.111,.111,.222,.333,0,0,0,0,0,0,.000,1.13,-0.114,1.03,-0.06%,-1.27,1,RF
3,1272,4,2022-04-11,COL,@,TEX,W 6-4 (10),GS-8,5,5,0,0,0,0,0,0,0,0,0,2,.071,.071,.143,.214,0,0,0,0,0,0,.000,2.10,-0.054,1.98,-0.03%,-1.24,2,RF
4,1273,5,2022-04-12,COL,@,TEX,W 4-1,GS-9,5,5,0,2,0,0,0,1,0,0,0,0,.158,.158,.211,.368,2,0,0,0,0,0,.400,1.08,0.150,1.04,0.09%,1.06,2,RF
5,1274,6,2022-04-14,COL,,CHC,L 2-5,CG,5,4,1,0,0,0,0,0,0,0,1,2,.130,.167,.174,.341,0,0,0,0,0,0,.000,1.19,-0.072,1.28,-0.05%,-0.81,2,RF
6,1275,7,2022-04-15,COL,,CHC,W 6-5,CG,4,3,0,1,1,0,0,0,0,1,1,0,.154,.214,.231,.445,2,0,0,0,0,0,.333,0.82,-0.004,0.83,0.00%,-0.14,2,RF
7,1276,8,2022-04-16,COL,,CHC,W 9-6,CG,5,4,0,2,0,0,0,1,0,0,1,1,.200,.273,.267,.539,2,0,0,0,0,0,.667,0.55,0.059,0.56,0.04%,1.01,2,DH
8,1277,9,2022-04-17,COL,,CHC,L 4-6,8-9,1,1,0,0,0,0,0,0,0,0,0,1,.194,.265,.258,.523,0,0,0,0,0,0,,1.57,-0.046,1.66,-0.03%,-0.25,9,PH
9,1278,10,2022-04-18,COL,,PHI,W 4-1,CG,4,2,2,1,0,0,1,1,0,0,1,0,.212,.297,.364,.661,4,0,0,1,0,0,.000,1.39,0.095,1.35,0.06%,0.42,2,RF
10,1279,11,2022-04-19,COL,,PHI,W 6-5,GS-9,4,2,2,1,0,0,0,0,0,0,1,0,.229,.325,.371,.696,1,0,0,1,0,0,.500,1.03,0.042,1.08,0.03%,0.13,2,RF
11,1280,12,2022-04-20,COL,,PHI,L 6-9,CG,5,5,1,1,0,0,0,0,0,0,0,1,.225,.311,.350,.661,1,0,0,0,0,0,.250,1.50,-0.085,1.61,-0.06%,-1.06,1,DH
12,1281,14,2022-04-23 (2),COL,@,DET,W 3-2,GS-9,4,4,1,1,0,0,1,2,0,0,0,1,.227,.306,.409,.715,4,0,0,0,0,0,.000,0.48,0.164,0.45,0.09%,1.46,2,RF
13,1282,15,2022-04-24,COL,@,DET,W 6-2,GS-9,5,5,2,4,1,0,0,2,1,0,0,0,.286,.352,.469,.821,5,0,0,0,0,0,.800,0.75,0.230,0.76,0.14%,2.64,2,RF
14,1283,16,2022-04-25,COL,@,PHI,L 2-8,CG,4,4,0,0,0,0,0,0,0,0,0,1,.264,.328,.434,.762,0,0,0,0,0,0,.000,0.50,-0.050,0.54,-0.03%,-0.59,2,RF
15,1284,17,2022-04-26,COL,@,PHI,L 3-10,CG,4,4,2,2,0,0,2,2,0,0,0,1,.281,.339,.544,.883,8,0,0,0,0,0,.000,0.39,-0.030,0.39,-0.02%,1.61,2,DH
16,1285,18,2022-04-27,COL,@,PHI,L 3-7,CG,5,5,0,1,0,0,0,0,0,0,0,0,.274,.328,.516,.844,1,0,0,0,0,0,.200,0.96,-0.091,0.95,-0.05%,-0.81,2,DH
17,1286,19,2022-04-28,COL,@,PHI,L 1-7,CG,4,3,0,0,0,0,0,0,0,0,1,0,.262,.324,.492,.816,0,0,0,0,0,0,.000,0.68,0.003,0.67,0.00%,-0.24,2,RF
18,1287,20,2022-04-29,COL,,CIN,W 10-4,CG,6,5,2,1,1,0,0,0,0,0,1,2,.257,.325,.486,.810,2,0,0,0,0,0,.333,0.61,0.033,0.54,0.02%,-0.32,2,DH
19,1288,21,2022-04-30,COL,,CIN,W 4-3,GS-9,4,4,1,1,1,0,0,1,0,0,0,0,.257,.321,.486,.807,2,0,0,0,0,0,.250,1.27,0.220,1.15,0.12%,1.22,2,RF
20,1289,23,2022-05-03,COL,,WSN,L 2-10,CG,4,4,0,1,0,0,0,0,0,0,0,1,.256,.318,.474,.792,1,0,0,0,0,0,.333,0.63,0.068,0.65,0.04%,0.34,2,RF
21,1290,24,2022-05-04,COL,,WSN,W 5-2,CG,4,4,0,1,0,0,0,1,0,0,0,0,.256,.315,.463,.778,1,0,0,0,0,0,.250,0.90,0.047,0.90,0.03%,0.19,2,DH
22,1291,25,2022-05-05,COL,,WSN,W 9-7,CG,5,4,1,1,0,0,0,0,0,0,1,1,.256,.319,.453,.773,1,0,0,0,0,0,.333,0.53,0.000,0.52,0.00%,0.06,1,RF
23,1292,26,2022-05-06,COL,@,ARI,L 1-4,CG,4,3,0,0,0,0,0,0,0,0,0,1,.247,.309,.438,.747,0,0,0,1,0,0,.000,1.60,-0.137,1.77,-0.09%,-0.98,2,DH
24,1293,27,2022-05-07,COL,@,ARI,W 4-1,CG,5,5,0,0,0,0,0,0,0,0,0,0,.234,.294,.415,.709,0,0,0,0,0,0,.000,0.93,-0.116,0.98,-0.07%,-1.09,2,RF
25,1294,28,2022-05-08,COL,@,ARI,L 0-4,CG,4,4,0,1,1,0,0,0,0,0,0,1,.235,.292,.418,.711,2,0,0,0,0,0,.333,0.83,0.026,0.88,0.02%,0.18,3,RF
26,1295,30,2022-05-10,COL,@,SFG,L 2-9,CG,4,4,0,0,0,0,0,0,0,0,0,1,.225,.282,.402,.684,0,1,0,0,0,0,.000,0.77,-0.102,0.79,-0.06%,-1.38,3,RF
27,1296,31,2022-05-11,COL,@,SFG,L 1-7,CG,4,3,0,0,0,0,0,1,0,0,1,0,.219,.281,.390,.671,0,0,0,0,0,0,.000,0.70,-0.016,0.67,-0.01%,-0.05,3,RF
28,1297,32,2022-05-13,COL,,KCR,L 10-14,CG,5,5,1,1,0,0,0,0,0,0,0,0,.218,.277,.382,.659,1,0,0,0,0,0,.200,1.15,-0.110,0.97,-0.06%,-0.85,2,DH
29,1298,33,2022-05-14,COL,,KCR,W 10-4,CG,5,5,1,1,0,0,1,2,0,0,0,1,.217,.274,.400,.674,4,0,0,0,0,0,.000,0.43,0.122,0.35,0.06%,0.75,2,RF
30,1299,35,2022-05-16,COL,,SFG,L 6-7,CG,5,5,0,1,1,0,0,1,0,0,0,0,.217,.271,.400,.671,2,0,0,0,0,0,.200,2.00,0.004,1.80,0.00%,0.68,3,DH
31,1300,36,2022-05-17,COL,,SFG,L 7-10,CG,5,4,1,1,0,0,0,0,0,0,1,0,.218,.276,.395,.671,1,0,0,0,0,0,.250,0.46,0.001,0.39,0.00%,0.28,3,RF
32,1301,37,2022-05-18,COL,,SFG,W 5-3,CG,4,2,1,1,0,0,1,1,0,0,1,0,.222,.285,.421,.705,4,0,0,1,0,0,.000,1.72,0.034,1.30,0.02%,0.72,1,DH
33,1302,38,2022-05-21 (1),COL,,NYM,L 1-5,CG,4,4,0,1,0,0,0,0,0,0,0,0,.223,.284,.415,.699,1,0,0,0,0,0,.250,0.77,-0.039,0.58,-0.02%,-0.46,2,DH
34,1303,39,2022-05-21 (2),COL,,NYM,W 11-3,CG,5,4,1,0,0,0,0,0,0,0,0,1,.216,.281,.403,.684,0,0,1,0,0,0,.000,0.55,-0.041,0.40,-0.02%,-1.06,2,DH
35,1304,41,2022-05-23,COL,@,PIT,L 1-2,CG,4,4,0,1,0,0,0,0,0,0,0,0,.217,.280,.399,.679,1,1,0,0,0,0,.250,1.60,-0.061,1.08,-0.03%,-0.70,2,RF
36,1305,42,2022-05-24,COL,@,PIT,W 2-1 (10),GS-8,4,4,0,1,0,0,0,0,0,0,0,1,.218,.279,.394,.674,1,0,0,0,0,0,.333,1.36,0.093,0.85,0.04%,0.11,2,RF
37,1306,43,2022-05-25,COL,@,PIT,L 5-10,CG,5,3,0,1,0,0,0,0,0,0,2,0,.221,.289,.393,.682,1,1,0,0,0,0,.333,0.70,0.006,0.47,0.00%,-0.42,3,DH
38,1307,44,2022-05-26,COL,@,WSN,L 3-7,CG,4,4,1,1,0,1,0,1,0,0,0,0,.221,.288,.403,.691,3,0,0,0,0,0,.250,1.45,0.160,0.92,0.06%,1.55,3,DH
39,1308,45,2022-05-28 (1),COL,@,WSN,L 7-13,CG,5,5,1,3,0,0,0,1,0,0,0,0,.234,.298,.409,.707,3,0,0,0,0,0,.600,0.84,0.151,0.49,0.05%,1.27,3,RF
40,1309,46,2022-05-28 (2),COL,@,WSN,W 3-2,CG,5,5,0,2,0,0,0,1,0,0,0,1,.239,.301,.409,.709,2,0,0,0,0,0,.500,0.82,0.060,0.43,0.02%,0.56,3,DH
41,1310,47,2022-05-29,COL,@,WSN,L 5-6,CG,5,3,1,1,0,0,1,2,0,0,2,1,.241,.309,.426,.735,4,0,0,0,0,0,.000,1.79,0.009,1.05,0.00%,0.93,1,DH
42,1311,48,2022-05-30,COL,,MIA,W 7-1,GS-8,4,4,0,1,0,0,0,1,0,0,0,1,.241,.308,.422,.729,1,1,0,0,0,0,.333,1.09,-0.093,0.58,-0.03%,-0.32,1,RF
43,1312,49,2022-06-01 (1),COL,,MIA,L 1-14,CG,4,4,0,0,0,0,0,0,0,0,0,1,.235,.301,.412,.713,0,0,0,0,0,0,.000,0.47,-0.049,0.27,-0.02%,-0.67,1,DH
44,1313,50,2022-06-01 (2),COL,,MIA,W 13-12 (10),CG(10),6,4,0,1,0,0,0,0,0,0,1,1,.236,.307,.408,.715,1,0,1,0,0,0,.333,1.36,0.046,0.72,0.02%,-0.11,2,DH
45,1314,51,2022-06-02,COL,,ATL,L 6-13,CG,5,5,1,4,0,0,0,2,0,0,0,1,.251,.320,.419,.739,4,0,0,0,0,0,1.000,0.60,0.141,0.36,0.05%,2.92,2,DH
46,1315,52,2022-06-03,COL,,ATL,L 1-3 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,0,.246,.313,.410,.723,0,0,0,0,0,0,.000,1.58,-0.165,0.86,-0.05%,-1.12,2,DH
47,1316,53,2022-06-04,COL,,ATL,L 2-6 (11),CG(11),5,5,0,0,0,0,0,0,0,0,0,0,.239,.306,.399,.705,0,0,0,0,0,0,.000,1.60,-0.201,0.76,-0.06%,-1.62,1,DH
48,1317,54,2022-06-05,COL,,ATL,L 7-8,CG,5,5,1,2,0,0,1,1,0,0,0,2,.244,.308,.415,.723,5,0,0,0,0,0,.500,1.24,0.052,0.54,0.01%,0.16,3,DH
49,1318,55,2022-06-07,COL,@,SFG,W 5-3,6-GF,2,2,1,1,0,0,1,3,0,0,0,0,.246,.310,.431,.741,4,0,0,0,0,0,.000,1.44,0.285,0.57,0.07%,1.64,8,PH RF
50,1319,56,2022-06-08,COL,@,SFG,L 1-2 (10),CG(10),4,4,0,2,1,0,0,1,0,0,0,1,.251,.313,.437,.751,3,0,0,0,0,0,.667,1.32,0.123,0.64,0.04%,1.09,2,RF
51,1320,57,2022-06-09,COL,@,SFG,W 4-2,CG,5,5,1,3,2,0,0,0,0,0,0,0,.260,.320,.451,.771,5,0,0,0,0,0,.600,0.81,0.215,0.34,0.06%,1.99,2,DH
52,1321,58,2022-06-10,COL,@,SDP,L 0-9,CG,4,4,0,1,0,0,0,0,0,0,0,2,.260,.319,.447,.766,1,0,0,0,0,0,.500,0.35,0.005,0.15,0.00%,-0.22,2,DH
53,1322,59,2022-06-11 (1),COL,@,SDP,L 1-2 (10),CG(10),5,5,1,1,0,0,0,0,0,0,0,2,.258,.316,.441,.757,1,0,0,0,0,0,.333,1.90,-0.015,0.76,0.00%,-0.05,2,DH
