Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1501,1,2024-03-28,COL,@,ARI,L 1-16,GS-6,3,2,0,0,0,0,0,0,0,0,1,0,.000,.333,.000,.333,0,0,0,0,0,0,.000,0.54,-0.040,0.54,-0.02%,-0.14,2.00,3.00,1,RF
2,1502,2,2024-03-29,COL,@,ARI,L 3-7,CG,4,4,1,1,0,1,0,1,0,0,0,0,.167,.286,.500,.786,3,0,0,0,0,0,.250,0.56,-0.051,0.53,-0.03%,1.30,12.00,15.70,1,DH
3,1503,3,2024-03-30,COL,@,ARI,W 9-4,GS-8,5,5,1,2,1,0,0,2,1,0,0,0,.273,.333,.545,.879,3,0,0,0,0,0,.400,1.20,0.271,1.10,0.15%,1.67,19.00,25.20,1,RF
4,1504,5,2024-04-01,COL,@,CHC,L 0-5,CG,4,4,0,1,0,0,0,0,0,0,0,0,.267,.313,.467,.779,1,0,0,0,0,0,.250,0.53,-0.019,0.45,-0.01%,-0.37,3.00,3.00,1,RF
5,1505,6,2024-04-02,COL,@,CHC,L 2-12,CG,4,4,0,3,1,0,0,0,0,0,0,0,.368,.400,.579,.979,4,0,0,0,0,0,.750,0.40,0.032,0.33,0.02%,1.05,11.00,12.00,1,DH
6,1506,7,2024-04-03,COL,@,CHC,L 8-9,CG,5,5,1,3,1,0,0,2,0,0,0,0,.417,.440,.625,1.065,4,0,0,0,0,0,.600,0.87,0.121,0.71,0.06%,2.65,17.00,22.20,1,RF
7,1507,8,2024-04-05,COL,,TBR,W 10-7,GS-9,4,4,0,0,0,0,0,0,0,0,0,1,.357,.379,.536,.915,0,0,0,0,0,0,.000,0.83,-0.086,0.60,-0.04%,-0.86,0.00,0.00,1,RF
8,1508,9,2024-04-06,COL,,TBR,L 6-8,CG,5,5,0,1,0,0,0,0,0,0,0,0,.333,.353,.485,.838,1,0,0,0,0,0,.200,0.64,-0.061,0.46,-0.03%,-0.41,3.00,3.00,1,DH
9,1509,10,2024-04-07,COL,,TBR,L 2-3,GS-9,4,3,0,0,0,0,0,0,0,0,1,1,.306,.342,.444,.787,0,0,0,0,0,0,.000,1.27,0.069,0.87,0.03%,0.07,2.00,3.00,1,RF
10,1510,11,2024-04-08,COL,,ARI,W 7-5,CG,5,4,2,2,0,1,1,1,0,0,1,2,.325,.372,.575,.947,7,0,0,0,0,0,1.000,1.04,0.080,0.76,0.04%,1.66,26.00,33.90,1,DH
11,1511,12,2024-04-09,COL,,ARI,L 2-3,CG,4,2,1,1,0,0,0,0,0,0,2,0,.333,.404,.571,.976,1,0,0,0,0,0,.500,1.22,0.073,0.96,0.03%,0.82,9.00,12.20,1,DH
12,1512,13,2024-04-10,COL,,ARI,L 3-5,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.326,.396,.558,.954,0,0,0,0,0,0,,1.95,-0.051,1.34,-0.02%,-0.26,0.00,0.00,9,PH
13,1513,15,2024-04-13,COL,@,TOR,L 3-5,CG,4,3,0,0,0,0,0,0,0,0,1,1,.304,.385,.522,.906,0,0,0,0,0,0,.000,0.88,-0.043,0.57,-0.02%,-0.31,2.00,3.00,1,DH
14,1514,16,2024-04-14,COL,@,TOR,L 0-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.280,.357,.480,.837,0,0,0,0,0,0,.000,1.18,-0.121,0.69,-0.04%,-1.26,0.00,0.00,1,RF
15,1515,17,2024-04-15,COL,@,PHI,L 1-2 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,0,.259,.333,.444,.778,0,1,0,0,0,0,.000,1.43,-0.199,0.83,-0.07%,-1.31,0.00,0.00,1,DH
16,1516,18,2024-04-16,COL,@,PHI,L 0-5,CG,4,4,0,1,0,0,0,0,0,0,0,1,.259,.328,.431,.759,1,0,0,0,0,0,.333,1.06,-0.072,0.56,-0.02%,-0.29,3.00,3.00,1,DH
17,1517,19,2024-04-17,COL,@,PHI,L 6-7,8-8,1,1,0,0,0,0,0,1,0,0,0,0,.254,.323,.424,.747,0,0,0,0,0,0,.000,2.52,-0.034,1.27,-0.01%,0.03,2.00,3.50,8,PH
18,1518,20,2024-04-20,COL,,SEA,L 0-7,GS-9,3,3,0,0,0,0,0,0,0,0,0,1,.242,.309,.403,.712,0,0,0,0,0,0,.000,0.67,-0.055,0.28,-0.01%,-0.76,0.00,0.00,1,DH
19,1519,21,2024-04-21 (1),COL,,SEA,W 2-1 (10),CG(10),5,4,1,1,0,0,0,0,0,0,1,1,.242,.315,.394,.709,1,0,0,0,0,0,.333,1.72,0.149,0.64,0.03%,0.14,7.00,9.20,1,DH
