Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,1,2021-04-01,HOU,@,OAK,W 8-1,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,,,,,2,LF
2,2,3,2021-04-03,HOU,@,OAK,W 9-1,2-GF,4,3,2,1,1,0,0,1,0,0,0,1,.333,.500,.667,1.167,2,0,1,0,0,0,.500,0.72,-0.030,0.85,-0.02%,1.12,2,PH LF
3,3,4,2021-04-04,HOU,@,OAK,W 9-2,CG,4,4,1,1,0,0,1,3,0,0,0,2,.286,.375,.857,1.232,4,0,0,0,0,0,.000,0.26,0.040,0.31,0.03%,2.05,9,LF
4,4,5,2021-04-05,HOU,@,LAA,L 6-7,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,.250,.333,.750,1.083,0,0,0,0,0,0,.000,2.19,-0.056,2.76,-0.04%,-0.17,7,LF
5,5,6,2021-04-06,HOU,@,LAA,W 4-2,9-GF,0,0,1,0,0,0,0,0,0,0,0,0,.250,.333,.750,1.083,0,,0,0,,,,,0.000,,0.00%,0.00,4,PR DH
6,6,11,2021-04-13,HOU,,DET,L 2-8,7-GF,2,1,0,0,0,0,0,1,0,0,0,0,.222,.273,.667,.939,0,0,0,0,1,0,.000,0.14,-0.007,0.15,0.00%,-0.23,8,CF
7,7,13,2021-04-16,HOU,@,SEA,L 5-6,GS-8,3,3,0,1,1,0,0,1,0,0,0,0,.250,.286,.667,.952,2,0,0,0,0,0,.333,1.16,0.046,1.26,0.03%,0.54,8,RF
8,8,15,2021-04-18,HOU,@,SEA,L 2-7,GS-9,3,2,1,0,0,0,0,0,1,0,1,1,.214,.294,.571,.866,0,0,0,0,0,0,.000,1.34,0.015,1.51,0.01%,-0.05,6,LF
9,9,17,2021-04-21,HOU,@,COL,L 3-6,CG,4,4,0,0,0,0,0,0,0,0,0,1,.167,.238,.444,.683,0,0,0,0,0,0,.000,0.79,-0.084,0.66,-0.04%,-0.91,1,CF
10,10,19,2021-04-23,HOU,,LAA,W 5-4 (10),9-10,0,0,0,0,0,0,0,0,0,0,0,0,.167,.238,.444,.683,0,,0,0,,,,,,,,,2,PR LF
11,11,20,2021-04-24,HOU,,LAA,W 16-2,6-GF,2,1,0,0,0,0,0,0,0,0,0,0,.158,.261,.421,.682,0,0,1,0,0,0,.000,0.00,0.000,0.00,0.00%,-0.12,3,LF
12,12,24,2021-04-28,HOU,,SEA,W 7-5,GS-8,3,3,1,1,0,0,0,1,0,0,0,1,.182,.269,.409,.678,1,0,0,0,0,0,.500,1.16,0.044,1.30,0.03%,0.51,7,LF
13,13,25,2021-04-29,HOU,,SEA,L 0-1,CG,3,3,0,0,0,0,0,0,0,0,0,1,.160,.241,.360,.601,0,0,0,0,0,0,.000,1.20,-0.092,1.43,-0.07%,-0.53,7,RF
14,14,26,2021-04-30,HOU,@,TBR,W 9-2,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.160,.241,.360,.601,0,,0,0,,,,,,,,,2,LF
