Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,596,1,2021-04-01,LAD,@,COL,L 5-8,CG,5,3,0,1,0,0,0,0,0,0,2,1,.333,.600,.333,.933,1,0,0,0,0,0,.500,1.31,0.027,1.37,0.02%,0.17,6,LF
2,597,3,2021-04-03,LAD,@,COL,W 6-5,GS-8,5,5,0,1,1,0,0,1,0,0,0,3,.250,.400,.375,.775,2,0,0,0,0,0,.500,1.39,-0.008,1.46,-0.01%,-0.28,3,RF
3,598,4,2021-04-04,LAD,@,COL,W 4-2,CG,4,1,0,0,0,0,0,1,0,0,3,0,.222,.500,.333,.833,0,0,0,0,0,0,.000,0.82,0.100,0.95,0.07%,1.43,6,CF
4,599,5,2021-04-05,LAD,@,OAK,W 10-3,GS-3,2,1,2,1,0,0,0,0,0,0,0,0,.300,.563,.400,.963,1,0,1,0,0,0,1.000,0.65,0.067,0.67,0.04%,1.54,7,2B
5,600,7,2021-04-07,LAD,@,OAK,L 3-4 (10),CG(10),6,4,2,2,1,0,0,0,0,0,1,1,.357,.591,.500,1.091,3,0,1,0,0,0,.667,1.47,0.065,1.62,0.04%,1.35,1,CF
6,601,8,2021-04-09,LAD,,WSN,W 1-0,CG,4,3,0,0,0,0,0,0,0,0,1,2,.294,.538,.412,.950,0,0,0,0,0,0,.000,0.77,-0.053,0.87,-0.04%,-0.53,1,CF
7,602,9,2021-04-10,LAD,,WSN,W 9-5,CG,5,5,1,1,0,0,1,3,0,0,0,1,.273,.484,.500,.984,4,0,0,0,0,0,.000,0.63,0.162,0.71,0.11%,1.44,1,CF
8,603,10,2021-04-11,LAD,,WSN,W 3-0,CG,3,3,1,1,0,0,0,0,0,0,0,1,.280,.471,.480,.951,1,0,0,0,0,0,.500,0.83,-0.025,0.97,-0.02%,-0.21,5,CF
9,604,11,2021-04-13,LAD,,COL,W 7-0,CG,5,5,1,2,0,0,1,1,0,0,0,1,.300,.462,.567,1.028,5,0,0,0,0,0,.333,0.28,0.073,0.35,0.06%,0.58,3,CF
10,605,12,2021-04-14,LAD,,COL,W 4-2,7-GF,1,1,0,0,0,0,0,0,0,0,0,1,.290,.450,.548,.998,0,0,0,0,0,0,,1.71,-0.051,2.17,-0.04%,-0.62,6,CF
