Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1066,6,2025-03-31,LAD,,ATL,W 6-1,7-GF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,,,,,0.00,0.00,3,CF
2,1067,7,2025-04-01,LAD,,ATL,W 3-1,CG,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.67,-0.050,0.73,-0.03%,-0.48,0.00,0.00,9,LF
3,1068,9,2025-04-04,LAD,@,PHI,L 2-3,9-GF,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,0,,0,0,,,,3.90,-0.081,4.42,-0.06%,-0.24,0.00,0.00,5,PR
4,1069,12,2025-04-07,LAD,@,WSN,L 4-6,GS-8,2,2,1,1,0,0,0,0,0,0,0,0,.200,.200,.200,.400,1,0,0,0,0,0,.500,0.66,-0.009,0.75,-0.01%,-0.03,5.00,6.20,9,LF
5,1070,13,2025-04-08,LAD,@,WSN,L 2-8,6-GF,2,2,0,0,0,0,0,0,0,0,0,2,.143,.143,.143,.286,0,0,0,0,0,0,,0.13,-0.007,0.14,0.00%,-0.91,0.00,0.00,4,CF
6,1071,15,2025-04-11,LAD,,CHC,W 3-0,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.143,.143,.143,.286,0,,0,0,,,,,,,,,0.00,0.00,7,LF
7,1072,16,2025-04-12,LAD,,CHC,L 0-16,8-GF,1,1,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,1,0,0,0,0,0,1.000,0.00,0.000,0.00,0.00%,0.12,3.00,3.00,4,CF
8,1073,18,2025-04-14,LAD,,COL,W 5-3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,.500,0,,0,0,,,,,,,,,0.00,0.00,5,LF
9,1074,19,2025-04-15,LAD,,COL,W 6-2,CG,4,4,0,1,0,0,0,1,0,0,0,1,.250,.250,.250,.500,1,1,0,0,0,0,.333,0.92,-0.057,0.95,-0.04%,-0.74,5.00,6.50,8,CF LF
10,1075,20,2025-04-16,LAD,,COL,W 8-7,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,.500,0,,0,0,,,,,,,,,0.00,0.00,5,LF
11,1076,21,2025-04-18,LAD,@,TEX,W 3-0,9-GF,0,0,1,0,0,0,0,0,0,0,0,0,.250,.250,.250,.500,0,,0,0,,,,,0.000,,0.00%,0.00,2.00,3.20,3,PR LF
12,1077,22,2025-04-19,LAD,@,TEX,L 3-4,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,.500,0,,0,0,,,,,,,,,0.00,0.00,5,LF
13,1078,23,2025-04-20,LAD,@,TEX,W 1-0,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,.500,0,,0,0,,,,,,,,,0.00,0.00,6,LF
14,1079,24,2025-04-22,LAD,@,CHC,L 10-11 (10),10-GF(10),0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,.500,0,,0,0,,,,,,,,,0.00,0.00,8,LF
15,1080,28,2025-04-27,LAD,,PIT,W 9-2,6-GF,2,2,1,1,0,0,0,0,0,0,0,0,.286,.286,.286,.571,1,0,0,0,0,0,.500,0.02,0.001,0.02,0.00%,0.03,5.00,6.20,3,PH LF
16,1081,29,2025-04-28,LAD,,MIA,W 7-6 (10),8-9,0,0,0,0,0,0,0,0,0,0,0,0,.286,.286,.286,.571,0,,0,0,,,,,,,,,0.00,0.00,8,PR
17,1082,30,2025-04-29,LAD,,MIA,W 15-2,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,.267,.267,.267,.533,0,0,0,0,0,0,.000,0.00,0.000,0.00,0.00%,-0.23,0.00,0.00,7,2B
18,1083,31,2025-04-30,LAD,,MIA,W 12-7,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.250,.250,.250,.500,0,0,0,0,0,0,,0.00,0.000,0.00,0.00%,-0.23,0.00,0.00,2,2B
19,1084,32,2025-05-02,LAD,@,ATL,W 2-1,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,.500,0,,0,0,,,,0.88,0.013,1.03,0.01%,0.09,0.00,0.00,8,PR LF
20,1085,33,2025-05-03,LAD,@,ATL,W 10-3,CG,4,4,0,0,0,0,0,0,0,0,0,3,.200,.200,.200,.400,0,0,0,0,0,0,.000,0.40,-0.042,0.48,-0.03%,-0.75,0.00,0.00,9,2B LF
21,1086,35,2025-05-05,LAD,@,MIA,W 7-4,4-GF,3,3,0,1,1,0,0,1,0,0,0,1,.217,.217,.261,.478,2,0,0,0,0,0,.500,0.14,0.005,0.17,0.00%,0.51,7.00,9.50,4,CF
22,1087,36,2025-05-06,LAD,@,MIA,L 4-5 (10),10-GF(10),0,0,0,0,0,0,0,0,0,0,0,0,.217,.217,.261,.478,0,,0,0,,,,,,,,,0.00,0.00,2,RF
23,1088,37,2025-05-07,LAD,@,MIA,W 10-1,7-GF,1,1,0,0,0,0,0,0,0,0,0,1,.208,.208,.250,.458,0,0,0,0,0,0,,0.01,0.000,0.01,0.00%,-0.18,0.00,0.00,3,LF
