Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,836,2,2024-03-30,MIN,@,KCR,W 5-1,CG,4,4,1,1,0,0,0,1,0,0,0,1,.250,.250,.250,.500,1,1,0,0,0,0,.333,3.17,-0.039,3.26,-0.02%,-0.74,7.00,9.70,9,C
2,837,4,2024-04-02,MIN,@,MIL,L 2-3,CG,3,2,0,0,0,0,0,1,0,0,0,0,.167,.143,.167,.310,0,0,0,0,1,0,.000,2.03,-0.091,1.91,-0.05%,-0.48,2.00,3.50,9,C
3,838,6,2024-04-04,MIN,,CLE,L 2-4,CG,4,4,0,1,0,0,0,0,0,0,0,0,.200,.182,.200,.382,1,0,0,0,0,0,.250,1.92,0.004,2.00,0.00%,0.10,3.00,3.00,9,C
4,839,8,2024-04-08,MIN,,LAD,L 2-4,CG,3,3,0,0,0,0,0,0,0,0,0,1,.154,.143,.154,.297,0,0,0,0,0,0,.000,0.74,-0.060,0.63,-0.03%,-0.53,0.00,0.00,7,C
5,840,10,2024-04-10,MIN,,LAD,W 3-2,CG,3,2,0,0,0,0,0,0,0,0,1,1,.133,.176,.133,.310,0,0,0,0,0,0,.000,1.18,-0.035,0.88,-0.02%,-0.45,2.00,3.00,8,C
6,841,11,2024-04-12,MIN,@,DET,L 2-8,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.125,.167,.125,.292,0,0,0,0,0,0,.000,0.03,-0.001,0.03,0.00%,-0.44,0.00,0.00,5,3B
7,842,12,2024-04-13 (1),MIN,@,DET,W 11-5 (12),CG(12),5,4,1,0,0,0,0,0,0,0,0,2,.100,.136,.100,.236,0,0,0,1,0,0,.000,2.42,-0.029,2.08,-0.02%,-0.03,2.00,3.20,8,C
8,843,14,2024-04-14,MIN,@,DET,L 3-4,GS-9,3,3,1,1,0,0,1,1,0,0,0,1,.130,.160,.261,.421,4,0,0,0,0,0,.000,0.71,0.049,0.69,0.03%,0.49,14.00,18.70,8,C
9,844,15,2024-04-15,MIN,@,BAL,L 4-7,GS-9,3,3,0,0,0,0,0,0,0,0,0,1,.115,.143,.231,.374,0,1,0,0,0,0,.000,1.15,-0.127,0.98,-0.07%,-1.22,0.00,0.00,7,DH
10,845,16,2024-04-16,MIN,@,BAL,L 3-11,CG,4,4,0,1,0,0,0,0,0,0,0,0,.133,.156,.233,.390,1,1,0,0,0,0,.250,0.26,-0.045,0.22,-0.02%,-0.58,3.00,3.00,9,C
11,846,18,2024-04-19,MIN,,DET,L 4-5,CG,4,3,0,0,0,0,0,0,0,0,0,1,.121,.143,.212,.355,0,0,0,1,0,0,.000,2.18,-0.198,1.57,-0.09%,-0.80,0.00,0.00,8,C
12,847,20,2024-04-21,MIN,,DET,L 1-6,GS-9,3,3,0,1,0,0,0,0,0,0,0,1,.139,.158,.222,.380,1,0,0,0,0,0,.500,0.47,0.017,0.35,0.01%,0.12,3.00,3.00,9,C
13,848,22,2024-04-23,MIN,,CHW,W 6-5,CG,4,4,0,1,0,0,0,0,0,0,0,2,.150,.167,.225,.392,1,0,0,0,0,0,.500,1.52,-0.183,0.96,-0.07%,-0.63,3.00,3.00,9,C
14,849,23,2024-04-24,MIN,,CHW,W 6-3,CG,4,4,1,3,0,0,0,1,0,0,0,1,.205,.217,.273,.490,3,0,0,0,0,0,1.000,0.71,0.102,0.49,0.04%,1.07,13.00,15.70,7,C
15,850,25,2024-04-26,MIN,@,LAA,W 5-3,CG,4,4,0,1,0,0,0,0,0,0,0,1,.208,.220,.271,.491,1,0,0,0,0,0,.333,0.44,-0.001,0.35,0.00%,-0.31,3.00,3.00,7,C
16,851,27,2024-04-28,MIN,@,LAA,W 11-5,CG,5,4,1,3,0,0,0,0,1,0,1,0,.250,.273,.308,.580,3,0,0,0,0,0,.750,0.49,0.043,0.44,0.02%,1.15,18.00,21.20,7,C
17,852,28,2024-04-29,MIN,@,CHW,W 3-2,CG,4,4,0,0,0,0,0,0,1,0,0,3,.232,.254,.286,.540,0,0,0,0,0,0,.000,1.00,-0.032,0.95,-0.02%,-0.51,5.00,6.00,8,C
18,853,29,2024-04-30,MIN,@,CHW,W 6-5,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.232,.254,.286,.540,0,,0,0,,,,,,,,,0.00,0.00,9,C
19,854,30,2024-05-01,MIN,@,CHW,W 10-5,CG,5,5,0,0,0,0,0,1,0,0,0,2,.213,.234,.262,.497,0,0,0,0,0,0,.000,1.26,-0.169,1.31,-0.11%,-1.54,2.00,3.50,9,C
20,855,32,2024-05-04,MIN,,BOS,W 3-1,CG,4,4,0,1,0,0,0,0,0,0,0,1,.215,.235,.262,.497,1,0,0,0,0,0,.333,0.43,-0.020,0.50,-0.01%,-0.16,3.00,3.00,7,C
21,856,34,2024-05-06,MIN,,SEA,W 3-1,CG,3,2,0,0,0,0,0,1,0,0,0,1,.209,.225,.254,.479,0,0,0,0,1,0,.000,2.16,-0.004,2.46,0.00%,-0.72,2.00,3.50,8,C
22,857,36,2024-05-08,MIN,,SEA,W 6-3,CG,3,3,0,0,0,0,0,0,0,0,0,2,.200,.216,.243,.459,0,0,0,0,0,0,.000,0.47,-0.037,0.52,-0.03%,-0.63,0.00,0.00,8,C
23,858,38,2024-05-10,MIN,@,TOR,W 3-2,CG,3,3,0,0,0,0,0,0,0,0,0,1,.192,.208,.233,.441,0,0,0,0,0,0,.000,0.57,-0.043,0.68,-0.03%,-0.41,0.00,0.00,8,C
24,859,40,2024-05-12,MIN,@,TOR,W 5-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.182,.198,.221,.418,0,0,0,0,0,0,.000,0.58,0.004,0.69,0.00%,-0.05,0.00,0.00,8,C
25,860,41,2024-05-14,MIN,,NYY,L 1-5,CG,3,3,0,0,0,0,0,0,0,0,0,0,.175,.190,.213,.403,0,0,0,0,0,0,.000,1.04,-0.078,1.28,-0.06%,-0.85,0.00,0.00,8,C
26,861,43,2024-05-16,MIN,,NYY,L 0-5,CG,3,2,0,0,0,0,0,0,0,0,0,0,.171,.195,.207,.403,0,0,1,0,0,0,.000,0.45,0.008,0.53,0.01%,-0.08,2.00,3.00,9,C
27,862,45,2024-05-18,MIN,@,CLE,L 4-11,CG,4,4,0,0,0,0,0,0,0,0,0,0,.163,.187,.198,.384,0,0,0,0,0,0,.000,0.33,-0.035,0.41,-0.03%,-1.04,0.00,0.00,9,C
28,863,46,2024-05-19,MIN,@,CLE,L 2-5,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.163,.187,.198,.384,0,,0,0,,,,,,,,,0.00,0.00,7,C
29,864,47,2024-05-20,MIN,@,WSN,L 3-12,CG,4,4,0,0,0,0,0,0,0,0,0,1,.156,.179,.189,.368,0,0,0,0,0,0,.000,0.56,-0.058,0.51,-0.03%,-0.91,0.00,0.00,9,C
30,865,48,2024-05-21,MIN,@,WSN,W 10-0,CG,4,4,0,1,0,0,0,0,0,0,0,0,.160,.182,.191,.373,1,0,0,0,0,0,.250,0.16,-0.001,0.15,0.00%,-0.23,3.00,3.00,9,C
31,866,50,2024-05-24,MIN,,TEX,W 3-2,CG,4,4,0,2,1,0,0,1,0,0,0,0,.173,.194,.214,.408,3,1,0,0,0,0,.500,1.23,0.110,1.19,0.06%,0.53,10.00,12.50,9,C
32,867,52,2024-05-26,MIN,,TEX,L 2-6,CG,3,3,0,0,0,0,0,0,0,0,0,1,.168,.189,.208,.397,0,0,0,0,0,0,.000,0.56,-0.043,0.56,-0.03%,-0.56,0.00,0.00,9,C
33,868,54,2024-05-28,MIN,,KCR,W 4-2,CG,4,4,1,0,0,0,0,0,0,0,0,2,.162,.182,.200,.382,0,0,0,0,0,0,.000,0.70,-0.055,0.81,-0.04%,-1.24,2.00,3.20,9,C
34,869,56,2024-05-30,MIN,,KCR,W 7-6,CG,4,4,0,1,0,0,0,0,0,1,0,1,.165,.184,.202,.386,1,0,0,0,0,0,.333,1.47,-0.175,1.68,-0.12%,-1.38,3.00,3.00,9,C
35,870,58,2024-06-01,MIN,@,HOU,L 2-5,CG,3,3,0,0,0,0,0,0,0,0,0,1,.161,.179,.196,.376,0,1,0,0,0,0,.000,0.73,-0.090,0.78,-0.06%,-1.31,0.00,0.00,9,C
36,871,60,2024-06-04,MIN,@,NYY,L 1-5,CG,3,3,0,1,1,0,0,0,0,0,0,0,.165,.183,.209,.392,2,1,0,0,0,0,.333,0.96,-0.026,1.00,-0.02%,-0.26,5.00,6.00,9,C
37,872,62,2024-06-06,MIN,@,NYY,L 5-8,CG,4,3,1,1,0,0,1,1,0,0,1,0,.169,.194,.237,.431,4,0,0,0,0,0,.000,1.03,0.072,1.02,0.04%,0.53,16.00,21.70,9,C
38,873,64,2024-06-08,MIN,@,PIT,L 0-4,GS-8,2,2,0,1,0,0,0,0,0,0,0,0,.175,.198,.242,.440,1,0,0,0,0,0,.500,1.48,0.027,1.35,0.02%,0.37,3.00,3.00,9,C
39,874,66,2024-06-10,MIN,,COL,W 5-0,CG,3,2,1,1,1,0,0,1,0,0,0,0,.180,.202,.254,.456,2,1,0,0,1,0,.333,0.85,0.010,0.73,0.01%,0.26,9.00,12.70,9,C
40,875,68,2024-06-12,MIN,,COL,W 17-9,CG,5,5,1,2,2,0,0,2,0,0,0,0,.189,.209,.276,.485,4,0,0,0,0,0,.400,0.16,0.007,0.14,0.00%,1.54,16.00,22.20,9,C
41,876,70,2024-06-14,MIN,,OAK,W 6-5 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,2,.183,.203,.267,.470,0,0,0,0,0,0,.000,1.25,-0.127,1.19,-0.07%,-0.74,0.00,0.00,9,C
42,877,72,2024-06-16 (2),MIN,,OAK,W 8-7,CG,4,4,0,1,0,0,0,0,0,0,0,1,.185,.204,.267,.471,1,0,0,0,0,0,.333,1.40,-0.054,1.44,-0.03%,-0.63,3.00,3.00,8,C
43,878,74,2024-06-19,MIN,,TBR,L 2-3 (10),CG(10),4,3,0,0,0,0,0,0,0,0,1,1,.181,.205,.261,.466,0,0,0,0,0,0,.000,1.01,-0.060,1.20,-0.04%,-0.36,2.00,3.00,8,C
44,879,76,2024-06-21,MIN,@,OAK,L 5-6,CG,4,4,1,2,0,0,0,0,0,0,0,0,.190,.213,.268,.481,2,0,0,0,0,0,.500,0.84,-0.002,0.87,0.00%,-0.07,8.00,9.20,8,C
45,880,78,2024-06-23,MIN,@,OAK,W 3-0,CG,3,2,0,0,0,0,0,0,0,0,1,1,.188,.216,.264,.480,0,0,0,0,0,0,.000,0.42,-0.007,0.41,0.00%,-0.25,2.00,3.00,9,C
46,881,80,2024-06-26,MIN,@,ARI,W 8-3,CG,5,5,0,1,0,0,0,0,0,0,0,2,.188,.215,.262,.477,1,0,0,0,0,0,.333,0.36,-0.052,0.35,-0.03%,-1.57,3.00,3.00,9,C
47,882,82,2024-06-28,MIN,@,SEA,L 2-3 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,0,.183,.210,.255,.465,0,0,0,0,0,0,.000,2.08,-0.213,2.37,-0.15%,-1.06,0.00,0.00,9,C
48,883,84,2024-06-30,MIN,@,SEA,W 5-3,CG,3,2,0,0,0,0,0,0,0,0,0,0,.181,.207,.252,.459,0,0,0,1,0,0,.000,0.73,-0.037,0.84,-0.03%,-0.46,0.00,0.00,9,C
49,884,86,2024-07-03,MIN,,DET,L 2-9,CG,4,4,1,2,0,0,1,1,0,0,0,0,.189,.214,.277,.491,5,0,0,0,0,0,.333,0.70,0.001,0.81,0.00%,0.59,17.00,21.70,9,C
50,885,88,2024-07-05,MIN,,HOU,L 12-13,CG,5,4,1,2,1,0,0,1,0,0,0,0,.196,.221,.288,.509,3,0,0,1,0,0,.500,1.24,-0.113,1.49,-0.08%,0.33,12.00,15.70,9,C
51,886,90,2024-07-07,MIN,,HOU,W 3-2,CG,4,4,1,2,0,0,1,3,0,0,0,1,.204,.227,.311,.539,5,0,0,0,0,0,.500,1.99,0.349,2.46,0.26%,1.02,21.00,28.70,9,C
52,887,91,2024-07-08,MIN,@,CHW,W 8-6 (11),9-GF(11),1,1,0,0,0,0,0,0,0,0,0,0,.202,.226,.310,.536,0,0,0,0,0,0,.000,1.04,-0.028,1.15,-0.02%,-0.35,0.00,0.00,9,C
53,888,92,2024-07-10 (1),MIN,@,CHW,L 1-3,CG,3,3,0,0,0,0,0,0,0,0,0,2,.199,.222,.304,.526,0,0,0,0,0,0,.000,0.83,-0.063,0.97,-0.04%,-0.48,0.00,0.00,9,C
54,889,94,2024-07-12,MIN,@,SFG,L 1-7,GS-7,2,2,0,0,0,0,0,0,0,0,0,1,.197,.220,.301,.520,0,1,0,0,0,0,.000,1.80,-0.117,2.24,-0.09%,-1.21,0.00,0.00,9,DH
55,890,95,2024-07-13,MIN,@,SFG,W 4-2,CG,4,4,1,1,0,0,0,0,0,0,0,1,.198,.220,.299,.520,1,1,0,0,0,0,.333,1.14,-0.116,1.49,-0.09%,-0.95,5.00,6.20,9,3B
56,891,96,2024-07-14,MIN,@,SFG,L 2-3,GS-9,2,2,0,0,0,0,0,0,0,0,0,0,.196,.218,.296,.514,0,0,0,0,0,0,.000,0.78,-0.038,0.95,-0.03%,-0.30,0.00,0.00,8,C
