Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,2,2017-10-06,ARI,@,LAD,L 5-9,NLDS G1,7-7,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.000,0.59,0.027,9.25,0.23%,0.26,9,PH
2,2,4,2017-10-09,ARI,,LAD,L 1-3,NLDS G3,6-7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1.41,0.059,14.61,0.39%,0.40,9,PH
3,3,1,2023-10-03,ARI,@,MIL,W 6-3,NLWC G1,CG,5,4,0,3,1,0,0,2,1,0,1,1,4,0,0,0,0,0,1.000,1.21,0.210,12.56,1.37%,2.65,4,1B
4,4,2,2023-10-04,ARI,@,MIL,W 5-2,NLWC G2,CG,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.72,-0.134,7.90,-0.92%,-1.45,4,1B
5,5,3,2023-10-07,ARI,@,LAD,W 11-2,NLDS G1,CG,5,3,2,1,1,0,0,1,0,0,1,1,2,0,1,0,0,0,.500,0.37,0.120,5.86,1.20%,1.97,4,1B
6,6,4,2023-10-09,ARI,@,LAD,W 4-2,NLDS G2,CG,5,3,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,.000,0.88,-0.036,13.44,-0.35%,-0.97,4,1B
7,7,5,2023-10-11,ARI,,LAD,W 4-2,NLDS G3,CG,4,3,1,1,0,0,1,1,0,0,1,1,4,0,0,0,0,0,.000,0.47,0.054,4.90,0.31%,0.65,4,1B
8,8,6,2023-10-16,ARI,@,PHI,L 3-5,NLCS G1,CG,4,3,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,.000,0.89,-0.027,23.10,-0.40%,-0.21,4,1B
9,9,7,2023-10-17,ARI,@,PHI,L 0-10,NLCS G2,CG,4,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,.500,0.90,-0.098,23.63,-1.46%,-0.61,4,1B
10,10,8,2023-10-19,ARI,,PHI,W 2-1,NLCS G3,CG,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,.000,1.68,-0.046,34.95,-0.55%,-0.24,4,1B
11,11,9,2023-10-20,ARI,,PHI,W 6-5,NLCS G4,CG,5,4,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,.000,1.72,0.036,52.67,0.72%,0.23,4,1B
12,12,10,2023-10-21,ARI,,PHI,L 1-6,NLCS G5,CG,4,4,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,.500,0.98,-0.062,40.68,-1.66%,-0.57,4,1B
13,13,11,2023-10-23,ARI,@,PHI,W 5-1,NLCS G6,CG,4,2,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,.000,0.69,-0.002,26.93,0.01%,-0.06,4,1B
14,14,12,2023-10-24,ARI,@,PHI,W 4-2,NLCS G7,CG,4,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.000,1.05,-0.024,87.17,-1.05%,-0.01,4,1B
15,15,13,2023-10-27,ARI,@,TEX,L 5-6 (11),WS G1,CG(11),5,4,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,.000,1.08,-0.089,56.38,-2.73%,-0.67,4,1B
16,16,14,2023-10-28,ARI,@,TEX,W 9-1,WS G2,CG,5,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.200,0.61,-0.076,32.10,-2.47%,-0.63,4,1B
17,17,15,2023-10-30,ARI,,TEX,L 1-3,WS G3,CG,4,4,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,.333,0.99,-0.016,61.87,-0.94%,0.04,4,1B
18,18,16,2023-10-31,ARI,,TEX,L 7-11,WS G4,CG,5,5,1,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,.600,0.20,-0.009,12.51,-0.37%,1.55,4,1B
19,19,17,2023-11-01,ARI,,TEX,L 0-5,WS G5,CG,4,3,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,.500,1.65,-0.079,60.67,-1.77%,-0.53,4,1B
,,,,,,,10-9,,,77,61,7,14,5,0,1,7,6,0,13,19,22,0,2,0,1,1,.310,0.96,-0.192,30.59,-10.44%,1.80,,
