Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,114,36,2023-05-09,CHC,,STL,L 4-6,CG,4,4,1,2,0,0,1,1,1,0,0,1,.500,.500,1.250,1.750,5,1,0,0,0,0,.500,1.35,0.181,1.26,0.10%,0.66,8,2B
2,115,37,2023-05-10,CHC,,STL,W 10-4,CG,4,4,1,2,1,0,0,2,0,0,0,1,.500,.500,1.000,1.500,3,0,0,0,0,0,.667,1.06,-0.053,0.93,-0.03%,1.47,9,DH
3,116,38,2023-05-12,CHC,@,MIN,W 6-2,CG,5,5,1,2,0,0,1,2,0,1,0,1,.462,.462,1.000,1.462,5,0,0,0,0,0,.333,1.00,0.032,0.93,0.02%,0.79,1,2B
4,117,39,2023-05-13,CHC,@,MIN,L 1-11,CG,4,4,1,1,0,0,0,0,0,0,0,2,.412,.412,.824,1.235,1,0,0,0,0,0,.500,0.63,-0.065,0.63,-0.04%,-0.92,6,2B
5,118,40,2023-05-14,CHC,@,MIN,L 3-16,CG,4,4,1,1,0,0,1,1,0,0,0,1,.381,.381,.857,1.238,4,0,0,0,0,0,.000,0.40,-0.028,0.37,-0.02%,0.14,1,CF
6,119,41,2023-05-15,CHC,@,HOU,L 4-6,CG,5,5,1,1,0,0,1,3,0,0,0,4,.346,.346,.846,1.192,4,0,0,0,0,0,,0.80,0.210,0.70,0.11%,2.05,1,CF LF
7,120,42,2023-05-16,CHC,@,HOU,L 3-7,CG,4,4,1,1,1,0,0,0,0,0,0,3,.333,.333,.800,1.133,2,0,0,0,0,0,1.000,0.50,-0.050,0.40,-0.02%,-0.16,3,CF
8,121,43,2023-05-17,CHC,@,HOU,L 6-7,CG,6,5,2,3,0,0,1,1,0,0,1,1,.371,.389,.857,1.246,6,0,0,0,0,0,.667,0.45,0.083,0.35,0.04%,1.01,1,CF
9,122,44,2023-05-19,CHC,@,PHI,W 10-1,CG,5,4,3,2,0,0,1,3,0,0,1,1,.385,.415,.897,1.312,5,0,0,0,0,0,.500,0.68,0.103,0.51,0.05%,2.98,8,CF LF
10,123,45,2023-05-20,CHC,@,PHI,L 3-12,CG,3,3,2,2,1,0,1,1,0,0,0,1,.405,.432,.976,1.408,6,0,0,0,0,0,1.000,0.36,-0.025,0.30,-0.01%,1.04,9,CF RF
11,124,46,2023-05-21,CHC,@,PHI,L 1-2,CG,4,4,1,1,0,0,1,1,0,0,0,2,.391,.417,.978,1.395,4,0,0,0,0,0,.000,1.12,-0.073,0.91,-0.04%,0.28,6,DH
12,125,47,2023-05-23,CHC,,NYM,W 7-2,CG,4,3,2,1,0,0,1,1,0,0,1,1,.388,.423,1.000,1.423,4,0,0,0,0,0,.000,0.48,0.062,0.35,0.03%,1.17,5,DH
13,126,48,2023-05-24,CHC,,NYM,W 4-2,CG,4,4,0,1,0,0,0,0,0,0,0,2,.377,.411,.943,1.354,1,0,0,0,0,0,.500,0.95,-0.065,0.77,-0.03%,-0.78,7,DH
14,127,49,2023-05-25,CHC,,NYM,L 1-10,CG,4,4,0,0,0,0,0,0,0,0,0,1,.351,.383,.877,1.261,0,0,0,0,0,0,.000,0.55,-0.057,0.47,-0.03%,-1.01,6,DH
15,128,50,2023-05-26,CHC,,CIN,L 0-9,CG,3,3,0,1,0,0,0,0,0,0,0,1,.350,.381,.850,1.231,1,0,0,0,0,0,.500,0.34,-0.019,0.26,-0.01%,-0.02,6,RF
16,129,51,2023-05-27,CHC,,CIN,L 5-8,CG,4,3,0,0,0,0,0,0,0,0,1,1,.333,.373,.810,1.183,0,0,0,0,0,0,.000,0.90,-0.023,0.62,-0.01%,-0.51,7,DH
17,130,52,2023-05-28,CHC,,CIN,L 5-8,CG,4,4,0,0,0,0,0,0,0,0,0,2,.313,.352,.761,1.113,0,0,0,0,0,0,.000,0.91,-0.092,0.59,-0.04%,-1.09,5,DH
18,131,54,2023-05-30,CHC,,TBR,W 2-1,CG,3,3,0,0,0,0,0,0,0,0,0,2,.300,.338,.729,1.066,0,0,0,0,0,0,.000,0.85,-0.065,0.51,-0.02%,-0.65,9,DH
19,132,55,2023-05-31,CHC,,TBR,L 3-4,8-9,1,1,0,0,0,0,0,0,0,0,0,1,.296,.333,.718,1.052,0,0,0,0,0,0,,3.20,-0.117,2.22,-0.05%,-0.45,9,PH
20,133,56,2023-06-02,CHC,@,SDP,W 2-1,CG,4,3,0,0,0,0,0,0,0,0,1,1,.284,.329,.689,1.018,0,0,0,0,0,0,.000,1.04,-0.012,0.64,0.00%,-0.16,6,DH
21,134,58,2023-06-04,CHC,@,SDP,W 7-1,GS-7,3,1,1,0,0,0,0,0,0,0,2,0,.280,.341,.680,1.021,0,0,0,0,0,0,.000,0.35,0.030,0.21,0.01%,0.38,9,CF
