Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,373,1,2025-03-28,TBR,,COL,W 3-2,GS-7,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.76,0.020,0.69,0.01%,0.10,0.00,0.00,5,LF
2,374,2,2025-03-29,TBR,,COL,L 1-2,CG,4,2,1,2,0,0,0,0,0,0,2,0,.500,.667,.500,1.167,2,0,0,0,0,0,1.000,1.79,0.148,1.67,0.08%,1.03,12.00,15.20,5,LF
3,375,3,2025-03-30,TBR,,COL,W 6-4,7-GF,1,1,0,0,0,0,0,0,0,0,0,1,.400,.571,.400,.971,0,0,0,0,0,0,,0.21,-0.005,0.19,0.00%,-0.10,0.00,0.00,6,LF
4,376,4,2025-03-31,TBR,,PIT,W 6-1,GS-8,4,4,1,1,0,0,0,1,0,0,0,2,.333,.455,.333,.788,1,1,0,0,0,0,.500,0.85,-0.002,0.79,0.00%,-0.33,7.00,9.70,5,LF
5,377,6,2025-04-02,TBR,,PIT,L 2-4,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.300,.417,.300,.717,0,0,0,0,0,0,.000,1.50,-0.042,1.44,-0.02%,-0.22,0.00,0.00,6,PH
6,378,7,2025-04-04,TBR,@,TEX,L 2-5,CG,4,3,1,1,0,0,0,0,0,0,1,1,.308,.438,.308,.745,1,0,0,0,0,0,.500,0.80,0.013,0.81,0.01%,0.50,7.00,9.20,5,LF
7,379,8,2025-04-05,TBR,@,TEX,L 4-6,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.286,.412,.286,.697,0,0,0,0,0,0,.000,1.20,-0.034,1.21,-0.02%,-0.22,0.00,0.00,9,PH
8,380,9,2025-04-06,TBR,@,TEX,L 3-4,CG,4,4,0,1,0,0,0,0,0,0,0,1,.278,.381,.278,.659,1,0,0,0,0,0,.333,1.38,-0.071,1.30,-0.04%,-0.27,3.00,3.00,5,LF
9,381,10,2025-04-08,TBR,,LAA,L 3-4,GS-9,4,4,1,1,1,0,0,1,0,0,0,2,.273,.360,.318,.678,2,0,0,0,0,0,.500,2.27,0.113,2.10,0.06%,0.31,9.00,12.70,5,LF
10,382,11,2025-04-09,TBR,,LAA,W 5-4,CG,4,3,0,1,1,0,0,0,0,0,1,2,.280,.379,.360,.739,2,0,0,0,0,0,1.000,0.85,-0.020,0.76,-0.01%,-0.04,7.00,9.00,4,LF
