Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,91,1,2023-03-30,WSN,,ATL,L 2-7,CG,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.48,-0.123,1.48,-0.07%,-1.17,9,SS
2,92,2,2023-04-01,WSN,,ATL,L 1-7,CG,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.72,-0.059,0.69,-0.03%,-0.91,8,SS
3,93,4,2023-04-03,WSN,,TBR,L 2-6,CG,4,3,0,0,0,0,0,0,0,0,1,0,.000,.091,.000,.091,0,0,0,0,0,0,.000,0.71,-0.019,0.60,-0.01%,-0.49,7,SS
4,94,5,2023-04-04,WSN,,TBR,L 6-10,CG,4,3,1,2,1,0,0,0,0,0,0,0,.154,.267,.231,.497,3,0,1,0,0,0,.667,1.20,0.161,0.99,0.08%,1.59,9,SS
5,95,6,2023-04-05,WSN,,TBR,L 2-7,CG,4,4,0,0,0,0,0,0,0,0,0,2,.118,.211,.176,.387,0,0,0,0,0,0,.000,1.50,-0.164,1.19,-0.08%,-1.97,9,SS
6,96,7,2023-04-06,WSN,@,COL,L 0-1,CG,3,3,0,2,0,0,0,0,0,1,0,1,.200,.273,.250,.523,2,0,0,0,0,0,1.000,1.20,0.049,0.95,0.02%,0.09,9,SS
7,97,8,2023-04-07,WSN,@,COL,W 10-5,CG,5,5,1,3,0,2,0,3,0,0,0,2,.280,.333,.480,.813,7,0,0,0,0,0,1.000,0.60,0.220,0.42,0.09%,3.77,8,SS
8,98,9,2023-04-08,WSN,@,COL,W 7-6,CG,4,1,1,0,0,0,0,0,0,0,2,0,.269,.367,.462,.828,0,0,0,1,0,0,.000,0.54,-0.014,0.41,-0.01%,-0.08,9,SS
9,99,10,2023-04-09,WSN,@,COL,L 6-7,CG,5,5,0,0,0,0,0,0,0,0,0,1,.226,.314,.387,.701,0,0,0,0,0,0,.000,1.79,-0.249,1.47,-0.12%,-1.75,6,SS
10,100,11,2023-04-10,WSN,@,LAA,W 6-4,CG,4,4,0,1,0,0,0,2,1,0,0,1,.229,.308,.371,.679,1,0,0,0,0,0,.333,1.39,0.073,1.02,0.03%,0.50,9,SS
11,101,12,2023-04-11,WSN,@,LAA,L 0-2,CG,4,4,0,1,1,0,0,0,0,0,0,1,.231,.302,.385,.687,2,0,0,0,0,0,.333,1.28,-0.064,0.99,-0.03%,-0.48,7,SS
12,102,13,2023-04-12,WSN,@,LAA,L 2-3,CG,3,3,0,0,0,0,0,0,0,0,0,1,.214,.283,.357,.640,0,0,0,0,0,0,.000,1.27,-0.108,0.93,-0.05%,-0.98,8,SS
13,103,14,2023-04-14,WSN,,CLE,L 3-4,CG,4,2,1,0,0,0,0,0,2,0,1,0,.205,.300,.341,.641,0,0,1,0,0,0,.000,1.68,0.211,1.15,0.09%,1.67,8,SS
14,104,15,2023-04-15,WSN,,CLE,L 4-6,CG,4,4,0,1,0,0,0,0,0,0,0,1,.208,.296,.333,.630,1,0,0,0,0,0,.333,2.10,-0.152,1.31,-0.06%,-0.85,8,SS
15,105,16,2023-04-16,WSN,,CLE,W 7-6,CG,4,3,1,1,0,0,0,0,0,0,1,1,.216,.310,.333,.644,1,0,0,0,0,0,.500,1.83,0.122,1.01,0.04%,0.39,8,SS
16,106,17,2023-04-18,WSN,,BAL,L 0-1,CG,3,3,0,1,0,0,0,0,0,0,0,1,.222,.311,.333,.645,1,0,0,0,0,0,.500,1.39,-0.047,0.81,-0.02%,-0.08,8,SS
17,107,18,2023-04-19,WSN,,BAL,L 0-4,CG,4,4,0,0,0,0,0,0,0,0,0,3,.207,.292,.310,.603,0,1,0,0,0,0,.000,1.03,-0.177,0.56,-0.06%,-1.88,8,SS
18,108,19,2023-04-21,WSN,@,MIN,W 3-2,CG,3,3,1,1,1,0,0,0,0,0,0,0,.213,.294,.328,.622,2,0,0,0,0,0,.333,1.20,-0.009,0.56,0.00%,-0.33,9,SS
19,109,20,2023-04-22,WSN,@,MIN,W 10-4,CG,5,5,1,1,0,0,1,3,0,0,0,1,.212,.288,.364,.651,4,0,0,0,0,0,.000,0.43,0.012,0.23,0.00%,0.69,8,SS
