Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,72,1,2022-04-08,COL,,LAD,L 3-5,CG,4,3,1,1,0,0,0,0,0,0,1,1,.333,.500,.333,.833,1,0,0,0,0,0,.500,0.91,0.042,0.92,0.03%,0.47,6,DH
2,73,2,2022-04-09,COL,,LAD,W 3-2,CG,4,4,1,2,0,0,1,2,0,0,0,0,.429,.500,.857,1.357,5,0,0,0,0,0,.333,1.53,0.301,1.40,0.17%,0.60,6,1B
3,74,3,2022-04-10,COL,,LAD,W 9-4,CG,5,4,1,0,0,0,0,0,1,0,0,0,.273,.385,.545,.930,0,0,1,0,0,0,.000,0.60,-0.002,0.61,0.00%,-0.63,1,1B
4,75,4,2022-04-11,COL,@,TEX,W 6-4 (10),CG(10),6,5,1,2,0,0,1,1,0,0,1,2,.313,.421,.688,1.109,5,0,0,0,0,0,.500,1.34,0.211,1.26,0.12%,0.45,1,DH
5,76,5,2022-04-12,COL,@,TEX,W 4-1,GS-9,5,3,3,1,1,0,0,0,0,0,2,1,.316,.458,.684,1.143,2,0,0,0,0,0,.500,0.80,0.128,0.78,0.08%,1.07,1,LF
6,77,6,2022-04-14,COL,,CHC,L 2-5,CG,5,5,0,2,0,0,0,0,0,0,0,1,.333,.448,.625,1.073,2,0,0,0,0,0,.500,1.09,-0.053,1.17,-0.04%,-0.48,1,DH
7,78,7,2022-04-15,COL,,CHC,W 6-5,CG,4,4,0,1,0,0,0,0,0,0,0,2,.321,.424,.571,.996,1,0,0,0,0,0,.500,0.47,-0.026,0.48,-0.02%,-0.36,1,1B
8,79,8,2022-04-16,COL,,CHC,W 9-6,CG,5,4,1,2,1,1,0,1,0,0,1,1,.344,.447,.656,1.104,5,0,0,0,0,0,.667,0.52,0.147,0.53,0.09%,1.52,1,RF
9,80,9,2022-04-17,COL,,CHC,L 4-6,CG,5,4,0,2,1,0,0,0,0,0,1,1,.361,.465,.667,1.132,3,0,0,0,0,0,.667,1.40,0.137,1.48,0.09%,1.17,1,LF
10,81,10,2022-04-18,COL,,PHI,W 4-1,CG,4,3,0,1,0,0,0,0,0,0,1,0,.359,.468,.641,1.109,1,0,0,0,0,0,.333,0.85,0.024,0.83,0.01%,0.19,1,DH
