Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,316,1,2024-03-28,PIT,@,MIA,W 6-5 (12),CG(12),6,4,1,0,0,0,0,0,0,0,2,0,.000,.333,.000,.333,0,0,0,0,0,0,.000,1.78,0.002,1.69,0.00%,-0.28,6.00,9.20,1,RF 1B
2,317,2,2024-03-29,PIT,@,MIA,W 7-2,GS-8,5,5,1,2,1,0,0,1,0,0,0,1,.222,.364,.333,.697,3,0,0,0,0,0,.500,0.59,-0.007,0.57,0.00%,0.31,12.00,15.70,1,1B
3,318,3,2024-03-30,PIT,@,MIA,W 9-3,GS-7,5,5,3,3,2,0,0,2,0,0,0,0,.357,.438,.571,1.009,5,0,0,0,0,0,.600,0.89,0.141,0.92,0.09%,1.74,23.00,31.60,1,1B
4,319,4,2024-03-31,PIT,@,MIA,W 9-7 (10),CG(10),6,5,1,1,0,0,0,0,0,0,1,2,.316,.409,.474,.883,1,0,0,0,0,0,.333,1.19,-0.095,1.27,-0.06%,-0.79,7.00,9.20,1,RF LF
5,320,5,2024-04-01,PIT,@,WSN,W 8-4,GS-8,5,4,1,2,1,0,0,2,0,0,0,0,.348,.444,.522,.966,3,0,1,0,0,0,.500,1.64,0.354,1.77,0.23%,2.14,16.00,22.20,1,1B
6,321,7,2024-04-04,PIT,@,WSN,W 7-4,CG,5,3,2,1,0,0,1,2,0,0,2,1,.346,.469,.615,1.084,4,0,0,0,0,0,.000,0.51,0.107,0.54,0.07%,2.35,22.00,31.40,5,DH
7,322,9,2024-04-06,PIT,,BAL,W 5-4 (11),CG(11),5,5,0,1,0,0,0,0,1,0,0,1,.323,.432,.548,.981,1,0,0,0,0,0,.250,1.78,0.226,1.77,0.14%,-0.10,8.00,9.00,3,RF
8,323,10,2024-04-07,PIT,,BAL,W 3-2,CG,4,3,1,0,0,0,0,0,0,0,1,1,.294,.415,.500,.915,0,0,0,0,0,0,.000,1.94,-0.006,1.99,0.00%,-0.09,4.00,6.20,5,RF
9,324,11,2024-04-08,PIT,,DET,W 7-4,GS-9,4,3,1,2,1,0,0,2,0,0,1,0,.324,.444,.541,.985,3,0,0,0,0,0,.667,0.94,0.123,1.00,0.08%,2.04,16.00,22.20,7,RF
10,325,12,2024-04-09,PIT,,DET,L 3-5,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.324,.444,.541,.985,0,,0,0,,,,,,,,,0.00,0.00,5,RF
11,326,13,2024-04-11,PIT,@,PHI,L 1-5,GS-8,3,3,0,0,0,0,0,0,0,0,0,0,.300,.417,.500,.917,0,0,0,0,0,0,.000,1.22,-0.080,1.36,-0.05%,-0.67,0.00,0.00,1,1B
12,327,14,2024-04-12,PIT,@,PHI,W 5-2,GS-8,4,4,0,2,0,0,0,1,0,0,0,0,.318,.423,.500,.923,2,0,0,0,0,0,.500,1.72,0.068,1.96,0.05%,0.54,8.00,9.50,1,1B
