Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,828,1,2023-03-30,CHC,,MIL,W 4-0,CG,4,4,1,3,0,0,0,1,0,0,0,0,.750,.750,.750,1.500,3,0,0,0,0,0,.750,0.73,0.132,0.74,0.08%,1.69,2,SS
2,829,2,2023-04-01,CHC,,MIL,L 1-3,CG,4,4,0,3,1,0,0,0,0,0,0,0,.750,.750,.875,1.625,4,0,0,0,0,0,.750,1.14,0.165,1.20,0.10%,1.11,2,SS
3,830,3,2023-04-02,CHC,,MIL,L 5-9,CG,5,4,1,1,0,0,0,1,0,1,1,0,.583,.615,.667,1.282,1,0,0,0,0,0,.250,0.66,0.012,0.66,0.01%,0.47,2,SS
4,831,4,2023-04-03,CHC,@,CIN,L 6-7,CG,5,5,2,3,1,0,0,0,0,0,0,1,.588,.611,.706,1.317,4,0,0,0,0,0,.750,1.23,0.096,1.15,0.05%,1.08,2,SS
5,832,5,2023-04-04,CHC,@,CIN,W 12-5,CG,6,3,2,0,0,0,0,0,0,0,3,1,.500,.583,.600,1.183,0,0,0,0,0,0,.000,0.92,0.033,0.83,0.02%,0.05,2,SS
6,833,6,2023-04-07,CHC,,TEX,W 2-0,CG,4,4,1,0,0,0,0,0,1,0,0,1,.417,.500,.500,1.000,0,1,0,0,0,0,.000,1.09,-0.135,0.94,-0.07%,-1.75,2,SS
7,834,7,2023-04-08,CHC,,TEX,W 10-3,CG,5,4,2,2,0,0,0,1,0,0,1,1,.429,.515,.500,1.015,2,0,0,0,0,0,.667,0.63,0.147,0.59,0.08%,1.45,2,SS
8,835,8,2023-04-09,CHC,,TEX,L 2-8,CG,4,4,0,0,0,0,0,0,0,0,0,2,.375,.459,.438,.897,0,0,0,0,0,0,.000,0.39,-0.040,0.39,-0.02%,-0.75,2,SS
9,836,9,2023-04-10,CHC,,SEA,W 3-2 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,2,.333,.415,.389,.804,0,0,0,0,0,0,.000,0.96,-0.107,0.85,-0.06%,-1.09,2,SS
10,837,10,2023-04-11,CHC,,SEA,W 14-9,GS-6,4,4,1,4,0,0,0,2,0,0,0,0,.400,.467,.450,.917,4,0,0,0,0,0,1.000,0.85,0.168,0.82,0.10%,2.15,2,SS
