Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,7,2020-07-30,ARI,,LAD,L 3-6,9-GF,1,0,0,0,0,0,0,0,0,0,1,0,,1.000,,,0,0,0,0,0,0,,0.44,0.013,0.52,0.01%,0.23,8,PH DH
2,2,9,2020-08-01,ARI,,LAD,L 2-11,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.000,.500,.000,.500,0,0,0,0,0,0,,0.01,0.000,0.01,0.00%,-0.25,3,CF
3,3,11,2020-08-04,ARI,,HOU,L 2-8,CG,4,4,0,0,0,0,0,0,0,0,0,1,.000,.167,.000,.167,0,0,0,0,0,0,.000,0.51,-0.056,0.48,-0.03%,-1.93,8,C LF
4,4,14,2020-08-07,ARI,@,SDP,L 0-3,7-GF,0,0,0,0,0,0,0,0,0,0,0,0,.000,.167,.000,.167,0,,0,0,,,,,,,,,7,C
5,5,16,2020-08-09,ARI,@,SDP,L 5-9,CG,4,4,1,1,1,0,0,0,0,0,0,1,.111,.200,.222,.422,2,0,0,0,0,0,.333,0.13,-0.010,0.15,-0.01%,-0.30,7,C DH
6,6,18,2020-08-11,ARI,@,COL,L 7-8,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.111,.200,.222,.422,0,,0,0,,,,,,,,,5,PR
7,7,20,2020-08-14,ARI,,SDP,W 5-1,CG,4,4,1,1,0,0,0,0,0,0,0,2,.154,.214,.231,.445,1,0,0,0,0,0,.500,0.70,-0.002,0.87,0.00%,-0.65,8,LF
8,8,21,2020-08-15,ARI,,SDP,W 7-6,CG,4,4,0,1,1,0,0,0,0,0,0,1,.176,.222,.294,.516,2,0,0,0,0,0,.333,1.39,-0.073,1.84,-0.06%,-1.09,8,DH
9,9,24,2020-08-18,ARI,,OAK,W 10-1,CG,4,3,0,0,0,0,0,0,0,0,0,1,.150,.227,.250,.477,0,1,1,0,0,0,.000,0.12,-0.012,0.15,-0.01%,-1.73,9,LF
10,10,25,2020-08-19,ARI,@,OAK,L 1-4,7-GF,0,0,0,0,0,0,0,0,0,0,0,0,.150,.227,.250,.477,0,,0,0,,,,,,,,,9,C
