Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,59,1,2024-03-28,CLE,@,OAK,W 8-0,CG,5,4,2,3,1,0,0,1,0,0,0,0,.750,.600,1.000,1.600,4,0,0,0,1,0,.600,0.39,0.094,0.38,0.05%,0.75,17.00,21.90,5,DH
2,60,3,2024-03-30,CLE,@,OAK,W 12-3,CG,6,2,1,1,0,0,0,2,1,0,2,0,.667,.636,.833,1.470,1,0,1,0,1,0,.333,0.56,0.012,0.58,0.01%,1.45,20.00,28.20,4,1B
3,61,5,2024-04-01,CLE,@,SEA,L 4-5,6-8,1,1,0,0,0,0,0,0,0,0,0,0,.571,.583,.714,1.298,0,0,0,0,0,0,.000,0.81,-0.019,0.84,-0.01%,-0.14,0.00,0.00,6,PH DH
4,62,7,2024-04-03,CLE,@,SEA,W 8-0,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.500,.538,.625,1.163,0,0,0,0,0,0,.000,0.01,0.000,0.01,0.00%,-0.30,0.00,0.00,2,PH 3B
5,63,8,2024-04-04,CLE,@,MIN,W 4-2,8-GF,1,0,0,0,0,0,0,0,0,0,1,0,.500,.571,.625,1.196,0,0,0,0,0,0,,0.26,0.007,0.29,0.01%,0.13,2.00,3.00,6,PH DH
6,64,9,2024-04-06,CLE,@,MIN,W 3-1,CG,3,3,1,1,0,0,1,3,0,0,0,0,.455,.529,.818,1.348,4,0,0,0,0,0,.000,1.01,0.246,1.18,0.17%,2.21,18.00,25.70,8,C
7,65,10,2024-04-08,CLE,,CHW,W 4-0,CG,4,4,0,0,0,0,0,0,0,0,0,3,.333,.429,.600,1.029,0,0,0,0,0,0,.000,0.41,-0.025,0.45,-0.02%,-0.27,0.00,0.00,3,DH
8,66,12,2024-04-10,CLE,,CHW,W 7-6 (10),6-GF(10),2,1,0,0,0,0,0,1,0,0,0,0,.313,.435,.563,.997,0,0,1,0,0,0,.000,2.73,0.125,3.17,0.09%,0.90,4.00,6.50,8,PH DH
9,67,14,2024-04-13 (2),CLE,,NYY,L 2-8,CG,3,3,0,1,0,0,0,0,0,0,0,1,.316,.423,.526,.949,1,0,0,0,0,0,.500,0.47,0.035,0.55,0.02%,-0.13,3.00,3.00,7,C
10,68,15,2024-04-14,CLE,,NYY,W 8-7 (10),CG(10),5,4,1,1,1,0,0,0,0,0,1,3,.304,.419,.522,.941,2,0,0,0,0,0,1.000,2.12,0.234,2.47,0.16%,0.19,9.00,12.20,5,C 1B
11,69,19,2024-04-18,CLE,@,BOS,W 5-4,CG,4,3,1,1,1,0,0,0,0,0,0,0,.308,.429,.538,.967,2,0,1,0,0,0,.333,0.98,0.082,1.14,0.06%,0.96,9.00,12.20,2,LF
12,70,21,2024-04-20,CLE,,OAK,W 6-3,CG,5,4,2,2,0,0,0,0,0,0,1,2,.333,.450,.533,.983,2,0,0,0,0,0,1.000,0.82,0.029,0.95,0.02%,0.59,12.00,15.40,2,1B
13,71,22,2024-04-21,CLE,,OAK,W 6-2,CG,4,3,0,0,0,0,0,0,0,0,1,2,.303,.432,.485,.917,0,0,0,0,0,1,.000,0.68,-0.064,0.81,-0.05%,-0.58,2.00,3.00,4,1B
14,72,23,2024-04-23,CLE,,BOS,W 4-1,7-GF,2,0,0,0,0,0,0,0,0,0,2,0,.303,.457,.485,.941,0,0,0,0,0,1,,1.41,0.102,1.71,0.07%,0.96,4.00,6.00,8,PH C
15,73,25,2024-04-25,CLE,,BOS,W 6-4,CG,4,2,0,0,0,0,0,0,0,0,2,0,.286,.460,.457,.917,0,0,0,0,0,0,.000,0.76,-0.064,0.93,-0.05%,-0.73,4.00,6.00,5,C
16,74,26,2024-04-26,CLE,@,ATL,L 2-6,CG,4,4,0,1,0,0,0,1,0,0,0,2,.282,.444,.436,.880,1,0,0,0,0,0,.500,0.75,-0.049,0.88,-0.04%,-0.08,5.00,6.50,5,C 1B
17,75,27,2024-04-27,CLE,@,ATL,W 4-2 (11),10-GF(11),1,1,0,0,0,0,0,0,0,0,0,0,.275,.436,.425,.861,0,0,0,0,0,0,.000,3.94,-0.106,4.53,-0.07%,-0.45,0.00,0.00,8,PH C
18,76,28,2024-04-28,CLE,@,ATL,L 3-4 (10),CG(10),4,4,0,2,0,0,0,0,0,0,0,1,.295,.441,.432,.873,2,0,0,0,0,0,.667,1.26,-0.044,1.47,-0.03%,-0.37,6.00,6.00,5,DH
19,77,29,2024-04-30,CLE,@,HOU,L 9-10 (10),10-GF(10),1,1,0,1,1,0,0,1,0,0,0,0,.311,.450,.467,.917,2,0,0,0,0,0,1.000,4.19,0.309,5.12,0.23%,1.00,7.00,9.50,7,PH DH
20,78,30,2024-05-01,CLE,@,HOU,W 3-2 (10),CG(10),4,4,0,2,0,0,0,0,0,0,0,1,.327,.453,.469,.923,2,1,0,0,0,0,.667,1.48,-0.178,1.83,-0.13%,-1.22,6.00,6.00,5,C
21,79,33,2024-05-04,CLE,,LAA,W 7-1,CG,4,3,1,1,0,0,0,0,0,0,1,1,.327,.456,.462,.917,1,0,0,0,0,0,.500,0.47,0.039,0.57,0.03%,0.49,7.00,9.20,4,1B
22,80,36,2024-05-07,CLE,,DET,L 7-11,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.321,.449,.453,.902,0,0,0,0,0,0,.000,0.73,-0.018,0.99,-0.02%,-0.29,0.00,0.00,5,PH LF
23,81,37,2024-05-08,CLE,,DET,W 5-4 (10),CG(10),4,4,2,1,0,0,1,1,0,0,0,1,.316,.438,.491,.930,4,0,0,0,0,0,.000,1.69,0.510,2.31,0.42%,1.64,16.00,21.90,5,C LF
24,82,38,2024-05-09,CLE,@,CHW,L 2-3,CG,4,4,0,1,0,0,0,0,0,0,0,2,.311,.429,.475,.904,1,0,0,0,0,0,.500,0.93,0.021,1.07,0.02%,0.25,3.00,3.00,5,LF
25,83,39,2024-05-10,CLE,@,CHW,L 3-6,CG,4,4,1,1,1,0,0,0,0,0,0,1,.308,.420,.477,.897,2,0,0,0,0,0,.333,0.64,-0.039,0.74,-0.03%,-0.12,7.00,9.20,2,C LF 1B
26,84,40,2024-05-11,CLE,@,CHW,L 1-3,5-GF,2,1,0,0,0,0,0,0,0,0,1,1,.303,.422,.470,.891,0,0,0,0,0,0,,1.09,-0.001,1.34,0.00%,-0.10,2.00,3.00,1,PH LF
27,85,41,2024-05-12,CLE,@,CHW,W 7-0,CG,4,2,2,1,0,0,1,2,0,0,2,0,.309,.437,.515,.951,4,0,0,0,0,1,.000,0.47,0.127,0.57,0.09%,2.59,22.00,31.40,5,C
28,86,42,2024-05-13,CLE,@,TEX,W 7-0,8-GF,1,0,0,0,0,0,0,0,0,0,1,0,.309,.443,.515,.958,0,0,0,0,0,0,,0.28,0.001,0.36,0.00%,0.17,2.00,3.00,6,PH DH
29,87,43,2024-05-14,CLE,@,TEX,W 7-4,GS-9,4,4,0,1,0,0,0,0,0,0,0,0,.306,.435,.500,.935,1,1,0,0,0,0,.250,0.73,-0.092,0.95,-0.07%,-1.45,3.00,3.00,5,LF
30,88,45,2024-05-17,CLE,,MIN,W 3-2,CG,3,3,1,3,0,0,1,2,0,0,0,0,.333,.453,.560,1.013,6,0,0,0,0,0,1.000,1.25,0.440,1.79,0.38%,2.52,22.00,28.20,5,DH
31,89,46,2024-05-18,CLE,,MIN,W 11-4,CG,5,2,2,0,0,0,0,0,1,0,2,1,.325,.460,.545,1.005,0,0,1,0,0,0,.000,0.25,-0.010,0.34,-0.01%,0.39,15.00,21.40,5,3B LF
32,90,48,2024-05-20,CLE,,NYM,W 3-1,CG,3,2,1,1,0,0,0,2,1,0,1,0,.329,.466,.544,1.010,1,0,0,0,0,0,.500,1.06,0.203,1.22,0.14%,2.01,16.00,22.20,5,LF
33,91,49,2024-05-21,CLE,,NYM,W 7-6,6-GF,2,1,1,1,0,0,1,2,0,0,1,0,.338,.476,.588,1.064,4,0,0,0,0,0,,0.78,0.147,0.93,0.11%,1.74,18.00,25.20,6,PH DH
34,92,50,2024-05-22,CLE,,NYM,W 6-3,CG,4,3,1,2,0,0,0,0,0,0,0,0,.349,.486,.590,1.077,2,0,1,0,0,0,.667,1.16,0.167,1.35,0.12%,0.95,10.00,12.20,4,3B 1B
35,93,51,2024-05-24,CLE,@,LAA,W 10-4,CG,5,3,2,2,0,0,1,1,0,0,2,0,.360,.500,.628,1.128,5,0,0,0,0,0,.500,0.25,0.063,0.28,0.04%,1.61,23.00,30.90,5,C
36,94,53,2024-05-26,CLE,@,LAA,W 5-4,CG,5,4,0,0,0,0,0,0,0,0,1,3,.344,.487,.600,1.087,0,0,0,0,0,0,.000,1.13,-0.071,1.15,-0.04%,-1.22,2.00,3.00,5,LF
37,95,54,2024-05-27,CLE,@,COL,L 6-8,CG,4,3,1,1,0,0,0,1,0,0,0,0,.344,.488,.591,1.079,1,0,1,0,0,0,.333,0.93,0.051,0.95,0.03%,0.73,9.00,12.70,5,LF
38,96,55,2024-05-28,CLE,@,COL,W 13-7,CG,5,5,3,3,0,0,1,3,1,0,0,0,.357,.492,.622,1.115,6,0,0,0,0,0,.500,1.01,0.409,1.04,0.25%,3.18,33.00,44.10,5,LF
39,97,56,2024-05-29,CLE,@,COL,L 4-7,CG,4,4,0,1,0,0,0,1,0,0,0,0,.353,.485,.608,1.093,1,0,0,0,0,0,.250,0.70,0.033,0.73,0.02%,-0.17,5.00,6.50,5,LF
40,98,57,2024-05-31,CLE,,WSN,W 7-1,CG,4,3,1,1,0,0,1,3,0,0,1,0,.352,.485,.629,1.114,4,0,0,0,0,0,.000,0.71,0.070,0.77,0.05%,2.34,20.00,28.70,5,C
41,99,58,2024-06-01,CLE,,WSN,W 3-2,CG,4,2,0,1,1,0,0,0,0,0,1,1,.355,.493,.636,1.128,2,0,1,0,0,0,1.000,0.98,0.131,0.98,0.08%,1.55,9.00,12.00,4,LF
42,100,60,2024-06-04,CLE,,KCR,W 8-5,CG,4,4,0,0,0,0,0,0,0,0,0,0,.342,.479,.613,1.092,0,0,0,0,0,0,.000,1.77,0.266,2.41,0.22%,2.09,0.00,0.00,5,C
43,101,61,2024-06-06,CLE,,KCR,L 3-4,6-GF,2,2,0,0,0,0,0,0,0,0,0,0,.336,.473,.602,1.074,0,1,0,0,0,0,.000,2.72,-0.195,3.52,-0.15%,-0.87,0.00,0.00,9,PH C
44,102,62,2024-06-07,CLE,@,MIA,L 2-3,CG,4,4,0,1,1,0,0,0,0,0,0,2,.333,.467,.598,1.065,2,0,0,0,0,0,.500,1.22,-0.026,1.31,-0.02%,0.09,5.00,6.00,4,C LF
45,103,63,2024-06-08,CLE,@,MIA,W 8-0,CG,5,5,1,2,1,0,0,1,0,0,0,0,.336,.465,.598,1.063,3,1,0,0,0,0,.400,0.53,-0.089,0.58,-0.06%,0.03,12.00,15.70,5,C 1B
46,104,64,2024-06-09,CLE,@,MIA,W 6-3,GS-8,4,4,0,1,0,0,0,1,0,0,0,1,.333,.459,.587,1.046,1,1,0,0,0,0,.333,1.16,0.045,1.17,0.03%,-0.33,5.00,6.50,5,C
47,105,65,2024-06-11,CLE,@,CIN,W 5-3,GS-8,3,3,0,0,0,0,0,0,0,0,0,0,.326,.451,.574,1.024,0,0,0,0,0,0,.000,1.03,-0.095,1.02,-0.06%,-1.20,0.00,0.00,5,RF
48,106,66,2024-06-12,CLE,@,CIN,L 2-4,CG,4,2,0,0,0,0,0,1,0,0,2,1,.321,.452,.565,1.017,0,0,0,0,0,0,.000,1.92,0.014,1.70,0.01%,0.29,6.00,9.50,5,RF
49,107,67,2024-06-14,CLE,@,TOR,W 3-1,CG,4,4,0,1,0,0,0,0,0,0,0,0,.319,.447,.556,1.003,1,1,0,0,0,0,.250,0.73,-0.092,0.76,-0.06%,-0.89,3.00,3.00,5,C
50,108,68,2024-06-15,CLE,@,TOR,L 0-5,CG,4,4,0,1,0,0,0,0,0,0,0,0,.317,.443,.547,.989,1,1,0,0,0,0,.250,0.66,-0.042,0.64,-0.02%,-0.66,3.00,3.00,3,LF
51,109,69,2024-06-16,CLE,@,TOR,L 6-7,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.314,.440,.543,.983,0,0,0,0,0,0,.000,0.24,-0.006,0.24,0.00%,-0.10,0.00,0.00,5,PH RF
52,110,70,2024-06-18,CLE,,SEA,L 5-8,CG,5,5,0,2,1,0,0,0,0,0,0,2,.317,.439,.545,.984,3,0,0,0,0,0,.667,0.81,0.010,1.08,0.01%,-0.23,8.00,9.00,5,C DH
53,111,71,2024-06-19,CLE,,SEA,W 8-0,CG,4,4,0,0,0,0,0,0,0,0,0,1,.309,.429,.530,.960,0,0,0,0,0,0,.000,0.46,-0.063,0.62,-0.05%,-1.04,0.00,0.00,5,DH
54,112,72,2024-06-20,CLE,,SEA,W 6-3,GS-9,4,4,0,1,0,0,0,0,0,0,0,2,.307,.426,.523,.948,1,0,0,0,0,0,.500,0.63,-0.035,0.83,-0.03%,-0.58,3.00,3.00,5,C
55,113,75,2024-06-23,CLE,,TOR,W 6-5,GS-3,1,1,0,1,0,0,0,1,0,0,0,0,.312,.429,.526,.955,1,0,0,0,0,0,1.000,1.80,0.109,1.63,0.06%,1.10,5.00,6.50,5,C
