Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1009,1,2023-03-30,LAD,,ARI,W 8-2,CG,4,4,0,2,0,0,0,1,0,0,0,0,.500,.500,.500,1.000,2,0,0,0,0,0,.500,0.65,0.018,0.65,0.01%,0.34,6,LF
2,1010,2,2023-03-31,LAD,,ARI,L 1-2,CG,4,3,0,1,0,0,0,0,0,1,1,0,.429,.500,.429,.929,1,0,0,0,0,0,.333,1.21,-0.067,1.26,-0.04%,-0.32,6,LF
3,1011,4,2023-04-02,LAD,,ARI,L 1-2,GS-8,3,3,0,0,0,0,0,0,0,0,0,1,.300,.364,.300,.664,0,0,0,0,0,0,.000,0.87,-0.067,0.91,-0.04%,-0.67,5,LF
4,1012,6,2023-04-04,LAD,,COL,W 5-2,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,.250,.308,.250,.558,0,0,0,0,0,0,.000,0.43,-0.022,0.45,-0.01%,-0.42,6,LF
5,1013,7,2023-04-06,LAD,@,ARI,W 5-2,CG,4,4,0,0,0,0,0,0,0,0,0,1,.188,.235,.188,.423,0,0,0,0,0,0,.000,0.71,-0.066,0.77,-0.04%,-1.09,6,LF
6,1014,8,2023-04-07,LAD,@,ARI,L 3-6,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.176,.222,.176,.399,0,0,0,0,0,0,,2.17,-0.056,2.55,-0.04%,-0.25,6,PH LF
7,1015,9,2023-04-08,LAD,@,ARI,L 8-12,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.167,.211,.167,.377,0,0,0,0,0,0,.000,0.07,-0.002,0.08,0.00%,-0.11,1,PH RF
8,1016,10,2023-04-09,LAD,@,ARI,L 6-11,CG,5,5,0,1,1,0,0,1,0,0,0,1,.174,.208,.217,.426,2,0,0,0,0,0,.250,0.57,0.054,0.63,0.04%,-0.18,3,LF
9,1017,11,2023-04-10,LAD,@,SFG,W 9-1,GS-7,2,2,0,0,0,0,0,0,0,0,0,0,.160,.192,.200,.392,0,0,0,0,0,0,.000,0.49,-0.037,0.51,-0.02%,-0.73,8,LF
10,1018,12,2023-04-11,LAD,@,SFG,L 0-5,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.154,.185,.192,.378,0,0,0,0,0,0,.000,0.51,-0.014,0.53,-0.01%,-0.11,7,PH LF
11,1019,13,2023-04-12,LAD,@,SFG,W 10-5,GS-6,2,2,1,1,0,0,0,0,0,0,0,0,.179,.207,.214,.421,1,0,0,0,0,0,.500,0.86,-0.021,0.91,-0.01%,-0.23,8,LF
12,1020,15,2023-04-15,LAD,,CHC,W 2-1,9-GF,1,1,0,1,0,0,0,2,0,0,0,0,.207,.233,.241,.475,1,0,0,0,0,0,1.000,8.34,0.751,8.42,0.46%,1.62,8,PH
13,1021,16,2023-04-16,LAD,,CHC,L 2-3,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.200,.226,.233,.459,0,0,0,0,0,0,,3.54,-0.092,3.78,-0.06%,-0.25,8,PH
14,1022,17,2023-04-17,LAD,,NYM,L 6-8,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.194,.219,.226,.445,0,0,0,0,0,0,.000,1.25,-0.032,1.24,-0.02%,-0.17,8,PH
15,1023,18,2023-04-18,LAD,,NYM,W 5-0,CG,4,4,0,0,0,0,0,0,0,0,0,2,.171,.194,.200,.394,0,0,0,0,0,0,.000,0.62,-0.069,0.61,-0.04%,-1.77,7,LF
16,1024,19,2023-04-19,LAD,,NYM,L 3-5,CG,4,3,1,1,0,0,1,2,0,0,0,0,.184,.200,.289,.489,4,0,0,0,1,0,.000,1.49,-0.002,1.46,0.00%,0.53,7,LF
17,1025,20,2023-04-20,LAD,@,CHC,W 6-2,CG,4,3,1,2,0,0,0,0,0,0,1,1,.220,.250,.317,.567,2,0,0,0,0,0,1.000,1.13,0.064,1.02,0.04%,0.30,6,LF
18,1026,21,2023-04-21,LAD,@,CHC,L 0-13,7-GF,1,1,0,1,0,0,0,0,0,0,0,0,.238,.267,.333,.600,1,0,0,0,0,0,1.000,0.00,0.000,0.00,0.00%,0.39,4,LF
19,1027,22,2023-04-22,LAD,@,CHC,W 9-4,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,.227,.255,.318,.574,0,0,0,0,0,0,.000,0.88,-0.044,0.82,-0.03%,-0.54,7,LF
20,1028,23,2023-04-23,LAD,@,CHC,W 7-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.208,.235,.292,.527,0,0,0,0,0,0,.000,0.67,-0.075,0.66,-0.04%,-0.84,7,LF
21,1029,24,2023-04-25,LAD,@,PIT,W 8-7,CG,5,5,1,0,0,0,0,0,0,0,0,1,.189,.214,.264,.478,0,0,0,0,0,0,.000,1.53,-0.196,1.61,-0.12%,-2.00,6,LF
22,1030,25,2023-04-26,LAD,@,PIT,L 1-8,CG,3,3,0,0,0,0,0,0,0,0,0,0,.179,.203,.250,.453,0,0,0,0,0,0,.000,1.10,-0.093,1.22,-0.06%,-0.83,8,DH
