Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,41,2020-09-09,DET,,MIL,L 0-19,CG,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,1,0,0,0,0,.000,0.34,-0.027,0.42,-0.02%,-1.18,7,RF
2,2,42,2020-09-10 (1),DET,@,STL,L 2-12 (7),CG(7),3,2,0,0,0,0,0,0,0,0,1,0,.000,.167,.000,.167,0,0,0,0,0,0,.000,0.35,-0.027,0.39,-0.02%,-0.35,7,RF
3,3,43,2020-09-10 (2),DET,@,STL,W 6-3 (7),CG(7),4,4,0,0,0,0,0,0,0,0,0,2,.000,.100,.000,.100,0,0,0,0,0,0,.000,1.94,-0.208,1.68,-0.11%,-1.66,7,RF
4,4,44,2020-09-11,DET,@,CHW,L 3-4,CG,4,4,0,1,0,0,0,2,0,0,0,1,.077,.143,.077,.220,1,0,0,0,0,0,.333,1.83,0.237,2.11,0.16%,1.46,7,RF
5,5,45,2020-09-12,DET,@,CHW,L 0-14,CG,3,3,0,0,0,0,0,0,0,0,0,1,.063,.118,.063,.180,0,0,0,0,0,0,.000,0.23,-0.018,0.20,-0.01%,-0.67,7,RF
6,6,46,2020-09-13,DET,@,CHW,L 2-5,CG,4,4,0,0,0,0,0,0,0,0,0,3,.050,.095,.050,.145,0,0,0,0,0,0,.000,1.11,-0.119,0.62,-0.04%,-1.36,6,RF
7,7,47,2020-09-15,DET,,KCR,W 6-0,CG,4,4,0,0,0,0,0,0,0,0,0,2,.042,.080,.042,.122,0,0,0,0,0,0,.000,0.24,-0.031,0.08,-0.01%,-1.44,9,RF
8,8,49,2020-09-17,DET,,CLE,L 3-10,CG,3,3,0,0,0,0,0,0,0,0,0,1,.037,.071,.037,.108,0,0,0,0,0,0,.000,0.40,-0.032,0.15,-0.01%,-0.78,9,RF
9,9,50,2020-09-18,DET,,CLE,L 0-1,9-GF,1,1,0,1,0,1,0,0,0,0,0,0,.071,.103,.143,.246,3,0,0,0,0,0,1.000,2.73,0.302,0.36,0.02%,0.68,5,PH
10,10,51,2020-09-19,DET,,CLE,W 5-2,CG,4,4,1,2,0,0,0,1,0,0,0,0,.125,.152,.188,.339,2,0,0,0,0,0,.500,1.79,0.119,0.09,0.00%,0.59,8,RF
11,11,52,2020-09-20,DET,,CLE,L 4-7,CG,4,3,0,0,0,0,0,0,0,0,1,2,.114,.162,.171,.334,0,0,0,0,0,0,.000,0.84,0.010,0.08,0.00%,-0.12,8,RF
12,12,53,2020-09-22,DET,@,MIN,L 4-5 (10),CG(10),4,4,1,2,2,0,0,0,0,0,0,0,.154,.195,.256,.452,4,0,0,0,0,0,.500,1.41,0.051,0.00,0.00%,0.44,9,RF
13,13,54,2020-09-23,DET,@,MIN,L 6-7,CG,4,4,0,1,0,0,0,0,0,0,0,2,.163,.200,.256,.456,1,0,0,0,0,0,.500,0.56,-0.011,0.00,0.00%,-0.20,8,RF
14,14,55,2020-09-24,DET,@,KCR,L 7-8,CG,4,4,0,1,0,0,0,0,1,0,0,2,.170,.204,.255,.459,1,0,0,0,0,0,.500,1.25,-0.029,0.00,0.00%,-0.68,9,RF
15,15,56,2020-09-25,DET,@,KCR,L 2-3,CG,3,3,0,2,0,0,0,0,0,0,0,0,.200,.231,.280,.511,2,0,0,0,0,0,.667,1.19,0.116,0.00,0.00%,0.68,9,RF
16,16,57,2020-09-26,DET,@,KCR,W 4-3,CG,3,3,1,1,0,0,0,0,0,0,0,0,.208,.236,.283,.519,1,0,0,0,0,0,.333,0.90,-0.011,0.00,0.00%,0.04,9,RF
17,17,58,2020-09-27,DET,@,KCR,L 1-3,CG,4,4,1,0,0,0,0,0,0,0,0,2,.193,.220,.263,.484,0,0,0,0,0,0,.000,1.17,-0.116,0.00,0.00%,-0.93,2,RF
,,,,,,,4-13,,59,57,4,11,2,1,0,3,1,0,2,19,.193,.220,.263,.483,15,1,0,0,0,0,.289,1.04,0.206,0.36,-0.02%,-5.48,,
