Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,96,73,2023-06-21,WSN,,STL,W 3-0,CG,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,1,0,0,0,0,0,.333,0.71,-0.007,0.03,0.00%,-0.20,8,CF
2,97,74,2023-06-22,WSN,,ARI,L 3-5,CG,4,4,0,1,0,0,0,0,0,0,0,1,.286,.286,.286,.571,1,0,0,0,0,0,.333,1.53,-0.117,0.08,0.00%,-0.82,8,CF
3,98,75,2023-06-23,WSN,@,SDP,L 3-13,CG,4,4,1,2,1,0,0,0,0,0,0,1,.364,.364,.455,.818,3,0,0,0,0,0,.667,0.48,-0.001,0.02,0.00%,-0.04,8,CF
4,99,76,2023-06-24,WSN,@,SDP,W 2-0,CG,4,4,0,0,0,0,0,0,1,0,0,1,.267,.267,.333,.600,0,0,0,0,0,0,.000,0.61,-0.057,0.02,0.00%,-0.90,8,CF
5,100,77,2023-06-25,WSN,@,SDP,W 8-3,CG,4,4,1,0,0,0,0,0,0,0,0,0,.211,.211,.263,.474,0,0,0,0,0,0,.000,0.57,-0.033,0.02,0.00%,-0.47,8,CF
6,101,78,2023-06-26,WSN,@,SEA,L 4-8,CG,4,4,0,0,0,0,0,0,0,0,0,2,.174,.174,.217,.391,0,0,0,0,0,0,.000,0.83,-0.081,0.04,0.00%,-1.32,8,CF
7,102,79,2023-06-27,WSN,@,SEA,W 7-4 (11),CG(11),5,3,0,0,0,0,0,0,0,0,2,1,.154,.214,.192,.407,0,0,0,0,0,0,.000,2.80,-0.143,0.08,0.00%,-0.33,9,CF
8,103,80,2023-06-28,WSN,@,SEA,W 4-1,CG,4,4,0,1,0,0,0,0,0,0,0,2,.167,.219,.200,.419,1,0,0,0,0,0,.500,0.36,-0.005,0.01,0.00%,-0.66,8,CF
9,104,81,2023-06-30,WSN,@,PHI,W 2-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.147,.194,.176,.371,0,0,0,0,0,0,.000,1.11,-0.135,0.06,0.00%,-1.49,8,CF
10,105,82,2023-07-01,WSN,@,PHI,L 4-19,CG,4,4,0,0,0,0,0,0,0,0,0,0,.132,.175,.158,.333,0,0,0,0,0,0,.000,0.28,-0.029,0.02,0.00%,-1.32,9,CF
11,106,83,2023-07-02,WSN,@,PHI,W 5-4,CG,3,3,1,1,0,0,0,0,0,0,0,0,.146,.186,.171,.357,1,0,0,0,0,0,.333,0.55,0.009,0.03,0.00%,0.07,9,CF
12,107,84,2023-07-03,WSN,,CIN,L 2-3,CG,3,3,0,1,0,0,0,0,0,0,0,1,.159,.196,.182,.377,1,0,0,0,0,0,.500,1.45,-0.015,0.11,0.00%,-0.01,9,CF
13,108,85,2023-07-04,WSN,,CIN,L 4-8,CG,4,3,0,1,0,0,0,1,0,0,1,1,.170,.220,.191,.411,1,0,0,0,0,0,.500,1.34,-0.024,0.06,0.00%,0.64,9,CF
,,,,,,,7-6,,50,47,3,8,1,0,0,1,1,0,3,11,.170,.220,.191,.411,9,0,0,0,0,0,.222,1.01,-0.638,0.05,-0.02%,-6.86,,
