Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1101,2,2020-07-25,NYY,@,WSN,L 2-9,GS-6,3,3,0,1,0,0,0,1,0,0,0,0,.333,.333,.333,.667,1,0,0,0,0,0,.333,1.87,-0.008,1.99,-0.01%,0.18,1,2B
2,1102,3,2020-07-26,NYY,@,WSN,W 3-2,CG,4,4,0,1,0,0,0,0,0,0,0,0,.286,.286,.286,.571,1,0,0,0,0,0,.250,1.35,0.017,1.48,0.01%,-0.06,1,2B 1B
3,1103,4,2020-07-29,NYY,@,BAL,W 9-3,CG,5,5,2,4,1,0,1,2,0,0,0,0,.500,.500,.833,1.333,8,0,0,0,0,0,.750,0.37,0.137,0.45,0.10%,2.95,1,2B 1B
4,1104,5,2020-07-30,NYY,@,BAL,W 8-6,CG,5,5,1,1,0,0,0,0,0,0,0,1,.412,.412,.647,1.059,1,0,0,0,0,0,.250,1.54,0.011,1.85,0.01%,-0.68,1,2B
5,1105,6,2020-07-31,NYY,,BOS,W 5-1,CG,5,5,1,3,0,0,0,0,0,0,0,0,.455,.455,.636,1.091,3,0,0,0,0,0,.600,0.66,0.014,0.76,0.01%,0.18,1,2B 1B
6,1106,7,2020-08-01,NYY,,BOS,W 5-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.385,.385,.538,.923,0,0,0,0,0,0,.000,0.54,-0.053,0.59,-0.04%,-1.06,1,2B 1B
7,1107,8,2020-08-02,NYY,,BOS,W 9-7,CG,5,4,2,2,0,0,0,1,0,0,1,1,.400,.419,.533,.953,2,0,0,0,0,0,.667,1.38,0.292,1.43,0.18%,0.85,1,2B 1B
8,1108,9,2020-08-03,NYY,,PHI,W 6-3,CG,4,4,1,2,0,0,1,1,0,0,0,0,.412,.429,.618,1.046,5,0,0,0,0,0,.333,0.48,0.096,0.42,0.05%,0.89,1,2B
9,1109,10,2020-08-05 (1),NYY,@,PHI,L 7-11 (7),GS-7,3,3,1,3,0,0,0,0,0,0,0,0,.459,.474,.649,1.122,3,0,0,0,0,0,1.000,0.93,0.113,0.74,0.05%,0.92,1,2B
10,1110,11,2020-08-05 (2),NYY,@,PHI,W 3-1 (7),CG(7),4,4,0,0,0,0,0,0,0,0,0,0,.415,.429,.585,1.014,0,1,0,0,0,0,.000,1.07,-0.142,0.93,-0.07%,-2.26,1,2B 1B
