Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,448,1,2023-03-30,WSN,,ATL,L 2-7,CG,4,3,1,2,0,0,0,0,0,0,1,0,.667,.750,.667,1.417,2,0,0,0,0,0,.667,1.57,0.225,1.57,0.14%,1.38,4,1B
2,449,2,2023-04-01,WSN,,ATL,L 1-7,CG,4,3,0,0,0,0,0,0,0,0,1,2,.333,.500,.333,.833,0,0,0,0,0,0,.000,0.28,-0.003,0.27,0.00%,-0.24,3,1B
3,450,3,2023-04-02,WSN,,ATL,W 4-1,CG,4,4,1,1,0,0,0,1,0,0,0,0,.300,.417,.300,.717,1,0,0,0,0,0,.250,0.71,0.052,0.64,0.03%,0.28,4,1B
4,451,4,2023-04-03,WSN,,TBR,L 2-6,CG,4,4,0,2,0,0,0,0,0,0,0,0,.357,.438,.357,.795,2,0,0,0,0,0,.500,0.79,0.037,0.67,0.02%,0.30,4,1B
5,452,5,2023-04-04,WSN,,TBR,L 6-10,CG,5,5,0,0,0,0,0,0,0,0,0,2,.263,.333,.263,.596,0,0,0,0,0,0,.000,1.41,-0.169,1.16,-0.08%,-1.78,4,1B
6,453,7,2023-04-06,WSN,@,COL,L 0-1,CG,4,4,0,1,0,0,0,0,0,0,0,1,.261,.320,.261,.581,1,0,0,0,0,0,.333,1.54,-0.135,1.21,-0.06%,-0.68,5,1B
7,454,8,2023-04-07,WSN,@,COL,W 10-5,CG,5,5,1,2,0,0,0,1,0,0,0,0,.286,.333,.286,.619,2,2,0,0,0,0,.400,0.52,-0.028,0.36,-0.01%,-0.33,4,1B
8,455,10,2023-04-09,WSN,@,COL,L 6-7,GS-9,5,3,0,1,0,0,0,2,0,0,2,0,.290,.371,.290,.662,1,0,0,0,0,0,.333,2.01,0.216,1.66,0.11%,0.93,3,1B
9,456,11,2023-04-10,WSN,@,LAA,W 6-4,CG,5,4,2,2,0,0,0,0,0,0,1,0,.314,.400,.314,.714,2,0,0,0,0,0,.500,1.19,-0.056,0.87,-0.03%,-0.22,5,1B
10,457,12,2023-04-11,WSN,@,LAA,L 0-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,.282,.364,.282,.646,0,0,0,0,0,0,.000,0.82,-0.088,0.64,-0.04%,-0.77,3,1B
11,458,13,2023-04-12,WSN,@,LAA,L 2-3,CG,4,4,1,1,0,0,0,0,0,0,0,1,.279,.354,.279,.633,1,0,0,0,0,0,.333,1.60,-0.010,1.17,-0.01%,0.16,3,1B
12,459,14,2023-04-14,WSN,,CLE,L 3-4,CG,5,5,0,0,0,0,0,0,0,0,0,1,.250,.321,.250,.571,0,0,0,0,0,0,.000,1.42,-0.181,0.97,-0.07%,-1.24,2,1B
13,460,15,2023-04-15,WSN,,CLE,L 4-6,CG,5,5,0,1,0,0,0,0,0,0,0,1,.245,.310,.245,.556,1,0,0,0,0,0,.250,1.08,-0.080,0.67,-0.03%,-0.61,2,1B
14,461,16,2023-04-16,WSN,,CLE,W 7-6,CG,5,3,0,0,0,0,0,0,0,0,1,1,.232,.317,.232,.550,0,0,1,0,0,0,.000,1.80,-0.137,0.99,-0.05%,-1.12,2,1B
15,462,17,2023-04-18,WSN,,BAL,L 0-1,CG,4,4,0,1,0,0,0,0,0,0,0,2,.233,.313,.233,.547,1,0,0,0,0,0,.500,1.28,-0.134,0.74,-0.05%,-0.89,2,1B
16,463,18,2023-04-19,WSN,,BAL,L 0-4,CG,4,2,0,0,0,0,0,0,0,0,2,0,.226,.324,.226,.550,0,0,0,0,0,0,.000,0.92,-0.003,0.51,0.00%,-0.14,2,1B
17,464,19,2023-04-21,WSN,@,MIN,W 3-2,CG,4,4,0,1,0,0,0,0,0,0,0,1,.227,.320,.227,.547,1,0,0,0,0,0,.333,0.73,-0.022,0.35,-0.01%,-0.26,6,1B
18,465,20,2023-04-22,WSN,@,MIN,W 10-4,CG,5,4,1,2,0,0,0,0,0,0,1,1,.243,.338,.243,.580,2,0,0,0,0,0,.667,0.71,-0.019,0.37,-0.01%,0.34,6,DH
19,466,21,2023-04-23,WSN,@,MIN,L 1-3,CG,3,3,0,0,0,0,0,0,0,0,0,1,.233,.325,.233,.558,0,0,0,0,0,0,.000,1.12,-0.093,0.64,-0.03%,-0.95,6,1B
20,467,22,2023-04-25,WSN,@,NYM,W 5-0,CG,5,4,0,1,0,0,0,0,0,0,1,0,.234,.330,.234,.563,1,0,0,0,0,0,.250,0.48,0.008,0.28,0.00%,-0.61,6,1B
21,468,23,2023-04-26,WSN,@,NYM,W 4-1,CG,5,5,1,1,1,0,0,0,0,0,0,2,.232,.323,.244,.566,2,0,0,0,0,0,.333,0.72,0.145,0.51,0.06%,1.16,6,1B
22,469,25,2023-04-29 (1),WSN,,PIT,L 3-6,CG,4,4,0,0,0,0,0,0,0,0,0,2,.221,.309,.233,.542,0,0,0,0,0,0,.000,1.05,-0.150,0.64,-0.06%,-1.23,7,1B
23,470,26,2023-04-29 (2),WSN,,PIT,L 1-16,CG,4,4,1,2,0,0,1,1,0,0,0,1,.233,.317,.278,.595,5,0,0,0,0,0,.500,0.21,0.023,0.12,0.01%,0.79,6,1B
24,471,27,2023-04-30,WSN,,PIT,W 7-2,CG,5,5,1,1,0,0,0,0,0,0,0,0,.232,.311,.274,.585,1,1,0,0,0,0,.200,0.28,-0.019,0.14,-0.01%,-1.71,6,1B
25,472,28,2023-05-01,WSN,,CHC,L 1-5,CG,3,3,0,3,1,0,0,0,0,0,0,0,.255,.330,.306,.636,4,0,0,0,0,0,1.000,0.62,0.094,0.35,0.03%,0.88,7,1B
26,473,29,2023-05-02,WSN,,CHC,W 4-1,CG,4,4,1,1,0,0,0,0,0,0,0,0,.255,.327,.304,.631,1,0,0,0,0,0,.250,0.82,0.013,0.40,0.00%,-0.14,6,1B
27,474,30,2023-05-03,WSN,,CHC,W 2-1,CG,3,3,0,0,0,0,0,0,0,0,0,1,.248,.319,.295,.614,0,1,0,0,0,0,.000,1.21,-0.120,0.67,-0.04%,-1.08,6,1B
28,475,31,2023-05-04,WSN,,CHC,W 4-3,CG,3,3,1,2,0,0,0,0,0,0,0,0,.259,.328,.306,.633,2,0,0,0,0,0,.667,0.60,0.045,0.37,0.02%,0.29,5,1B
29,476,32,2023-05-05,WSN,@,ARI,L 1-3,CG,3,2,0,0,0,0,0,0,0,0,1,0,.255,.328,.300,.628,0,1,0,0,0,0,.000,0.99,-0.064,0.66,-0.03%,-0.45,6,1B
30,477,33,2023-05-06,WSN,@,ARI,L 7-8,CG,4,4,0,0,0,0,0,0,0,0,0,0,.246,.317,.289,.607,0,0,0,0,0,0,.000,0.72,-0.114,0.46,-0.04%,-1.21,6,1B
31,478,34,2023-05-07,WSN,@,ARI,W 9-8,CG,5,3,0,1,0,0,0,0,0,0,2,1,.248,.328,.291,.619,1,0,0,0,0,0,.500,1.13,0.096,0.66,0.03%,0.67,5,1B
32,479,35,2023-05-08,WSN,@,SFG,W 5-1,CG,4,2,1,1,0,0,0,1,0,0,1,0,.252,.341,.294,.635,1,0,1,0,0,0,.500,0.53,0.083,0.34,0.03%,1.29,6,1B
33,480,36,2023-05-09,WSN,@,SFG,L 1-4,CG,4,3,0,3,0,0,0,1,0,0,1,0,.270,.360,.311,.671,3,0,0,0,0,0,1.000,0.87,0.149,0.62,0.06%,1.48,6,1B
34,481,37,2023-05-10,WSN,@,SFG,W 11-6,CG,5,4,2,1,0,0,0,1,0,0,1,1,.270,.361,.310,.671,1,0,0,0,0,0,.333,0.41,0.098,0.26,0.04%,0.54,6,1B
35,482,38,2023-05-12,WSN,,NYM,L 2-3,CG,4,3,0,0,0,0,0,0,0,0,1,1,.264,.358,.302,.660,0,0,0,0,0,0,.000,0.83,-0.049,0.60,-0.02%,-0.30,5,1B
36,483,39,2023-05-13,WSN,,NYM,W 3-2,CG,4,4,0,2,0,0,0,0,0,0,0,0,.271,.362,.308,.670,2,1,0,0,0,0,.500,0.97,-0.106,0.67,-0.04%,-1.22,6,1B
37,484,40,2023-05-14,WSN,,NYM,L 2-8,CG,5,4,1,0,0,0,0,0,0,0,1,1,.263,.357,.299,.656,0,0,0,0,0,0,.000,0.42,-0.008,0.29,0.00%,-1.02,6,1B
38,485,41,2023-05-15,WSN,,NYM,W 10-3,CG,4,3,1,2,0,0,0,2,0,0,0,1,.271,.360,.307,.667,2,0,0,0,1,0,.667,0.55,0.091,0.38,0.04%,1.64,7,1B
39,486,42,2023-05-16,WSN,@,MIA,L 4-5,CG,4,4,0,2,0,0,0,2,0,0,0,1,.278,.364,.313,.676,2,0,0,0,0,0,.667,2.20,0.286,1.51,0.12%,1.47,7,1B
40,487,43,2023-05-17,WSN,@,MIA,L 3-4,CG,4,4,0,1,0,0,0,0,0,0,0,0,.277,.361,.311,.672,1,1,0,0,0,0,.250,1.36,-0.160,0.92,-0.07%,-0.97,4,1B
41,488,44,2023-05-18,WSN,@,MIA,L 3-5,CG,4,3,0,1,1,0,0,0,0,0,1,0,.278,.364,.318,.682,2,0,0,0,0,0,.333,1.08,0.050,0.68,0.02%,0.12,6,1B
42,489,45,2023-05-19,WSN,,DET,L 6-8,CG,4,2,1,0,0,0,0,0,0,0,2,0,.275,.367,.314,.681,0,0,0,0,0,0,.000,0.64,0.033,0.34,0.01%,0.47,5,1B
43,490,46,2023-05-20,WSN,,DET,W 5-2,CG,4,4,0,0,0,0,0,0,0,0,0,1,.268,.359,.306,.665,0,0,0,0,0,0,.000,0.94,-0.099,0.43,-0.03%,-1.27,2,1B
44,491,47,2023-05-21,WSN,,DET,W 6-4,CG,4,4,1,1,0,0,0,1,0,0,0,1,.267,.357,.304,.661,1,0,0,0,0,0,.333,0.62,0.008,0.32,0.00%,-0.28,6,1B
45,492,48,2023-05-23,WSN,,SDP,L 4-7,CG,4,4,0,2,0,0,0,0,0,0,0,1,.273,.360,.309,.669,2,0,0,0,0,0,.667,0.73,0.012,0.40,0.00%,0.05,7,1B
46,493,49,2023-05-24,WSN,,SDP,W 5-3,CG,4,4,1,2,0,0,0,0,0,0,0,0,.278,.363,.314,.676,2,0,0,0,0,0,.500,0.58,0.096,0.31,0.03%,1.02,6,1B
47,494,50,2023-05-25,WSN,,SDP,L 6-8,CG,5,5,1,2,1,0,0,1,0,0,0,1,.282,.364,.322,.685,3,0,0,0,0,0,.500,1.76,0.017,0.96,0.01%,-0.31,6,1B
48,495,51,2023-05-26,WSN,@,KCR,W 12-10,CG,5,4,0,0,0,0,0,0,0,0,1,1,.275,.360,.315,.674,0,0,0,0,0,0,.000,0.51,0.018,0.25,0.01%,-0.91,7,1B
