Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,694,62,2025-06-04,SFG,,SDP,W 6-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.63,-0.063,0.76,-0.05%,-0.76,0.00,0.00,5,1B
2,695,63,2025-06-05,SFG,,SDP,W 3-2,CG,4,4,0,3,1,0,0,2,0,0,0,1,.375,.375,.500,.875,4,0,0,0,0,0,1.000,1.15,0.283,1.48,0.22%,2.33,15.00,19.00,6,1B
3,696,64,2025-06-06,SFG,,ATL,W 5-4 (10),GS-8,3,1,0,0,0,0,0,2,0,0,0,0,.333,.273,.444,.717,0,0,0,0,2,0,.000,1.17,0.027,1.39,0.02%,-0.16,4.00,7.00,5,1B
4,697,65,2025-06-07,SFG,,ATL,W 3-2,CG,3,3,0,1,0,0,0,0,0,0,0,2,.333,.286,.417,.702,1,0,0,0,0,0,1.000,0.88,-0.022,1.08,-0.02%,-0.05,3.00,3.00,5,1B
5,698,66,2025-06-08,SFG,,ATL,W 4-3,CG,3,2,0,0,0,0,0,0,1,0,1,0,.286,.294,.357,.651,0,0,0,0,0,0,.000,1.65,-0.055,2.08,-0.04%,-0.43,7.00,9.00,5,1B
6,699,67,2025-06-10,SFG,@,COL,W 6-5,CG,5,5,0,0,0,0,0,0,0,0,0,1,.211,.227,.263,.490,0,0,0,0,0,0,.000,1.11,-0.152,1.35,-0.11%,-1.40,0.00,0.00,6,1B
7,700,68,2025-06-11,SFG,@,COL,W 10-7,8-GF,2,2,1,1,0,0,0,0,0,0,0,0,.238,.250,.286,.536,1,0,0,0,0,0,.500,1.51,0.067,1.87,0.05%,0.17,5.00,6.20,5,PH 1B
8,701,69,2025-06-12,SFG,@,COL,L 7-8,CG,5,4,2,3,0,0,1,3,0,0,1,1,.320,.345,.480,.825,6,0,0,0,0,0,1.000,0.95,0.196,1.20,0.15%,2.78,28.00,37.90,6,1B
9,702,70,2025-06-13,SFG,@,LAD,W 6-2,CG,5,5,0,3,1,0,0,0,0,0,0,1,.367,.382,.533,.916,4,0,0,0,0,0,.750,0.63,-0.060,0.93,-0.05%,-0.52,11.00,12.00,4,1B
10,703,71,2025-06-14,SFG,@,LAD,L 5-11,CG,4,3,1,1,1,0,0,0,0,0,1,0,.364,.395,.545,.940,2,0,0,0,0,0,.333,0.22,-0.006,0.33,-0.01%,0.64,9.00,12.20,5,1B
11,704,72,2025-06-15,SFG,@,LAD,L 4-5,GS-9,4,2,0,0,0,0,0,0,0,0,2,0,.343,.405,.514,.919,0,0,0,0,0,0,.000,0.96,0.008,1.44,0.01%,0.18,4.00,6.00,4,1B
12,705,73,2025-06-17,SFG,,CLE,L 2-3,CG,5,5,0,1,0,0,0,1,0,0,0,2,.325,.383,.475,.858,1,0,0,0,0,0,.333,3.32,-0.307,4.13,-0.23%,-0.67,5.00,6.50,5,1B
13,706,74,2025-06-18,SFG,,CLE,L 2-4,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.317,.375,.463,.838,0,0,0,0,0,0,.000,1.10,-0.027,1.35,-0.02%,-0.15,0.00,0.00,7,PH
14,707,75,2025-06-19,SFG,,CLE,W 2-1,CG,4,4,0,0,0,0,0,0,0,0,0,2,.289,.346,.422,.768,0,1,0,0,0,0,.000,1.23,-0.131,1.44,-0.09%,-1.21,0.00,0.00,5,1B
15,708,76,2025-06-20,SFG,,BOS,L 5-7,8-8,1,0,0,0,0,0,0,0,0,0,1,0,.289,.358,.422,.781,0,0,0,0,0,0,,3.17,0.070,3.89,0.05%,0.33,2.00,3.00,9,PH
16,709,77,2025-06-21,SFG,,BOS,W 3-2,CG,3,2,0,1,0,0,0,0,0,0,1,0,.298,.375,.426,.801,1,0,0,0,0,0,.500,0.38,-0.005,0.46,0.00%,0.15,5.00,6.00,5,1B
17,710,80,2025-06-25,SFG,,MIA,L 5-8 (10),GS-10,4,2,1,0,0,0,0,0,0,0,1,0,.286,.383,.408,.791,0,0,1,0,0,0,.000,1.29,0.023,1.55,0.02%,-0.17,6.00,9.20,4,RF 1B
18,711,83,2025-06-28,SFG,@,CHW,L 0-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.264,.359,.377,.737,0,0,0,0,0,0,.000,1.18,-0.121,1.34,-0.08%,-0.72,0.00,0.00,4,1B
19,712,85,2025-06-30,SFG,@,ARI,L 2-4,CG,4,4,1,2,1,0,0,0,0,0,0,1,.281,.368,.404,.771,3,0,0,0,0,0,.667,0.97,0.044,1.11,0.03%,0.46,10.00,12.20,4,1B
20,713,86,2025-07-01,SFG,@,ARI,L 2-8,CG,4,4,0,0,0,0,0,0,0,0,0,1,.262,.347,.377,.724,0,0,0,0,0,0,.000,0.52,-0.052,0.58,-0.04%,-1.04,0.00,0.00,5,1B
21,714,87,2025-07-02,SFG,@,ARI,W 6-5 (10),10-GF(10),1,1,0,0,0,0,0,0,0,0,0,0,.258,.342,.371,.713,0,1,0,0,0,0,.000,1.65,-0.078,1.75,-0.05%,-0.53,0.00,0.00,8,PH 1B
22,715,88,2025-07-03,SFG,@,ARI,W 7-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.242,.325,.348,.673,0,0,0,0,0,0,.000,0.51,-0.054,0.55,-0.04%,-1.06,0.00,0.00,6,1B
23,716,89,2025-07-04,SFG,@,ATH,L 2-11,8-GF,1,1,1,1,1,0,0,0,0,0,0,0,.254,.333,.373,.706,2,0,0,0,0,0,1.000,0.00,0.000,0.00,0.00%,0.62,7.00,9.20,4,1B
24,717,90,2025-07-05,SFG,@,ATH,W 7-2,CG,5,4,1,0,0,0,0,0,0,0,0,1,.239,.325,.352,.677,0,0,1,0,0,0,.000,0.48,-0.047,0.49,-0.03%,-0.92,4.00,6.20,7,1B
,,,,,,,13-11,,83,71,8,17,5,0,1,8,1,0,8,17,.239,.325,.352,.677,25,2,2,0,2,0,.291,1.06,-0.462,1.35,-0.31%,-2.12,125.00,164.60,,
