Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,506,1,2021-04-01,SFG,@,SEA,L 7-8 (10),CG(10),5,5,2,2,1,0,0,0,0,0,0,1,.400,.400,.600,1.000,3,1,0,0,0,0,.500,0.76,-0.060,0.70,-0.03%,-0.18,3,2B
2,507,2,2021-04-02,SFG,@,SEA,W 6-3,CG,5,5,2,3,1,0,0,2,0,0,0,1,.500,.500,.700,1.200,4,0,0,0,0,0,.750,1.05,0.364,0.94,0.20%,2.14,3,2B
3,508,3,2021-04-03,SFG,@,SEA,L 0-4,CG,4,4,0,2,0,0,0,0,0,0,0,2,.500,.500,.643,1.143,2,0,0,0,0,0,1.000,0.77,0.039,0.73,0.02%,0.43,3,2B
4,509,4,2021-04-05,SFG,@,SDP,W 3-2,CG,4,4,0,2,0,0,0,0,1,0,0,0,.500,.500,.611,1.111,2,0,0,0,0,0,.500,0.96,0.042,1.04,0.03%,0.37,2,2B
5,510,6,2021-04-07,SFG,@,SDP,W 3-2 (10),CG(10),5,4,0,0,0,0,0,1,0,0,0,3,.409,.391,.500,.891,0,0,0,0,1,0,.000,1.77,0.030,1.87,0.02%,-0.45,3,2B
6,511,7,2021-04-09,SFG,,COL,W 3-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.346,.333,.423,.756,0,0,0,0,0,0,.000,0.67,-0.072,0.72,-0.05%,-0.73,3,2B
7,512,8,2021-04-10,SFG,,COL,W 4-3,5-6,1,1,0,0,0,0,0,0,0,0,0,0,.333,.321,.407,.729,0,0,0,0,0,0,.000,1.25,-0.032,1.38,-0.02%,-0.24,9,PH
8,513,9,2021-04-11,SFG,,COL,W 4-0,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.321,.310,.393,.703,0,0,0,0,0,0,.000,0.06,-0.001,0.07,0.00%,-0.23,1,2B
9,514,10,2021-04-12,SFG,,CIN,L 0-3,CG,4,3,0,1,0,0,0,0,0,0,0,1,.323,.333,.387,.720,1,0,1,0,0,0,.500,1.23,-0.001,1.34,0.00%,-0.08,2,2B
10,515,11,2021-04-13,SFG,,CIN,W 7-6,7-GF,2,0,1,0,0,0,0,0,0,0,2,0,.323,.371,.387,.759,0,0,0,0,0,0,,1.32,0.066,1.36,0.04%,0.66,1,PH 2B
11,516,12,2021-04-14,SFG,,CIN,W 3-0,CG,3,3,0,2,0,0,0,0,0,0,0,0,.353,.395,.412,.807,2,0,0,0,0,0,.667,0.75,0.045,0.80,0.03%,0.61,5,2B
12,517,13,2021-04-16,SFG,@,MIA,L 1-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,.316,.357,.368,.726,0,0,0,0,0,0,.000,1.22,-0.126,1.33,-0.08%,-0.93,2,2B
13,518,14,2021-04-17,SFG,@,MIA,L 6-7 (10),7-GF(10),2,2,0,2,1,0,0,0,0,0,0,0,.350,.386,.425,.811,3,0,0,0,0,0,1.000,2.20,0.162,2.30,0.10%,1.14,9,PH 2B
14,519,15,2021-04-18,SFG,@,MIA,W 1-0,CG,5,5,0,0,0,0,0,0,0,0,0,2,.311,.347,.378,.725,0,0,0,0,0,0,.000,0.99,-0.127,0.99,-0.08%,-1.29,3,2B
15,520,16,2021-04-19,SFG,@,PHI,W 2-0,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,.304,.340,.370,.710,0,0,0,0,0,0,.000,0.55,-0.015,0.57,-0.01%,-0.37,9,2B
16,521,17,2021-04-20,SFG,@,PHI,W 10-7,7-7,1,1,0,0,0,0,0,0,0,0,0,0,.298,.333,.362,.695,0,0,0,0,0,0,.000,0.92,-0.023,1.04,-0.02%,-0.16,9,PH
17,522,18,2021-04-21,SFG,@,PHI,L 5-6,GS-6,3,3,0,1,1,0,0,0,0,0,0,0,.300,.333,.380,.713,2,0,0,0,0,0,.333,0.68,-0.003,0.76,0.00%,-0.09,3,2B
18,523,43,2021-05-19,SFG,@,CIN,W 4-0,CG,4,4,0,0,0,0,0,0,0,0,0,1,.278,.310,.352,.662,0,0,0,0,0,0,.000,0.93,-0.099,1.24,-0.08%,-1.02,6,2B
19,524,45,2021-05-21,SFG,,LAD,L 1-2,CG,4,3,0,0,0,0,0,0,0,0,1,1,.263,.306,.333,.640,0,0,0,0,0,0,.000,1.45,-0.026,2.23,-0.02%,-0.19,7,2B
20,525,47,2021-05-23,SFG,,LAD,L 5-11,CG,5,4,0,2,0,0,0,1,0,0,0,1,.279,.313,.344,.658,2,0,0,0,1,0,.500,0.17,-0.014,0.26,-0.01%,0.20,2,2B
21,526,48,2021-05-25,SFG,@,ARI,W 8-0,GS-7,4,4,0,0,0,0,0,0,0,0,0,0,.262,.296,.323,.619,0,0,0,0,0,0,.000,0.25,-0.027,0.31,-0.02%,-1.17,7,2B
22,527,49,2021-05-26,SFG,@,ARI,W 5-4,7-GF,2,2,1,1,1,0,0,0,0,0,0,1,.269,.301,.343,.645,2,0,0,0,0,0,1.000,0.91,0.081,1.15,0.06%,0.52,9,2B
23,528,50,2021-05-27,SFG,@,LAD,L 3-4,CG,4,4,1,1,0,0,1,2,0,0,0,2,.268,.299,.380,.679,4,0,0,0,0,0,.000,1.50,0.125,2.27,0.11%,1.13,3,2B
24,529,51,2021-05-28,SFG,@,LAD,W 8-5 (10),GS-9,4,3,0,0,0,0,0,1,0,0,0,1,.257,.284,.365,.649,0,0,0,0,1,0,.000,1.07,-0.055,1.73,-0.05%,-0.59,6,2B
25,530,52,2021-05-29,SFG,@,LAD,W 11-6,GS-8,5,4,3,2,0,0,1,2,0,0,1,1,.269,.302,.410,.713,5,0,0,0,0,0,.500,0.76,0.188,1.18,0.18%,1.88,6,2B
26,531,53,2021-05-30,SFG,@,LAD,W 5-4,GS-9,5,4,1,1,0,0,0,0,0,0,1,0,.268,.308,.402,.710,1,0,0,0,0,0,.250,0.48,0.041,0.73,0.04%,0.49,2,2B
27,532,54,2021-05-31,SFG,,LAA,W 6-1,CG,4,3,1,0,0,0,0,0,0,0,1,1,.259,.305,.388,.694,0,1,0,0,0,0,.000,0.64,-0.085,0.79,-0.06%,0.29,7,2B
28,533,55,2021-06-01,SFG,,LAA,L 1-8,CG,4,4,0,1,0,0,0,1,0,0,0,0,.258,.303,.382,.685,1,0,0,0,0,0,.250,0.34,-0.015,0.43,-0.01%,0.18,5,2B
29,534,56,2021-06-03,SFG,,CHC,W 7-2,CG,4,3,0,1,0,0,0,1,0,0,0,0,.261,.301,.380,.681,1,0,0,0,1,0,.250,0.80,0.020,1.06,0.02%,0.35,6,2B
30,535,57,2021-06-04,SFG,,CHC,W 8-5,GS-8,4,4,1,2,0,0,0,0,0,0,0,1,.271,.308,.385,.694,2,0,0,0,0,0,.667,0.39,0.051,0.49,0.04%,1.03,7,2B
31,536,58,2021-06-05,SFG,,CHC,W 4-3,9-GF,0,0,0,0,0,0,0,0,0,0,0,0,.271,.308,.385,.694,0,,0,0,,,,,,,,,3,2B
32,537,59,2021-06-06,SFG,,CHC,L 3-4,CG,4,4,0,1,0,0,0,1,0,0,0,1,.270,.306,.380,.686,1,1,0,0,0,0,.333,1.95,-0.179,2.40,-0.13%,-0.34,6,2B
33,538,60,2021-06-08,SFG,@,TEX,W 9-4,GS-8,4,3,0,0,0,0,0,0,0,0,1,1,.262,.304,.369,.673,0,1,0,0,0,0,.000,2.51,-0.205,2.95,-0.15%,-1.69,8,2B
34,539,61,2021-06-09,SFG,@,TEX,L 3-4 (11),GS-9,4,4,0,1,0,0,0,0,0,0,0,0,.262,.303,.364,.667,1,0,0,0,0,0,.250,0.62,-0.044,0.74,-0.03%,-0.45,5,2B
35,540,62,2021-06-11,SFG,@,WSN,W 1-0,CG,3,3,0,1,0,0,0,0,0,0,0,1,.264,.303,.364,.667,1,0,0,0,0,0,.500,0.73,-0.014,0.93,-0.01%,-0.11,6,2B
36,541,64,2021-06-12 (2),SFG,@,WSN,W 2-1 (8),CG(8),4,2,0,0,0,0,0,0,0,0,2,0,.259,.310,.357,.667,0,0,0,0,0,0,.000,1.54,0.109,1.91,0.08%,0.88,2,2B
37,542,65,2021-06-13,SFG,@,WSN,L 0-5,GS-7,3,3,0,1,0,0,0,0,0,0,0,0,.261,.310,.357,.667,1,0,0,0,0,0,.333,0.29,-0.009,0.35,-0.01%,-0.20,7,2B
38,543,66,2021-06-14,SFG,,ARI,W 5-2,CG,5,5,2,2,2,0,0,0,0,0,0,0,.267,.313,.375,.688,4,0,0,0,0,0,.400,0.89,0.072,1.11,0.05%,-0.04,3,2B
