Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1,1,2021-10-08,SFG,,LAD,W 4-0,NLDS G1,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0.11,-0.003,1.72,-0.02%,-0.24,,,1,PH 2B
2,2,2,2021-10-09,SFG,,LAD,L 2-9,NLDS G2,GS-7,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.000,1.69,-0.032,27.01,-0.32%,-0.19,,,8,2B
3,3,3,2021-10-11,SFG,@,LAD,W 1-0,NLDS G3,6-GF,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0.49,-0.013,10.25,-0.17%,-0.11,,,1,2B
4,4,4,2021-10-12,SFG,@,LAD,L 2-7,NLDS G4,7-GF,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.20,-0.010,3.81,-0.11%,-0.28,,,9,PH 2B
5,5,5,2021-10-14,SFG,,LAD,L 1-2,NLDS G5,3-GF,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,1.13,-0.086,46.95,-2.02%,-0.58,,,1,PH 2B
6,6,1,2023-10-03,MIN,,TOR,W 3-1,ALWC G1,5-GF,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.000,0.41,-0.015,4.21,-0.09%,-0.32,,,5,PH 1B
7,7,2,2023-10-04,MIN,,TOR,W 2-0,ALWC G2,4-GF,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,0.89,0.089,8.74,0.49%,0.94,,,5,PH 1B
8,8,4,2023-10-08,MIN,@,HOU,W 6-2,ALDS G2,GS-6,3,3,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,.333,0.78,-0.027,12.45,-0.26%,-0.16,,,1,1B
9,9,5,2023-10-10,MIN,,HOU,L 1-9,ALDS G3,6-GF,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.35,-0.016,7.22,-0.22%,-0.48,,,6,PH 1B
10,10,6,2023-10-11,MIN,,HOU,L 2-3,ALDS G4,CG,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,1.34,-0.104,26.22,-1.26%,-0.60,,,8,1B
11,11,1,2024-10-01,SDP,,ATL,W 4-0,NLWC G1,CG,3,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,.500,0.49,0.049,5.09,0.29%,0.49,3.00,3.00,8,1B
12,12,2,2024-10-02,SDP,,ATL,W 5-4,NLWC G2,CG,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,0.59,-0.061,5.72,-0.34%,-1.08,0.00,0.00,7,1B
13,13,3,2024-10-05,SDP,@,LAD,L 5-7,NLDS G1,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,1.71,-0.173,26.82,-1.55%,-1.31,0.00,0.00,8,1B
14,14,4,2024-10-06,SDP,@,LAD,W 10-2,NLDS G2,7-GF,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0.17,-0.009,2.72,-0.08%,-0.45,0.00,0.00,8,PH DH
15,15,7,2024-10-11,SDP,@,LAD,L 0-2,NLDS G5,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,1.46,-0.037,60.83,-0.86%,-0.23,0.00,0.00,9,PH
,,,,,,,8-7,,,36,32,1,2,0,0,0,1,0,0,3,11,2,1,0,0,1,0,.091,0.85,-0.448,16.65,-6.52%,-4.59,3.00,3.00,,
