Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,185,1,2022-04-07,STL,,PIT,W 9-0,CG,5,3,2,1,1,0,0,1,0,0,0,2,.333,.400,.667,1.067,2,0,1,0,1,0,.500,0.48,0.033,0.47,0.02%,0.54,1,RF
2,186,2,2022-04-09,STL,,PIT,W 6-2,CG,5,5,1,1,0,0,0,0,1,0,0,1,.250,.300,.375,.675,1,1,0,0,0,0,.250,0.64,0.010,0.67,0.01%,-0.82,1,RF
3,187,3,2022-04-10,STL,,PIT,L 4-9,CG,4,2,1,2,1,0,0,1,0,0,1,0,.400,.429,.600,1.029,3,0,0,0,1,0,.667,0.74,0.099,0.79,0.06%,1.59,1,RF
4,188,4,2022-04-12,STL,,KCR,W 6-5,CG,4,4,0,1,0,0,0,0,0,0,0,1,.357,.389,.500,.889,1,0,0,0,0,0,.333,0.55,-0.045,0.51,-0.03%,-0.52,1,RF
5,189,5,2022-04-14,STL,@,MIL,L 1-5,CG,4,4,0,0,0,0,0,0,0,0,0,0,.278,.318,.389,.707,0,0,0,0,0,0,.000,0.86,-0.125,0.95,-0.08%,-1.37,1,RF
6,190,6,2022-04-15,STL,@,MIL,W 10-1,CG,6,5,1,0,0,0,0,0,0,0,0,0,.217,.286,.304,.590,0,0,1,0,0,0,.000,0.25,-0.012,0.25,-0.01%,-1.16,1,RF
7,191,7,2022-04-16,STL,@,MIL,W 2-1,CG,5,5,0,1,0,0,0,0,0,0,0,1,.214,.273,.286,.558,1,0,0,0,0,0,.250,1.03,-0.080,1.11,-0.05%,-0.67,1,RF
8,192,8,2022-04-17,STL,@,MIL,L 5-6,CG,5,5,1,0,0,0,0,0,0,0,0,0,.182,.237,.242,.479,0,0,0,0,0,0,.000,2.28,-0.233,2.47,-0.15%,-1.09,1,RF
9,193,9,2022-04-19,STL,@,MIA,W 5-1,CG,5,5,0,0,0,0,0,0,0,0,0,2,.158,.209,.211,.420,0,0,0,0,0,0,.000,0.49,-0.062,0.52,-0.04%,-1.03,1,RF
10,194,11,2022-04-21,STL,@,MIA,L 0-5,CG,4,4,0,1,0,0,0,0,0,0,0,0,.167,.213,.214,.427,1,0,0,0,0,0,.250,0.68,-0.043,0.73,-0.03%,-0.57,1,RF
11,195,12,2022-04-22,STL,@,CIN,W 4-2,CG,5,4,1,2,0,0,0,0,0,0,1,0,.196,.250,.239,.489,2,0,0,0,0,0,.500,0.81,0.083,0.91,0.06%,0.56,1,RF
12,196,13,2022-04-23,STL,@,CIN,W 5-0,CG,5,5,0,2,0,0,0,0,0,0,0,0,.216,.263,.255,.518,2,0,0,0,0,0,.400,0.77,0.066,0.86,0.04%,0.02,3,RF
13,197,14,2022-04-24,STL,@,CIN,L 1-4,CG,4,4,0,1,1,0,0,0,0,0,0,0,.218,.262,.273,.535,2,0,0,0,0,0,.250,0.83,-0.003,0.95,0.00%,-0.04,6,RF
14,198,15,2022-04-25,STL,,NYM,L 2-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,.203,.246,.254,.500,0,0,0,0,0,0,.000,0.80,-0.079,0.92,-0.06%,-0.63,6,RF
