Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,152,1,2021-04-01,SEA,,SFG,W 8-7 (10),CG(10),5,3,1,1,1,0,0,3,0,0,1,1,.333,.400,.667,1.067,2,0,0,0,1,0,.333,1.83,0.407,1.68,0.22%,2.58,6,2B
2,153,2,2021-04-02,SEA,,SFG,L 3-6,CG,4,4,0,0,0,0,0,0,0,0,0,3,.143,.222,.286,.508,0,1,0,0,0,0,.000,1.06,-0.164,1.04,-0.10%,-1.40,6,2B
3,154,3,2021-04-03,SEA,,SFG,W 4-0,CG,4,3,0,1,1,0,0,1,1,0,1,0,.200,.308,.400,.708,2,0,0,0,0,0,.333,0.47,0.051,0.42,0.03%,1.02,6,LF
4,155,4,2021-04-05,SEA,,CHW,L 0-6,CG,4,3,0,0,0,0,0,0,1,0,1,3,.154,.294,.308,.602,0,0,0,0,0,0,,0.70,-0.019,0.68,-0.01%,-0.41,5,2B
5,156,5,2021-04-06,SEA,,CHW,L 4-10,6-GF,2,2,1,1,1,0,0,0,0,0,0,1,.200,.316,.400,.716,2,0,0,0,0,0,1.000,1.31,-0.064,1.22,-0.04%,0.19,8,LF
6,157,6,2021-04-07,SEA,,CHW,W 8-4,GS-9,4,3,1,1,0,0,0,0,0,0,1,0,.222,.348,.389,.737,1,0,0,0,0,0,.333,1.14,0.098,0.98,0.05%,0.58,5,LF
7,158,7,2021-04-08,SEA,@,MIN,L 2-10,CG,4,4,0,0,0,0,0,0,0,0,0,2,.182,.296,.318,.614,0,0,0,0,0,0,.000,0.45,-0.046,0.43,-0.03%,-0.81,5,2B
8,159,8,2021-04-10,SEA,@,MIN,W 4-3 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,2,.154,.258,.269,.527,0,0,0,0,0,0,.000,1.10,-0.114,1.01,-0.06%,-0.67,6,2B
9,160,9,2021-04-11,SEA,@,MIN,W 8-6,7-GF,2,2,0,0,0,0,0,1,0,0,0,0,.143,.242,.250,.492,0,0,0,0,0,0,.000,1.92,-0.045,1.91,-0.03%,-0.41,4,PH 2B
10,161,10,2021-04-13 (1),SEA,@,BAL,W 4-3 (8),GS-6,2,2,0,0,0,0,0,0,0,0,0,1,.133,.229,.233,.462,0,0,0,0,0,0,.000,0.53,-0.030,0.53,-0.02%,-0.35,5,LF
11,162,11,2021-04-13 (2),SEA,@,BAL,L 6-7 (7),CG(7),3,3,0,0,0,0,0,0,0,0,0,0,.121,.211,.212,.423,0,0,0,0,0,0,.000,1.29,-0.107,1.37,-0.07%,-0.78,7,RF
12,163,12,2021-04-15 (1),SEA,@,BAL,W 4-2 (7),CG(7),3,3,1,1,0,0,0,0,0,0,0,2,.139,.220,.222,.442,1,0,0,0,0,0,1.000,1.47,-0.031,1.50,-0.02%,-0.37,7,2B
13,164,13,2021-04-15 (2),SEA,@,BAL,W 2-1 (7),CG(7),3,3,1,1,0,0,1,1,0,0,0,0,.154,.227,.308,.535,4,0,0,0,0,0,.000,1.14,0.078,1.24,0.05%,0.51,8,2B LF
14,165,14,2021-04-16,SEA,,HOU,W 6-5,CG,4,2,0,0,0,0,0,0,0,0,2,1,.146,.250,.293,.543,0,0,0,0,0,0,.000,1.62,0.020,1.97,0.02%,0.09,7,RF
15,166,15,2021-04-17,SEA,,HOU,L 0-1,CG,3,3,0,0,0,0,0,0,0,0,0,0,.136,.235,.273,.508,0,0,0,0,0,0,.000,2.10,-0.167,2.61,-0.13%,-1.05,7,2B
16,167,16,2021-04-18,SEA,,HOU,W 7-2,CG,4,3,0,0,0,0,0,0,0,0,1,3,.128,.236,.255,.492,0,0,0,0,0,0,,0.57,-0.060,0.71,-0.05%,-0.50,6,2B
17,168,17,2021-04-19,SEA,,LAD,W 4-3,CG,3,3,0,0,0,0,0,0,0,0,0,1,.120,.224,.240,.464,0,0,0,0,0,0,.000,0.64,-0.051,0.70,-0.03%,-0.71,8,2B 3B
18,169,18,2021-04-20,SEA,,LAD,L 0-1,CG,3,2,0,0,0,0,0,0,1,0,1,1,.115,.230,.231,.460,0,0,0,0,0,0,.000,1.35,0.023,1.54,0.02%,-0.12,8,2B LF
19,170,19,2021-04-22,SEA,@,BOS,W 7-3 (10),GS-8,2,2,0,0,0,0,0,0,0,0,0,1,.111,.222,.222,.444,0,0,0,0,0,0,.000,0.81,-0.042,0.91,-0.03%,-0.36,8,2B
20,171,20,2021-04-23,SEA,@,BOS,L 5-6,CG,4,2,1,0,0,0,0,0,1,0,2,1,.107,.239,.214,.453,0,0,0,0,0,0,.000,0.81,-0.013,0.93,-0.01%,-0.50,7,2B
21,172,22,2021-04-25,SEA,@,BOS,L 3-5,CG,4,4,0,1,1,0,0,0,0,0,0,1,.117,.239,.233,.473,2,0,0,0,0,0,.333,0.52,0.017,0.61,0.01%,0.28,6,RF
22,173,23,2021-04-26,SEA,@,HOU,L 2-5,GS-9,3,2,0,0,0,0,0,0,0,0,0,0,.113,.243,.226,.469,0,0,1,0,0,0,.000,0.80,-0.019,1.04,-0.02%,-0.15,7,2B
23,174,24,2021-04-27,SEA,@,HOU,L 0-2,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.111,.240,.222,.462,0,0,0,0,0,0,,1.48,-0.038,1.85,-0.03%,-0.25,7,PH LF
24,175,25,2021-04-28,SEA,@,HOU,L 5-7,8-GF,0,0,0,0,0,0,0,0,0,1,0,0,.111,.240,.222,.462,0,,0,0,,,,0.50,-0.015,0.62,-0.01%,-0.24,6,PR 2B
25,176,26,2021-04-29,SEA,@,HOU,W 1-0,CG,3,2,0,0,0,0,0,0,0,0,1,2,.108,.244,.215,.459,0,0,0,0,0,0,,0.78,-0.014,0.91,-0.01%,-0.15,7,RF
26,177,27,2021-04-30,SEA,,LAA,W 7-4,CG,4,3,2,2,0,0,1,2,1,0,1,0,.132,.268,.279,.548,5,0,0,0,0,0,.500,1.12,0.355,1.33,0.25%,2.98,6,2B
27,178,28,2021-05-01,SEA,,LAA,L 5-10,CG,4,4,0,1,0,0,0,2,0,0,0,2,.139,.267,.278,.545,1,0,0,0,0,0,.500,0.08,-0.005,0.11,0.00%,0.84,6,2B 3B
28,179,29,2021-05-02,SEA,,LAA,W 2-0,CG,4,4,0,1,0,0,0,1,1,0,0,1,.145,.267,.276,.543,1,0,0,0,0,0,.333,1.00,0.110,1.27,0.08%,0.51,6,2B
29,180,30,2021-05-03,SEA,,BAL,L 3-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,.138,.255,.263,.518,0,0,0,0,0,0,.000,0.76,-0.080,0.89,-0.06%,-0.72,6,2B
30,181,31,2021-05-04,SEA,,BAL,W 5-2,CG,3,2,0,0,0,0,0,0,0,0,1,1,.134,.258,.256,.514,0,0,0,0,0,0,.000,1.27,-0.072,1.43,-0.05%,-0.43,8,RF
31,182,32,2021-05-05,SEA,,BAL,L 0-6,CG,3,3,0,0,0,0,0,0,0,0,0,1,.129,.250,.247,.497,0,0,0,0,0,0,.000,0.84,-0.063,0.95,-0.04%,-0.70,7,2B
32,183,33,2021-05-07,SEA,@,TEX,W 5-4,CG,4,3,1,1,0,0,1,2,0,0,1,1,.136,.260,.284,.544,4,0,0,0,0,0,.000,1.05,0.134,1.33,0.10%,1.47,6,2B
33,184,34,2021-05-08,SEA,@,TEX,L 8-9,CG,4,4,2,2,1,0,0,0,0,0,0,0,.152,.269,.304,.573,3,0,0,0,0,0,.500,0.66,0.027,0.83,0.02%,0.66,7,2B
34,185,35,2021-05-09,SEA,@,TEX,L 2-10,CG,5,4,0,1,0,0,0,0,0,0,1,1,.156,.274,.302,.576,1,1,0,0,0,0,.333,0.89,0.047,1.09,0.03%,-0.30,5,2B
35,186,36,2021-05-11,SEA,@,LAD,L 4-6,GS-7,3,3,0,0,0,0,0,0,0,0,0,1,.152,.267,.293,.560,0,0,0,0,0,0,.000,0.43,-0.034,0.45,-0.02%,-0.47,7,LF
36,187,37,2021-05-12,SEA,@,LAD,L 1-7,CG,3,3,0,1,0,0,0,1,0,0,0,1,.157,.269,.294,.563,1,0,0,0,0,0,.500,0.82,0.068,0.83,0.04%,0.41,7,2B LF
37,188,38,2021-05-13,SEA,,CLE,L 2-4,CG,3,3,1,1,0,0,1,2,0,0,0,0,.162,.270,.324,.594,4,0,0,0,0,0,.000,0.50,0.047,0.47,0.03%,1.12,8,2B
38,189,39,2021-05-14,SEA,,CLE,W 7-3,CG,4,4,1,2,2,0,0,0,1,0,0,1,.174,.278,.349,.626,4,1,0,0,0,0,.667,0.51,-0.026,0.45,-0.01%,0.83,6,2B
39,190,40,2021-05-15,SEA,,CLE,W 7-3,CG,4,4,1,1,0,0,1,3,0,0,0,2,.177,.277,.372,.649,4,0,0,0,0,0,.000,0.74,0.157,0.69,0.09%,1.33,6,2B
40,191,41,2021-05-16,SEA,,CLE,W 3-2,CG,4,3,0,0,0,0,0,0,1,0,1,2,.172,.276,.362,.638,0,0,0,0,0,0,.000,0.81,-0.031,0.79,-0.02%,-0.81,6,2B
41,192,43,2021-05-18,SEA,,DET,L 0-5,CG,3,3,0,0,0,0,0,0,0,0,0,0,.168,.270,.353,.623,0,0,0,0,0,0,.000,0.66,-0.049,0.62,-0.03%,-0.42,6,2B
42,193,66,2021-06-12,SEA,@,CLE,L 4-5 (10),CG(10),5,4,1,2,1,0,1,2,1,0,1,2,.179,.282,.390,.672,6,0,0,0,0,0,1.000,1.48,0.072,1.03,0.03%,2.08,6,2B
43,194,67,2021-06-13,SEA,@,CLE,W 6-2,CG,5,5,0,1,0,0,0,0,0,1,0,1,.180,.279,.383,.662,1,0,0,0,0,0,.250,0.59,-0.036,0.36,-0.01%,-1.46,6,2B
44,195,68,2021-06-14,SEA,,MIN,W 4-3,CG,4,4,0,1,0,1,0,1,0,0,0,2,.182,.278,.394,.672,3,0,0,0,0,0,.500,2.13,-0.007,1.28,0.00%,-0.47,5,2B
45,196,69,2021-06-15,SEA,,MIN,W 10-0,CG,5,4,0,0,0,0,0,0,0,0,1,2,.176,.276,.382,.658,0,0,0,0,0,0,.000,0.28,-0.040,0.19,-0.02%,-1.14,5,2B
46,197,71,2021-06-17,SEA,,TBR,W 6-5,CG,4,3,1,1,0,0,0,0,1,0,1,2,.180,.281,.381,.663,1,0,0,0,0,0,1.000,1.75,0.097,1.04,0.03%,0.28,5,2B
47,198,72,2021-06-18,SEA,,TBR,W 5-1,CG,4,3,0,0,0,0,0,0,0,0,0,0,.176,.280,.373,.654,0,0,1,0,0,0,.000,0.64,-0.057,0.41,-0.02%,-0.85,6,2B
48,199,73,2021-06-19,SEA,,TBR,W 6-5 (10),CG(10),4,3,1,1,1,0,0,0,0,0,1,1,.179,.286,.379,.665,2,0,0,0,0,0,.500,1.42,0.034,1.03,0.02%,1.00,7,2B
49,200,74,2021-06-20,SEA,,TBR,W 6-2 (10),CG(10),4,4,1,1,0,0,0,0,0,0,0,1,.181,.285,.376,.661,1,1,0,0,0,0,.333,1.51,0.001,1.22,0.00%,-0.39,5,2B
