Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,449,1,2024-03-28,SEA,,BOS,L 4-6,7-GF,2,2,1,1,0,0,1,2,0,0,0,1,.500,.500,2.000,2.500,4,0,0,0,0,0,,2.61,0.114,2.48,0.07%,1.29,16.00,22.20,7,PH LF
2,450,3,2024-03-30,SEA,,BOS,W 4-3 (10),GS-8,2,2,0,0,0,0,0,0,0,0,0,0,.250,.250,1.000,1.250,0,0,0,0,0,0,.000,0.94,-0.035,0.91,-0.02%,-0.32,0.00,0.00,8,2B
3,451,4,2024-03-31,SEA,,BOS,L 1-5,7-GF,2,2,0,0,0,0,0,0,0,0,0,1,.167,.167,.667,.833,0,0,0,0,0,0,.000,0.63,-0.028,0.62,-0.02%,-0.43,0.00,0.00,6,PH LF
4,452,7,2024-04-03,SEA,,CLE,L 0-8,CG,4,3,0,0,0,0,0,0,0,0,1,2,.111,.200,.444,.644,0,0,0,0,0,0,.000,0.12,-0.011,0.12,-0.01%,-0.38,2.00,3.00,7,SS LF
5,453,8,2024-04-05,SEA,@,MIL,L 5-6,6-GF,2,1,1,1,0,0,0,0,0,0,0,0,.200,.333,.500,.833,1,0,1,0,0,0,1.000,1.40,0.105,1.20,0.05%,0.60,7.00,9.20,7,PH 1B
6,454,9,2024-04-06,SEA,@,MIL,W 5-3,CG,4,2,0,1,0,0,0,0,1,1,2,1,.250,.438,.500,.938,1,0,0,0,0,0,1.000,0.45,0.031,0.35,0.02%,0.27,12.00,15.00,7,1B
7,455,10,2024-04-07,SEA,@,MIL,L 4-12,CG,4,4,1,1,1,0,0,0,0,0,0,2,.250,.400,.500,.900,2,0,0,0,0,0,.500,0.37,0.046,0.32,0.02%,-0.01,7.00,9.20,6,1B
8,456,13,2024-04-10,SEA,@,TOR,W 6-1 (10),CG(10),4,3,1,0,0,0,0,0,1,0,1,0,.211,.375,.421,.796,0,0,0,0,0,0,.000,1.10,-0.003,0.84,0.00%,-0.13,9.00,12.20,8,3B LF
9,457,14,2024-04-12,SEA,,CHC,W 4-2,CG,4,3,1,0,0,0,0,0,0,0,1,0,.182,.357,.364,.721,0,0,0,0,0,0,.000,1.04,-0.069,0.79,-0.03%,-0.86,4.00,6.20,8,LF
10,458,15,2024-04-13,SEA,,CHC,L 1-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,.154,.313,.308,.620,0,0,0,0,0,0,.000,2.19,-0.265,1.75,-0.13%,-1.82,0.00,0.00,7,3B LF
11,459,16,2024-04-14,SEA,,CHC,L 2-3,2-GF,4,3,0,1,0,0,0,0,1,0,0,2,.172,.333,.310,.644,1,0,1,0,0,0,1.000,1.63,0.039,1.29,0.02%,0.54,10.00,12.00,5,LF
12,460,19,2024-04-17,SEA,,CIN,W 5-1,CG,4,4,0,1,0,1,0,0,0,0,0,1,.182,.325,.364,.689,3,0,0,0,0,0,.333,0.81,-0.043,0.64,-0.02%,-1.10,8.00,9.00,7,SS
13,461,21,2024-04-21 (1),SEA,@,COL,L 1-2 (10),CG(10),4,2,0,1,0,0,0,0,0,0,2,0,.200,.364,.371,.735,1,0,0,0,0,0,.500,1.82,0.055,1.76,0.03%,0.36,7.00,9.00,8,2B LF
14,462,22,2024-04-21 (2),SEA,@,COL,W 10-2,CG,5,4,0,0,0,0,0,1,0,0,0,1,.179,.327,.333,.660,0,0,0,0,1,0,.000,0.47,-0.049,0.43,-0.03%,-1.04,2.00,3.50,6,LF
15,463,24,2024-04-24,SEA,@,TEX,L 1-5,CG,4,3,0,2,0,0,0,0,2,0,1,1,.214,.358,.357,.716,2,0,0,0,0,0,1.000,0.67,0.068,0.75,0.05%,0.82,18.00,21.00,8,SS
16,464,25,2024-04-25,SEA,@,TEX,W 4-3,CG,3,3,1,1,1,0,0,0,0,0,0,2,.222,.357,.378,.735,2,0,0,0,0,0,1.000,0.86,0.048,0.95,0.03%,0.16,7.00,9.20,6,SS
17,465,26,2024-04-26,SEA,,ARI,W 6-1,CG,3,3,0,0,0,0,0,0,0,0,0,1,.208,.339,.354,.693,0,0,0,0,0,0,.000,0.28,-0.021,0.28,-0.01%,-0.45,0.00,0.00,9,SS
18,466,27,2024-04-27,SEA,,ARI,W 3-1,CG,3,3,0,0,0,0,0,0,0,0,0,3,.196,.323,.333,.656,0,0,0,0,0,0,,0.83,-0.058,0.86,-0.04%,-0.63,0.00,0.00,9,SS
19,467,28,2024-04-28,SEA,,ARI,L 2-3,7-GF,1,1,0,0,0,0,0,0,0,0,0,0,.192,.317,.327,.644,0,0,0,0,0,0,.000,1.50,-0.037,1.62,-0.02%,-0.21,0.00,0.00,6,PH SS
20,468,29,2024-04-29,SEA,,ATL,W 2-1,GS-8,2,2,0,0,0,0,0,0,0,0,0,1,.185,.308,.315,.623,0,0,0,0,0,0,.000,1.22,-0.060,1.24,-0.04%,-0.48,0.00,0.00,7,SS
21,469,30,2024-04-30,SEA,,ATL,W 3-2,CG,3,3,0,1,1,0,0,1,0,0,0,1,.193,.309,.333,.642,2,0,0,0,0,0,.500,0.75,0.053,0.77,0.03%,0.73,7.00,9.50,9,SS
22,470,31,2024-05-01,SEA,,ATL,L 2-5,CG,4,4,0,1,0,0,0,0,0,0,0,1,.197,.306,.328,.633,1,0,0,0,0,0,.333,0.75,-0.050,0.81,-0.03%,-0.44,3.00,3.00,6,SS
23,471,32,2024-05-03,SEA,@,HOU,L 3-5,CG,3,3,1,1,0,0,1,2,0,0,0,1,.203,.307,.375,.682,4,0,0,0,0,0,.000,1.03,0.182,1.16,0.12%,1.30,16.00,22.20,9,SS
24,472,33,2024-05-04,SEA,@,HOU,W 5-0,CG,5,3,0,0,0,0,0,0,0,0,2,1,.194,.313,.358,.671,0,0,0,0,0,0,.000,0.41,0.007,0.43,0.01%,0.01,4.00,6.00,1,SS
25,473,34,2024-05-05,SEA,@,HOU,W 5-4,CG,4,3,1,1,0,0,0,0,0,0,0,0,.200,.321,.357,.679,1,0,1,0,0,0,.333,1.51,0.153,1.67,0.10%,0.81,7.00,9.20,8,SS
26,474,35,2024-05-06,SEA,@,MIN,L 1-3,CG,3,3,0,0,0,0,0,0,0,0,0,1,.192,.310,.342,.653,0,0,0,0,0,0,.000,1.41,-0.106,1.61,-0.07%,-0.77,0.00,0.00,9,SS
27,475,36,2024-05-07,SEA,@,MIN,W 10-6,CG,4,3,2,2,1,1,0,1,0,0,1,1,.211,.330,.395,.724,5,0,0,0,0,0,1.000,1.79,0.430,1.92,0.28%,2.17,21.00,27.90,8,SS
28,476,37,2024-05-08,SEA,@,MIN,L 3-6,CG,4,4,0,0,0,0,0,0,0,0,0,2,.200,.316,.375,.691,0,0,0,0,0,0,.000,0.88,-0.095,0.99,-0.06%,-0.81,0.00,0.00,9,SS
29,477,39,2024-05-10,SEA,,OAK,W 8-1,CG,4,4,1,3,0,0,1,5,0,0,0,0,.226,.333,.429,.762,6,0,0,0,0,0,.667,0.47,0.065,0.53,0.04%,4.07,28.00,38.70,8,SS
30,478,40,2024-05-11,SEA,,OAK,L 1-8,CG,3,3,0,0,0,0,0,0,0,0,0,1,.218,.324,.414,.737,0,0,0,0,0,0,.000,0.79,-0.058,0.90,-0.04%,-0.57,0.00,0.00,9,SS
31,479,41,2024-05-12,SEA,,OAK,W 8-4,CG,4,3,1,1,0,0,0,1,1,0,0,0,.222,.321,.411,.732,1,0,0,0,1,0,.250,0.62,0.061,0.71,0.04%,0.36,12.00,15.70,1,SS
32,480,42,2024-05-13,SEA,,KCR,W 6-2,CG,4,4,0,1,1,0,0,0,0,0,0,0,.223,.318,.415,.733,2,0,0,0,0,0,.250,0.22,0.015,0.25,0.01%,-0.09,5.00,6.00,9,SS
33,481,43,2024-05-14,SEA,,KCR,L 2-4,CG,4,4,0,0,0,0,0,0,0,0,0,2,.214,.307,.398,.705,0,1,0,0,0,0,.000,1.33,-0.196,1.52,-0.13%,-1.28,0.00,0.00,7,SS
34,482,44,2024-05-15,SEA,,KCR,W 4-2,CG,3,2,0,0,0,0,0,0,0,0,1,1,.210,.308,.390,.698,0,0,0,0,0,0,.000,1.10,-0.026,1.20,-0.02%,-0.35,2.00,3.00,8,SS
35,483,45,2024-05-17,SEA,@,BAL,L 2-9,CG,4,4,2,2,1,0,1,1,0,0,0,0,.221,.314,.433,.747,6,1,0,0,0,0,.333,0.99,0.003,1.13,0.00%,0.53,21.00,27.90,1,SS
36,484,46,2024-05-18,SEA,@,BAL,W 4-3,CG,4,3,1,2,2,0,0,1,0,0,0,0,.234,.328,.458,.786,4,0,1,0,0,0,.667,1.35,0.276,1.48,0.18%,1.96,16.00,21.70,6,SS
37,485,47,2024-05-19,SEA,@,BAL,L 3-6,CG,4,2,1,0,0,0,0,0,0,0,2,1,.229,.333,.450,.783,0,0,0,0,0,0,.000,0.81,-0.004,0.91,0.00%,-0.08,6.00,9.20,7,SS
38,486,48,2024-05-20,SEA,@,NYY,W 5-4,CG,4,2,0,0,0,0,0,0,0,0,2,1,.225,.338,.441,.780,0,0,0,0,0,0,.000,2.21,0.080,2.37,0.05%,0.38,4.00,6.00,6,SS 2B
39,487,49,2024-05-21,SEA,@,NYY,W 6-3,CG,4,4,2,3,0,0,2,4,0,0,0,0,.243,.350,.504,.855,9,0,0,0,0,0,.500,0.67,0.239,0.77,0.16%,3.29,35.00,47.40,9,2B
40,488,50,2024-05-22,SEA,@,NYY,L 3-7,CG,4,4,0,2,1,0,0,0,0,0,0,1,.252,.355,.513,.867,3,0,0,0,0,0,.667,1.00,-0.007,1.17,0.00%,0.18,8.00,9.00,5,3B LF
41,489,51,2024-05-23,SEA,@,NYY,L 0-5,CG,4,2,0,0,0,0,0,0,0,0,2,0,.248,.359,.504,.863,0,0,0,0,0,0,.000,0.96,-0.014,1.12,-0.01%,0.02,4.00,6.00,2,2B
