Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,698,1,2021-04-01,CLE,@,DET,L 2-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,1,0,0,0,0,0,.250,1.22,-0.048,1.32,-0.03%,-0.58,4,LF
2,699,2,2021-04-03,CLE,@,DET,L 2-5,CG,4,1,1,1,0,0,1,2,0,0,2,0,.400,.500,1.000,1.500,4,0,0,0,1,0,.000,1.10,0.158,1.14,0.10%,1.69,4,LF
3,700,3,2021-04-04,CLE,@,DET,W 9-3,CG,4,3,1,1,0,0,0,2,0,0,1,1,.375,.500,.750,1.250,1,0,0,0,0,0,.500,1.25,0.047,1.20,0.03%,0.97,4,LF
4,701,4,2021-04-05,CLE,,KCR,L 0-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.250,.375,.500,.875,0,1,0,0,0,0,.000,1.47,-0.230,1.51,-0.14%,-1.67,4,LF
5,702,5,2021-04-07,CLE,,KCR,W 4-2,CG,4,4,0,1,0,0,0,0,0,0,0,0,.250,.350,.438,.788,1,0,0,0,0,0,.250,0.52,-0.043,0.49,-0.02%,-0.20,4,LF
6,703,6,2021-04-09,CLE,,DET,W 4-1,CG,4,4,1,0,0,0,0,1,0,0,0,1,.200,.292,.350,.642,0,0,0,0,0,0,.000,0.64,-0.010,0.65,-0.01%,-0.69,4,LF
7,704,7,2021-04-10,CLE,,DET,W 11-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.167,.250,.292,.542,0,0,0,0,0,0,.000,0.57,-0.054,0.60,-0.03%,-1.07,4,LF
8,705,8,2021-04-11,CLE,,DET,W 5-2,CG,4,3,2,2,1,0,0,0,1,0,1,1,.222,.313,.370,.683,3,0,0,0,0,0,1.000,1.02,0.149,1.13,0.10%,2.03,4,LF
9,706,9,2021-04-12,CLE,@,CHW,L 3-4,CG,4,4,1,1,0,0,1,2,0,0,0,1,.226,.306,.452,.757,4,0,0,0,0,0,.000,1.77,0.006,2.11,0.01%,0.73,5,LF
10,707,10,2021-04-13,CLE,@,CHW,W 2-0 (10),CG(10),4,4,0,2,1,0,0,0,0,0,0,0,.257,.325,.486,.811,3,0,0,0,0,0,.500,1.21,-0.010,1.42,-0.01%,0.34,4,LF
11,708,11,2021-04-14,CLE,@,CHW,L 0-8,GS-7,2,2,0,0,0,0,0,0,0,0,0,1,.243,.310,.459,.769,0,0,0,0,0,0,.000,0.18,-0.009,0.21,-0.01%,-0.34,5,LF
12,709,12,2021-04-15,CLE,@,CHW,W 4-2,CG,4,3,0,1,0,0,0,0,2,0,1,1,.250,.326,.450,.776,1,0,0,0,0,0,.500,0.80,-0.028,0.97,-0.02%,0.15,4,LF
13,710,13,2021-04-16,CLE,@,CIN,L 3-10,GS-8,4,4,0,0,0,0,0,0,0,0,0,0,.227,.300,.409,.709,0,0,0,0,0,0,.000,0.86,-0.083,0.92,-0.05%,-1.41,4,LF
14,711,14,2021-04-17,CLE,@,CIN,L 2-3 (10),CG(10),5,5,0,2,0,1,0,1,1,0,0,0,.245,.309,.449,.758,4,0,0,0,0,0,.400,1.61,0.022,1.61,0.01%,0.67,4,LF
15,712,15,2021-04-18,CLE,@,CIN,W 6-3,CG,4,4,1,1,0,0,0,0,0,0,0,1,.245,.305,.434,.739,1,0,0,0,0,0,.333,0.60,-0.041,0.56,-0.02%,-0.69,5,LF
16,713,16,2021-04-20,CLE,,CHW,L 5-8,CG,5,5,0,0,0,0,0,0,0,0,0,3,.224,.281,.397,.678,0,0,0,0,0,0,.000,1.26,-0.162,1.51,-0.12%,-2.02,5,LF
17,714,17,2021-04-22,CLE,,NYY,L 3-6,CG,4,4,1,1,0,0,0,1,0,0,0,1,.226,.279,.387,.667,1,0,0,0,0,0,.333,1.25,-0.026,1.26,-0.02%,0.05,4,LF
18,715,18,2021-04-23,CLE,,NYY,L 3-5,CG,4,4,0,0,0,0,0,1,0,0,0,0,.212,.264,.364,.628,0,0,0,0,0,0,.000,1.07,-0.076,1.06,-0.05%,-0.65,5,LF
19,716,19,2021-04-24,CLE,,NYY,L 1-2,CG,4,4,0,1,0,0,0,1,1,0,0,2,.214,.263,.357,.620,1,0,0,0,0,0,.500,1.50,-0.044,1.38,-0.02%,0.08,4,LF
20,717,20,2021-04-25,CLE,,NYY,W 7-3,CG,4,4,1,1,0,0,0,1,0,0,0,1,.216,.263,.351,.614,1,0,0,0,0,0,.333,1.04,0.098,0.90,0.05%,0.66,4,LF
21,718,21,2021-04-26,CLE,,MIN,W 5-3 (10),CG(10),4,4,1,2,1,0,0,1,0,0,0,1,.231,.274,.372,.646,3,0,0,0,0,0,.667,1.21,0.120,1.15,0.07%,1.05,4,LF
22,719,22,2021-04-27,CLE,,MIN,W 7-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,.220,.261,.354,.615,0,0,0,0,0,0,.000,0.75,-0.079,0.77,-0.05%,-0.96,4,LF
23,720,23,2021-04-28,CLE,,MIN,L 2-10,CG,4,4,0,1,0,0,0,0,0,0,0,2,.221,.261,.349,.610,1,0,0,0,0,0,.500,0.17,-0.012,0.19,-0.01%,-0.27,5,LF
24,721,24,2021-04-30,CLE,@,CHW,W 5-3,CG,4,3,0,1,0,0,0,1,0,0,1,0,.225,.271,.348,.619,1,0,0,0,0,0,.333,0.77,0.086,0.82,0.06%,0.97,5,LF
25,722,25,2021-05-01,CLE,@,CHW,L 3-7,CG,4,4,0,0,0,0,0,0,0,0,0,1,.215,.260,.333,.593,0,0,0,0,0,0,.000,0.60,-0.061,0.68,-0.04%,-0.98,4,LF
26,723,26,2021-05-02,CLE,@,CHW,W 5-0,CG,5,5,1,2,0,0,0,0,0,0,0,0,.224,.267,.337,.603,2,1,0,0,0,0,.400,0.56,-0.029,0.63,-0.02%,-0.58,4,DH
27,724,27,2021-05-03,CLE,@,KCR,W 8-6,GS-7,4,2,1,1,0,0,1,3,0,0,1,0,.230,.278,.370,.648,4,0,0,1,0,0,.000,1.79,0.348,2.32,0.27%,2.22,5,LF
28,725,29,2021-05-05,CLE,@,KCR,W 5-4,CG,4,4,1,2,1,0,0,2,0,0,0,0,.240,.286,.385,.670,3,0,0,0,0,0,.500,1.52,0.164,2.05,0.13%,2.10,4,LF
