Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,397,2,2025-03-29,PHI,@,WSN,W 11-6,CG,5,4,1,2,1,0,0,1,0,0,1,1,.500,.600,.750,1.350,3,0,0,0,0,0,.667,0.96,0.145,1.00,0.09%,1.40,14.00,18.70,9,SS
2,398,3,2025-03-30,PHI,@,WSN,L 1-5,CG,4,4,1,2,0,0,0,0,0,0,0,2,.500,.556,.625,1.181,2,0,0,0,0,0,1.000,0.80,0.042,0.84,0.03%,0.83,8.00,9.20,6,SS
3,399,4,2025-03-31,PHI,,COL,W 6-1,CG,3,3,1,2,2,0,0,2,0,0,0,0,.545,.583,.818,1.402,4,0,0,0,0,0,.667,1.83,0.462,1.80,0.27%,2.10,16.00,22.20,9,SS
4,400,5,2025-04-02,PHI,,COL,W 5-1,CG,4,4,1,3,1,0,0,2,0,0,0,0,.600,.625,.867,1.492,4,0,0,0,0,0,.750,0.80,0.107,0.81,0.06%,2.92,17.00,22.20,8,2B
5,401,8,2025-04-05,PHI,,LAD,L 1-3,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.563,.588,.813,1.401,0,0,0,0,0,0,,1.15,-0.029,1.28,-0.02%,-0.16,0.00,0.00,9,PH CF
6,402,9,2025-04-06,PHI,,LAD,W 8-7,CG,4,4,0,2,0,0,0,1,0,0,0,1,.550,.571,.750,1.321,2,0,0,0,0,0,.667,0.94,0.076,1.05,0.05%,0.29,8.00,9.50,7,3B
7,403,10,2025-04-08,PHI,@,ATL,L 5-7,GS-8,3,3,0,0,0,0,0,0,0,0,0,2,.478,.500,.652,1.152,0,0,0,0,0,0,.000,1.09,-0.088,1.21,-0.06%,-1.01,0.00,0.00,7,LF
8,404,12,2025-04-10,PHI,@,ATL,L 2-4 (11),7-7,1,1,0,0,0,0,0,0,0,0,0,1,.458,.480,.625,1.105,0,0,0,0,0,0,,1.15,-0.029,1.28,-0.02%,-0.16,0.00,0.00,9,PH
9,405,15,2025-04-13,PHI,@,STL,L 0-7,CG,3,3,0,1,0,0,0,0,0,0,0,1,.444,.464,.593,1.057,1,0,0,0,0,0,.500,0.64,0.070,0.72,0.05%,0.67,3.00,3.00,7,2B
10,406,18,2025-04-16,PHI,,SFG,L 4-11,GS-7,3,2,0,0,0,0,0,1,0,0,1,0,.414,.452,.552,1.003,0,0,0,0,0,0,.000,1.96,-0.015,2.19,-0.01%,0.15,4.00,6.50,7,2B
11,407,19,2025-04-17,PHI,,SFG,W 6-4,7-GF,1,0,0,0,0,0,0,1,0,0,0,0,.414,.438,.552,.989,0,0,0,0,1,0,.000,0.29,0.006,0.30,0.00%,-0.06,2.00,3.50,5,LF
12,408,25,2025-04-23,PHI,@,NYM,L 3-4 (10),GS-8,3,3,1,2,0,0,0,0,0,0,0,0,.438,.457,.563,1.020,2,0,0,0,0,0,.667,1.20,0.042,1.37,0.03%,0.35,8.00,9.20,7,2B
