Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,54,1,2023-03-30,COL,@,SDP,W 7-2,GS-9,5,5,1,2,0,0,1,1,0,0,0,3,.400,.400,1.000,1.400,5,0,0,0,0,0,1.000,0.81,-0.129,0.83,-0.08%,-0.28,5,3B
2,55,2,2023-03-31,COL,@,SDP,W 4-1,GS-8,4,4,0,2,0,0,0,1,0,0,0,2,.444,.444,.778,1.222,2,0,0,0,0,0,1.000,0.67,0.063,0.74,0.04%,0.71,6,3B
3,56,3,2023-04-01,COL,@,SDP,L 4-8,CG,4,4,0,0,0,0,0,0,0,0,0,2,.308,.308,.538,.846,0,0,0,0,0,0,.000,1.07,-0.130,1.20,-0.09%,-1.30,6,3B
4,57,4,2023-04-02,COL,@,SDP,L 1-3,CG,3,3,0,0,0,0,0,0,0,0,0,1,.250,.250,.438,.688,0,0,0,0,0,0,.000,0.92,-0.070,0.98,-0.05%,-0.65,6,3B
5,58,6,2023-04-04,COL,@,LAD,L 2-5,CG,4,4,1,1,1,0,0,1,0,0,0,1,.250,.250,.450,.700,2,0,0,0,0,0,.333,0.65,-0.008,0.63,-0.01%,0.89,5,DH
6,59,7,2023-04-06,COL,,WSN,W 1-0,GS-9,4,4,0,3,0,0,0,0,0,0,0,0,.333,.333,.500,.833,3,0,0,0,0,0,.750,0.76,0.067,0.65,0.04%,0.68,7,3B
7,60,8,2023-04-07,COL,,WSN,L 5-10,CG,4,4,1,1,0,0,0,0,0,0,0,0,.321,.321,.464,.786,1,0,0,0,0,0,.250,0.90,-0.062,0.83,-0.03%,-0.71,5,3B
8,61,9,2023-04-08,COL,,WSN,L 6-7,9-GF,1,0,1,0,0,0,0,0,0,0,1,0,.321,.345,.464,.809,0,0,0,0,0,0,,1.08,0.052,0.95,0.03%,0.40,6,PH
9,62,10,2023-04-09,COL,,WSN,W 7-6,GS-9,4,4,1,1,1,0,0,0,0,0,0,2,.313,.333,.469,.802,2,0,0,0,0,0,.500,1.64,0.006,1.37,0.00%,-0.27,6,3B
10,63,11,2023-04-10,COL,,STL,W 7-4,GS-7,4,4,2,2,1,0,0,1,0,0,0,0,.333,.351,.500,.851,3,0,0,0,0,0,.500,0.88,0.182,0.76,0.10%,2.04,6,3B
11,64,15,2023-04-15,COL,@,SEA,L 2-9,CG,4,3,0,1,0,0,0,1,0,0,0,1,.333,.366,.487,.853,1,0,1,0,0,0,.500,0.72,0.113,0.53,0.05%,1.09,7,3B
12,65,16,2023-04-16,COL,@,SEA,L 0-1,CG,3,3,0,0,0,0,0,0,0,0,0,2,.310,.341,.452,.793,0,0,0,0,0,0,.000,1.04,-0.079,0.73,-0.03%,-0.42,6,3B
13,66,17,2023-04-17,COL,,PIT,L 3-14,CG,4,3,0,0,0,0,0,0,0,0,1,2,.289,.333,.422,.756,0,0,0,0,0,0,.000,0.22,-0.020,0.15,-0.01%,-0.61,7,3B
14,67,19,2023-04-19,COL,,PIT,L 3-14,7-9,1,1,0,0,0,0,0,0,0,0,0,1,.283,.327,.413,.740,0,0,0,0,0,0,,0.02,0.000,0.01,0.00%,-0.48,3,PH DH
15,68,20,2023-04-20,COL,@,PHI,W 5-0,CG,4,4,0,0,0,0,0,0,0,0,0,3,.260,.302,.380,.682,0,0,0,0,0,0,.000,0.51,-0.051,0.27,-0.02%,-0.95,6,DH
16,69,22,2023-04-22,COL,@,PHI,L 3-4,3-5,1,1,0,0,0,0,0,0,0,0,0,1,.255,.296,.373,.669,0,0,0,0,0,0,,1.28,-0.037,0.65,-0.01%,-0.33,3,PH DH
17,70,55,2023-05-29,COL,@,ARI,L 5-7,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.250,.291,.365,.656,0,0,0,0,0,0,,1.26,-0.037,0.82,-0.02%,-0.24,6,PH
18,71,57,2023-05-31,COL,@,ARI,L 0-6,CG,3,3,0,0,0,0,0,0,0,0,0,1,.236,.276,.345,.621,0,0,0,0,0,0,.000,0.39,-0.030,0.20,-0.01%,-0.59,5,1B
19,72,60,2023-06-03,COL,@,KCR,W 6-4,CG,4,4,1,1,0,1,0,2,0,0,0,1,.237,.274,.373,.647,3,0,0,0,0,0,.333,0.60,0.112,0.25,0.03%,1.44,6,1B
20,73,61,2023-06-04,COL,@,KCR,L 0-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.222,.258,.349,.607,0,0,0,0,0,0,.000,1.87,-0.184,0.90,-0.05%,-1.23,7,DH
