Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,61,2023-06-06,CIN,,LAD,W 9-8,CG,5,3,1,1,1,0,0,0,0,0,2,1,.333,.600,.667,1.267,2,0,0,0,0,0,.500,1.18,0.030,0.82,0.01%,0.57,4,3B
2,2,62,2023-06-07,CIN,,LAD,W 8-6,CG,4,4,2,2,0,1,1,2,0,0,0,2,.429,.556,1.286,1.841,7,0,0,0,0,0,1.000,1.28,0.134,0.94,0.06%,1.85,4,SS
3,3,63,2023-06-08,CIN,,LAD,L 0-6,CG,4,4,0,1,0,0,0,0,1,0,0,3,.364,.462,.909,1.371,1,0,0,0,0,0,1.000,0.72,0.010,0.56,0.00%,-0.68,4,3B
4,4,64,2023-06-09,CIN,@,STL,L 4-7,CG,4,4,1,1,0,0,0,0,0,0,0,3,.333,.412,.733,1.145,1,0,0,0,0,0,1.000,0.63,-0.047,0.42,-0.02%,-0.43,4,SS
5,5,65,2023-06-10,CIN,@,STL,W 8-4,CG,5,4,1,1,0,0,0,1,1,0,1,1,.316,.409,.632,1.041,1,0,0,0,0,0,.333,0.40,0.035,0.26,0.01%,1.25,4,3B
6,6,66,2023-06-11,CIN,@,STL,W 4-3,CG,5,3,2,2,0,0,0,1,1,0,2,0,.364,.481,.636,1.118,2,0,0,0,0,0,.667,1.48,0.312,1.06,0.14%,1.96,4,3B
7,7,67,2023-06-12,CIN,@,KCR,W 5-4 (10),CG(10),5,5,0,0,0,0,0,0,1,0,0,2,.296,.406,.519,.925,0,1,0,0,0,0,.000,1.35,-0.182,0.99,-0.08%,-1.30,4,3B
8,8,68,2023-06-13,CIN,@,KCR,W 5-4,CG,4,3,1,0,0,0,0,0,1,0,1,2,.267,.389,.467,.856,0,1,0,0,0,0,.000,1.07,-0.023,0.87,-0.01%,-0.61,4,SS
9,9,69,2023-06-14,CIN,@,KCR,W 7-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.235,.350,.412,.762,0,0,0,0,0,0,.000,0.58,-0.131,0.54,-0.07%,-1.57,4,SS
10,10,71,2023-06-17,CIN,@,HOU,W 10-3,CG,5,5,1,2,1,0,0,0,1,0,0,0,.256,.356,.436,.791,3,1,0,0,0,0,.400,0.57,-0.003,0.58,0.00%,-0.26,4,3B
