Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,259,1,2025-03-27,CIN,,SFG,L 4-6,CG,4,3,2,1,0,0,0,0,0,0,1,1,.333,.500,.333,.833,1,0,0,0,0,0,.500,0.68,0.013,0.66,0.01%,0.10,9.00,12.40,3,SS
2,260,2,2025-03-29,CIN,,SFG,W 3-2,CG,4,4,0,1,0,0,0,1,0,0,0,2,.286,.375,.286,.661,1,0,0,0,0,0,.500,0.76,0.100,0.69,0.05%,0.56,5.00,6.50,3,SS
3,261,3,2025-03-30,CIN,,SFG,L 3-6,CG,4,4,0,1,0,0,0,0,0,0,0,1,.273,.333,.273,.606,1,0,0,0,0,0,.333,1.01,0.009,0.98,0.01%,-0.09,3.00,3.00,3,SS
4,262,4,2025-03-31,CIN,,TEX,W 14-3,CG,5,5,4,4,1,0,2,7,1,0,0,0,.438,.471,.875,1.346,11,0,0,0,0,0,.667,0.47,0.183,0.39,0.09%,6.52,55.00,76.30,3,SS
5,263,5,2025-04-01,CIN,,TEX,L 0-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,.350,.381,.700,1.081,0,0,0,0,0,0,.000,2.28,-0.210,2.09,-0.12%,-0.78,0.00,0.00,3,SS
6,264,6,2025-04-02,CIN,,TEX,L 0-1,CG,4,4,0,1,1,0,0,0,1,0,0,2,.333,.360,.667,1.027,2,0,0,0,0,0,.500,1.71,-0.170,1.50,-0.09%,-0.55,10.00,12.00,3,SS
7,265,7,2025-04-03,CIN,@,MIL,L 0-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.286,.310,.571,.882,0,0,0,0,0,0,.000,1.67,-0.174,1.47,-0.09%,-1.15,0.00,0.00,3,SS
8,266,8,2025-04-04,CIN,@,MIL,L 2-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.250,.273,.500,.773,0,0,0,0,0,0,.000,1.18,-0.081,0.99,-0.04%,-0.57,0.00,0.00,3,SS
9,267,9,2025-04-05,CIN,@,MIL,W 11-7,CG,5,4,1,1,0,0,0,2,0,0,1,0,.250,.289,.472,.762,1,0,0,0,0,0,.250,0.45,0.049,0.35,0.02%,0.84,11.00,16.20,3,SS
10,268,10,2025-04-06,CIN,@,MIL,L 2-8,CG,4,4,0,1,0,0,0,0,0,1,0,3,.250,.286,.450,.736,1,0,0,0,0,0,1.000,0.43,-0.036,0.35,-0.02%,-0.77,3.00,3.00,3,SS
11,269,11,2025-04-07,CIN,@,SFG,W 2-0,CG,4,3,0,1,0,0,0,0,0,0,1,2,.256,.304,.442,.746,1,0,0,0,0,1,1.000,1.04,-0.066,0.77,-0.03%,-0.25,5.00,6.00,3,SS
12,270,12,2025-04-08,CIN,@,SFG,W 1-0,CG,4,4,0,0,0,0,0,0,0,0,0,1,.234,.280,.404,.684,0,0,0,0,0,0,.000,0.91,-0.090,0.74,-0.04%,-0.89,0.00,0.00,3,SS
13,271,13,2025-04-09,CIN,@,SFG,L 6-8 (10),CG(10),5,5,1,2,1,0,0,2,0,0,0,2,.250,.291,.423,.714,3,0,0,0,0,0,.667,1.52,0.050,1.28,0.03%,1.46,14.00,19.20,3,SS
14,272,14,2025-04-11,CIN,,PIT,W 5-3,CG,4,3,1,0,0,0,0,0,1,0,1,0,.236,.288,.400,.688,0,0,0,0,0,0,.000,0.71,0.131,0.60,0.07%,1.90,9.00,12.20,3,SS
15,273,15,2025-04-12,CIN,,PIT,W 5-2,CG,4,4,1,1,0,0,1,4,0,0,0,1,.237,.286,.441,.726,4,0,0,0,0,0,.000,1.14,0.255,0.94,0.13%,2.13,20.00,29.20,3,SS
16,274,16,2025-04-13,CIN,,PIT,W 4-0,CG,4,4,0,1,0,0,0,1,0,0,0,3,.238,.284,.429,.712,1,0,0,0,0,0,1.000,0.53,-0.005,0.47,0.00%,0.19,5.00,6.50,3,SS
17,275,17,2025-04-15,CIN,,SEA,W 8-4,CG,5,4,1,0,0,0,0,1,0,0,1,0,.224,.278,.403,.681,0,0,0,0,0,0,.000,1.11,0.009,0.95,0.01%,-0.23,6.00,9.70,3,SS
18,276,18,2025-04-16,CIN,,SEA,L 3-5,CG,4,3,0,1,0,0,0,0,1,1,1,2,.229,.289,.400,.689,1,0,0,0,0,0,1.000,1.38,-0.062,1.26,-0.03%,-0.66,10.00,12.00,3,SS
19,277,19,2025-04-17,CIN,,SEA,L 7-11 (10),CG(10),5,4,1,2,0,0,0,0,0,0,1,2,.243,.309,.405,.714,2,0,0,0,0,0,1.000,2.32,-0.102,2.02,-0.05%,-0.14,10.00,12.20,3,SS
20,278,20,2025-04-18,CIN,@,BAL,W 8-3,CG,5,5,1,1,0,0,1,3,0,0,0,3,.241,.302,.430,.733,4,0,0,0,0,0,.000,0.74,0.274,0.62,0.14%,1.05,18.00,25.70,3,SS
21,279,21,2025-04-19,CIN,@,BAL,L 5-9,CG,5,4,1,1,0,0,0,0,2,0,1,1,.241,.308,.422,.729,1,0,0,0,0,0,.333,1.67,0.116,1.47,0.06%,0.13,17.00,21.20,3,SS
22,280,22,2025-04-20,CIN,@,BAL,W 24-2,GS-7,5,4,1,1,0,0,1,1,1,0,1,2,.241,.313,.448,.761,4,0,0,0,0,0,.000,0.39,0.138,0.33,0.07%,0.17,21.00,27.70,3,SS
23,281,23,2025-04-21,CIN,@,MIA,L 3-6,CG,4,4,0,1,0,0,0,0,0,0,0,3,.242,.310,.440,.750,1,0,0,0,0,0,1.000,0.89,-0.089,0.86,-0.05%,-0.50,3.00,3.00,3,SS
24,282,24,2025-04-22,CIN,@,MIA,L 3-4,CG,4,4,1,1,0,0,0,0,2,0,0,1,.242,.308,.432,.739,1,0,0,0,0,0,.333,1.14,0.052,0.98,0.03%,0.51,15.00,18.20,3,SS
25,283,25,2025-04-23,CIN,@,MIA,W 5-2,CG,5,3,1,1,0,0,0,0,1,0,2,1,.245,.321,.429,.750,1,0,0,0,0,1,.500,1.07,0.010,0.91,0.01%,0.22,14.00,18.20,3,SS
26,284,26,2025-04-25,CIN,@,COL,W 8-7,CG,5,5,2,2,0,0,0,0,0,0,0,0,.252,.325,.427,.752,2,0,0,0,0,0,.400,1.25,-0.097,1.07,-0.05%,-1.10,10.00,12.40,3,SS
27,285,27,2025-04-26,CIN,@,COL,W 6-4,CG,5,4,0,2,0,0,0,1,1,0,1,0,.262,.336,.430,.766,2,0,0,0,0,0,.500,0.93,0.048,0.85,0.03%,1.17,15.00,18.50,3,SS
28,286,28,2025-04-27,CIN,@,COL,W 8-1,CG,5,4,1,2,0,0,0,1,0,1,0,1,.270,.339,.432,.771,2,0,0,0,1,0,.500,0.50,0.012,0.49,0.01%,-0.89,10.00,12.70,3,SS
29,287,29,2025-04-28,CIN,,STL,W 3-1,CG,4,4,0,1,1,0,0,0,0,0,0,0,.270,.336,.435,.771,2,0,0,0,0,0,.250,0.68,-0.041,0.75,-0.03%,-0.76,5.00,6.00,3,SS
30,288,30,2025-04-30 (1),CIN,,STL,L 0-6,CG,4,3,0,1,0,0,0,0,2,0,0,0,.271,.341,.432,.773,1,0,1,0,0,0,.333,1.36,0.143,1.51,0.10%,0.80,15.00,18.00,3,SS
31,289,31,2025-04-30 (2),CIN,,STL,L 1-9,GS-7,3,3,1,2,0,0,0,0,0,0,0,1,.281,.348,.438,.786,2,0,0,0,0,0,1.000,0.32,-0.021,0.33,-0.01%,0.37,8.00,9.20,3,SS
32,290,32,2025-05-01,CIN,,STL,W 9-1,CG,5,3,1,0,0,0,0,0,0,0,1,1,.274,.350,.427,.777,0,0,1,0,0,0,.000,0.37,-0.038,0.37,-0.02%,-0.49,6.00,9.20,3,SS
33,291,33,2025-05-02,CIN,,WSN,W 6-1,CG,4,3,1,0,0,0,0,0,0,0,1,0,.268,.347,.417,.765,0,0,0,0,0,0,.000,0.62,-0.001,0.64,0.00%,-0.70,4.00,6.20,3,SS
34,292,34,2025-05-03,CIN,,WSN,L 6-11,CG,5,4,1,2,1,0,0,1,0,1,1,2,.275,.356,.427,.783,3,0,0,0,0,0,1.000,0.85,-0.027,0.88,-0.02%,0.79,14.00,18.70,3,SS
35,293,35,2025-05-04,CIN,,WSN,L 1-4,CG,4,3,0,0,0,0,0,0,0,0,1,1,.269,.353,.418,.771,0,0,0,0,0,0,.000,1.14,-0.070,1.15,-0.04%,-0.77,2.00,3.00,3,SS
36,294,36,2025-05-05,CIN,@,ATL,L 0-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.261,.344,.406,.750,0,0,0,0,0,0,.000,0.61,-0.051,0.60,-0.03%,-0.78,0.00,0.00,3,SS
37,295,37,2025-05-06,CIN,@,ATL,L 1-2 (10),CG(10),5,5,1,2,0,0,0,0,1,0,0,3,.266,.346,.406,.751,2,0,0,0,0,0,1.000,2.17,-0.049,2.00,-0.03%,-0.52,13.00,15.20,3,SS
38,296,38,2025-05-07,CIN,@,ATL,W 4-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,.265,.343,.401,.745,1,0,0,0,0,0,.250,0.69,0.040,0.59,0.02%,0.38,3.00,3.00,3,SS
39,297,39,2025-05-08,CIN,@,ATL,L 4-5 (11),CG(11),5,4,0,0,0,0,0,0,0,0,1,3,.258,.339,.391,.730,0,0,0,0,0,0,.000,1.50,-0.124,1.38,-0.07%,-1.11,2.00,3.00,3,SS
40,298,40,2025-05-09,CIN,@,HOU,L 0-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.252,.331,.381,.712,0,0,0,0,0,0,.000,1.09,-0.109,0.92,-0.06%,-1.04,0.00,0.00,3,SS
41,299,41,2025-05-10,CIN,@,HOU,W 13-9,CG,5,5,1,1,0,0,1,4,0,0,0,2,.250,.328,.394,.722,4,0,0,0,0,0,.000,0.53,0.167,0.42,0.08%,1.00,20.00,29.20,3,SS
42,300,42,2025-05-11,CIN,@,HOU,L 0-6,CG,4,4,0,0,0,0,0,0,0,0,0,3,.244,.321,.384,.705,0,0,0,0,0,0,.000,0.46,-0.050,0.41,-0.03%,-0.98,0.00,0.00,3,SS
43,301,43,2025-05-13,CIN,,CHW,L 1-5 (10),CG(10),4,4,1,2,0,0,1,1,0,0,0,0,.250,.324,.405,.729,5,0,0,0,0,0,.333,1.83,0.414,1.44,0.20%,0.95,17.00,21.70,3,SS
44,302,44,2025-05-14,CIN,,CHW,L 2-4,CG,4,4,1,1,1,0,0,0,0,0,0,0,.250,.323,.407,.730,2,1,0,0,0,0,.250,1.04,-0.101,0.72,-0.04%,-0.93,7.00,9.20,3,SS
45,303,45,2025-05-15,CIN,,CHW,W 7-1,CG,4,4,2,2,0,0,1,1,0,0,0,1,.256,.327,.426,.753,5,0,0,0,0,0,.500,0.62,0.116,0.41,0.05%,1.33,19.00,24.90,3,SS
46,304,46,2025-05-16,CIN,,CLE,W 5-4,CG,4,3,0,1,0,0,0,0,1,0,1,1,.257,.330,.425,.755,1,0,0,0,0,0,.500,0.45,0.008,0.32,0.00%,0.06,10.00,12.00,3,SS
