Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,342,29,2025-04-29,BAL,,NYY,L 3-15,CG,3,2,1,0,0,0,0,0,0,0,1,2,.000,.333,.000,.333,0,0,0,0,0,0,,0.14,-0.009,0.10,0.00%,-0.07,4.00,6.20,7,1B
2,343,31,2025-05-02,BAL,,KCR,W 3-0,CG,3,3,0,1,0,0,0,1,0,0,0,0,.200,.333,.200,.533,1,0,0,0,0,0,.333,1.01,-0.017,0.74,-0.01%,0.64,5.00,6.50,9,3B
3,344,32,2025-05-03,BAL,,KCR,L 0-4,GS-8,3,3,0,1,0,0,0,0,0,0,0,0,.250,.333,.250,.583,1,0,0,0,0,0,.333,1.10,-0.022,0.77,-0.01%,-0.12,3.00,3.00,8,3B
4,345,35,2025-05-07,BAL,@,MIN,L 2-5,CG,3,3,0,1,0,0,0,0,0,0,0,1,.273,.333,.273,.606,1,0,0,0,0,0,.500,1.36,-0.034,0.79,-0.01%,-0.19,3.00,3.00,9,3B
5,346,36,2025-05-08,BAL,@,MIN,L 2-5,CG,4,4,0,3,2,0,0,1,0,0,0,1,.400,.438,.533,.971,5,0,0,0,0,0,1.000,1.25,0.231,0.64,0.07%,2.40,15.00,18.50,8,3B
6,347,37,2025-05-09,BAL,@,LAA,W 4-1,CG,4,4,0,2,0,0,0,1,0,0,0,1,.421,.450,.526,.976,2,0,0,0,0,0,.667,0.75,0.032,0.34,0.01%,0.58,8.00,9.50,9,3B
7,348,38,2025-05-10,BAL,@,LAA,L 2-5,CG,4,4,0,1,0,0,0,0,0,0,0,1,.391,.417,.478,.895,1,0,0,0,0,0,.333,0.39,-0.014,0.19,0.00%,-0.16,3.00,3.00,8,3B
8,349,39,2025-05-11,BAL,@,LAA,W 7-3,CG,4,3,2,0,0,0,0,0,0,0,1,0,.346,.393,.423,.816,0,0,0,0,0,0,.000,0.62,0.052,0.27,0.01%,0.25,6.00,9.40,7,3B
9,350,41,2025-05-14 (2),BAL,,MIN,L 6-8,GS-8,4,4,0,2,0,0,0,0,0,0,0,0,.367,.406,.433,.840,2,1,0,0,0,0,.500,0.92,-0.020,0.38,-0.01%,-0.40,6.00,6.00,8,3B
10,351,42,2025-05-15,BAL,,MIN,L 0-4,CG,3,2,0,0,0,0,0,0,0,0,1,1,.344,.400,.406,.806,0,0,0,0,0,0,.000,1.06,-0.040,0.40,-0.01%,-0.52,2.00,3.00,8,3B
11,352,43,2025-05-16,BAL,,WSN,L 3-4,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.333,.389,.394,.783,0,0,0,0,0,0,.000,1.69,-0.042,0.54,-0.01%,-0.09,0.00,0.00,9,PH
12,353,44,2025-05-17,BAL,,WSN,L 6-10,7-8,1,1,0,0,0,0,0,0,0,0,0,0,.324,.378,.382,.761,0,0,0,0,0,0,.000,0.96,-0.034,0.26,-0.01%,-0.79,0.00,0.00,9,PH
13,354,45,2025-05-18,BAL,,WSN,L 4-10,CG,4,4,0,0,0,0,0,0,0,0,0,2,.289,.341,.342,.684,0,0,0,0,0,0,.000,0.21,-0.021,0.05,0.00%,-0.81,0.00,0.00,9,3B
14,355,47,2025-05-20,BAL,@,MIL,L 2-5,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.282,.333,.333,.667,0,0,0,0,0,0,,2.90,-0.069,0.47,-0.01%,-0.29,0.00,0.00,5,PH DH
15,356,48,2025-05-21,BAL,@,MIL,W 8-4 (11),CG(11),5,3,0,0,0,0,0,0,0,0,1,1,.262,.340,.310,.650,0,0,1,0,0,0,.000,2.48,-0.213,0.32,-0.02%,-1.64,4.00,6.00,7,3B 1B
16,357,49,2025-05-23 (1),BAL,@,BOS,L 5-19,,,,,,,,,,,,,,.262,.340,.310,.650,,,,,,,,,,,,,,,,P
17,358,50,2025-05-24 (1),BAL,@,BOS,L 5-6 (10),GS-9,4,4,0,1,0,0,0,0,0,0,0,0,.261,.333,.304,.638,1,0,0,0,0,0,.250,1.17,0.006,0.15,0.00%,0.28,3.00,3.00,9,1B
18,359,51,2025-05-24 (2),BAL,@,BOS,W 2-1,CG,4,3,0,2,0,0,0,0,0,0,1,0,.286,.364,.327,.690,2,0,0,0,0,0,.667,0.87,0.045,0.00,0.00%,0.69,8.00,9.00,5,3B
