Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,126,3,2025-03-29,PIT,@,MIA,L 4-5 (12),12-GF(12),0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,,,,,0.00,0.00,5,2B RF
2,127,4,2025-03-30,PIT,@,MIA,L 2-3,CG,4,3,0,0,0,0,0,0,0,0,1,0,.000,.250,.000,.250,0,0,0,0,0,0,.000,1.59,-0.091,1.44,-0.05%,-0.45,2.00,3.00,8,1B
3,128,6,2025-04-01,PIT,@,TBR,L 0-7,GS-9,3,3,0,0,0,0,0,0,0,0,0,2,.000,.143,.000,.143,0,0,0,0,0,0,.000,0.26,-0.020,0.21,-0.01%,-0.55,0.00,0.00,6,1B
4,129,9,2025-04-05,PIT,,NYY,L 4-10,GS-9,3,3,0,1,1,0,0,2,0,0,0,1,.111,.200,.222,.422,2,0,0,0,0,0,.500,1.52,0.179,1.12,0.08%,1.48,9.00,13.00,7,1B
5,130,10,2025-04-06,PIT,,NYY,W 5-4 (11),CG(11),5,5,1,1,0,1,0,0,0,0,0,1,.143,.200,.357,.557,3,0,0,0,0,0,.250,0.83,-0.068,0.58,-0.03%,-0.35,10.00,12.20,6,1B
6,131,12,2025-04-08,PIT,,STL,L 3-5,GS-7,2,2,0,1,0,0,0,0,0,0,0,1,.188,.235,.375,.610,1,0,0,0,0,0,1.000,0.58,0.013,0.51,0.01%,0.16,3.00,3.00,5,1B
7,132,13,2025-04-09,PIT,,STL,W 2-1 (13),8-9,1,1,0,0,0,0,0,0,0,0,0,0,.176,.222,.353,.575,0,0,0,0,0,0,.000,1.40,-0.035,1.05,-0.02%,-0.16,0.00,0.00,9,PH
8,133,14,2025-04-11,PIT,@,CIN,L 3-5,CG,4,3,0,0,0,0,0,0,0,0,1,0,.150,.227,.300,.527,0,0,0,0,0,0,.000,0.69,-0.014,0.56,-0.01%,-0.01,2.00,3.00,1,2B 1B
9,134,15,2025-04-12,PIT,@,CIN,L 2-5,CG,3,3,0,1,1,0,0,1,0,0,0,1,.174,.240,.348,.588,2,0,0,0,0,0,.500,1.28,0.036,0.97,0.02%,0.52,7.00,9.50,8,2B
10,135,16,2025-04-13,PIT,@,CIN,L 0-4,CG,4,4,0,0,0,0,0,0,0,0,0,2,.148,.207,.296,.503,0,0,0,0,0,0,.000,0.73,-0.076,0.52,-0.03%,-1.00,0.00,0.00,1,2B
