Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,141,2,2024-03-29,TOR,@,TBR,L 2-8,7-GF,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,,,,,0.00,0.00,8,3B
2,142,3,2024-03-30,TOR,@,TBR,L 1-5,CG,4,4,0,2,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,2,1,0,0,0,0,.667,1.28,0.013,1.27,0.01%,-0.28,6.00,6.00,6,3B LF
3,143,4,2024-03-31,TOR,@,TBR,W 9-2,CG,5,5,2,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,1,1,0,0,0,0,.200,0.38,-0.087,0.36,-0.05%,-1.00,7.00,9.40,6,SS
4,144,5,2024-04-01,TOR,@,HOU,L 0-10,CG,3,3,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,.500,0,0,0,0,0,0,.000,0.27,-0.020,0.26,-0.01%,-0.46,0.00,0.00,6,SS
5,145,6,2024-04-02,TOR,@,HOU,W 2-1,CG,3,3,0,1,0,0,0,0,0,0,0,0,.267,.267,.267,.533,1,0,0,0,0,0,.333,1.16,-0.029,1.03,-0.02%,-0.07,3.00,3.00,7,3B
6,146,7,2024-04-03,TOR,@,HOU,L 0-8,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.267,.267,.267,.533,0,,0,0,,,,,,,,,0.00,0.00,2,SS
7,147,8,2024-04-05,TOR,@,NYY,W 3-0,7-GF,2,2,1,1,0,0,1,1,0,0,0,0,.294,.294,.471,.765,4,0,0,0,0,0,.000,1.10,0.181,1.01,0.10%,0.77,14.00,18.70,6,PH 3B
8,148,9,2024-04-06,TOR,@,NYY,L 8-9,CG,5,4,2,2,2,0,0,1,0,0,0,0,.333,.318,.571,.890,4,0,0,0,1,0,.400,0.84,-0.008,0.83,-0.01%,0.20,16.00,21.90,6,2B
9,149,10,2024-04-07,TOR,@,NYY,L 3-8,CG,4,4,0,0,0,0,0,0,0,0,0,2,.280,.269,.480,.749,0,0,0,0,0,0,.000,1.16,-0.113,1.11,-0.07%,-1.18,0.00,0.00,6,3B
10,150,12,2024-04-09,TOR,,SEA,W 5-3,7-GF,1,0,0,0,0,0,0,0,0,0,0,0,.280,.296,.480,.776,0,0,1,0,0,0,,0.09,0.003,0.08,0.00%,0.33,2.00,3.00,6,PH 3B
11,151,13,2024-04-10,TOR,,SEA,L 1-6 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,0,.241,.258,.414,.672,0,0,0,0,0,0,.000,2.53,-0.249,2.26,-0.13%,-1.30,0.00,0.00,8,3B
12,152,14,2024-04-12,TOR,,COL,L 4-12,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.233,.250,.400,.650,0,0,0,0,0,0,.000,0.00,0.000,0.00,0.00%,-0.10,0.00,0.00,3,SS
