Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,10,1,2023-03-30,COL,@,SDP,W 7-2,CG,5,5,0,1,0,0,0,0,0,0,0,2,.200,.200,.200,.400,1,0,0,0,0,0,.333,0.58,-0.024,0.59,-0.02%,-0.83,9,SS
2,11,2,2023-03-31,COL,@,SDP,W 4-1,CG,4,4,1,1,0,0,0,0,0,0,0,1,.222,.222,.222,.444,1,0,0,0,0,0,.333,0.37,0.008,0.41,0.01%,-0.11,9,SS
3,12,3,2023-04-01,COL,@,SDP,L 4-8,CG,3,3,0,0,0,0,0,1,0,0,0,1,.167,.167,.167,.333,0,0,0,0,0,0,.000,1.25,-0.082,1.41,-0.06%,-0.54,9,SS
4,13,4,2023-04-02,COL,@,SDP,L 1-3,CG,3,3,0,0,0,0,0,0,0,0,0,2,.133,.133,.133,.267,0,0,0,0,0,0,.000,0.75,-0.058,0.79,-0.04%,-0.46,8,SS
5,14,6,2023-04-04,COL,@,LAD,L 2-5,GS-9,3,3,0,1,0,0,0,0,0,0,0,0,.167,.167,.167,.333,1,0,0,0,0,0,.333,0.65,0.015,0.63,0.01%,-0.03,9,SS
6,15,7,2023-04-06,COL,,WSN,W 1-0,CG,3,3,1,1,1,0,0,0,0,0,0,1,.190,.190,.238,.429,2,0,0,0,0,0,.500,1.27,-0.001,1.09,0.00%,-0.18,9,SS
7,16,8,2023-04-07,COL,,WSN,L 5-10,CG,4,4,1,1,1,0,0,1,0,0,0,2,.200,.200,.280,.480,2,0,0,0,0,0,.500,0.52,0.039,0.48,0.02%,0.81,9,SS
8,17,9,2023-04-08,COL,,WSN,L 6-7,GS-9,3,3,0,0,0,0,0,0,0,0,0,0,.179,.179,.250,.429,0,0,0,0,0,0,.000,0.67,-0.054,0.58,-0.03%,-0.75,8,SS
9,18,10,2023-04-09,COL,,WSN,W 7-6,CG,4,4,1,1,0,0,0,0,0,0,0,0,.188,.188,.250,.438,1,1,0,0,0,0,.250,1.24,-0.032,1.03,-0.02%,-0.69,9,SS
10,19,11,2023-04-10,COL,,STL,W 7-4,CG,4,4,1,2,2,0,0,1,0,0,0,0,.222,.222,.333,.556,4,0,0,0,0,0,.500,1.02,0.205,0.89,0.11%,2.10,9,SS
11,20,12,2023-04-11,COL,,STL,L 6-9,CG,4,4,0,1,0,0,0,0,0,0,0,1,.225,.225,.325,.550,1,0,0,0,0,0,.333,0.92,-0.033,0.80,-0.02%,-0.39,9,SS
12,21,13,2023-04-12,COL,,STL,L 4-7,CG,4,3,1,0,0,0,0,0,0,0,1,1,.209,.227,.302,.530,0,0,0,0,0,0,.000,1.00,-0.004,0.86,0.00%,-0.27,8,SS
13,22,14,2023-04-14,COL,@,SEA,L 3-5,CG,4,2,0,0,0,0,0,1,0,0,2,2,.200,.250,.289,.539,0,0,0,0,0,0,,1.39,0.060,1.08,0.03%,0.88,9,SS
14,23,15,2023-04-15,COL,@,SEA,L 2-9,CG,4,3,0,0,0,0,0,0,0,0,1,1,.188,.250,.271,.521,0,0,0,0,0,0,.000,0.30,-0.025,0.22,-0.01%,-0.37,9,SS
15,24,17,2023-04-17,COL,,PIT,L 3-14,CG,4,4,0,1,0,0,0,0,0,0,0,2,.192,.250,.269,.519,1,0,0,0,0,0,.500,0.06,-0.005,0.04,0.00%,-0.46,9,SS
16,25,18,2023-04-18,COL,,PIT,L 3-5,GS-8,3,3,0,1,0,0,0,0,0,0,0,0,.200,.254,.273,.527,1,0,0,0,0,0,.333,1.05,-0.029,0.65,-0.01%,-0.26,9,SS
17,26,19,2023-04-19,COL,,PIT,L 3-14,CG,4,3,0,0,0,0,0,0,0,0,0,1,.190,.254,.259,.513,0,0,1,0,0,0,.000,0.14,-0.014,0.08,-0.01%,-0.20,8,SS
18,27,20,2023-04-20,COL,@,PHI,W 5-0,GS-9,3,3,0,0,0,0,0,0,0,0,0,2,.180,.242,.246,.488,0,0,0,0,0,0,.000,0.84,-0.068,0.44,-0.02%,-1.40,9,SS
19,28,22,2023-04-22,COL,@,PHI,L 3-4,GS-9,3,3,0,0,0,0,0,0,0,0,0,1,.172,.232,.234,.466,0,0,0,0,0,0,.000,1.83,-0.138,0.93,-0.04%,-1.07,9,SS
