Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,229,26,2025-04-25,NYM,@,WSN,L 4-5,CG,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,.333,0.73,0.003,0.97,0.00%,-0.11,3.00,3.00,7,C
2,230,27,2025-04-26,NYM,@,WSN,W 2-0,CG,4,4,1,1,0,0,1,2,0,0,0,2,.250,.250,.625,.875,4,0,0,0,0,0,.000,0.53,0.174,0.69,0.14%,1.21,16.00,22.20,7,C
3,231,29,2025-04-28,NYM,@,WSN,W 19-5,CG,6,5,0,2,1,0,0,1,0,0,1,2,.308,.357,.615,.973,3,0,0,0,0,0,.667,0.39,0.108,0.51,0.08%,0.89,12.00,15.50,7,C
4,232,30,2025-04-29,NYM,,ARI,W 8-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.235,.278,.471,.748,0,0,0,0,0,0,.000,0.35,-0.033,0.44,-0.03%,-0.80,0.00,0.00,7,C
5,233,31,2025-04-30,NYM,,ARI,L 3-4,CG,5,4,0,0,0,0,0,0,0,0,1,1,.190,.261,.381,.642,0,0,0,0,0,0,.000,3.36,-0.388,4.06,-0.28%,-1.50,2.00,3.00,7,C
6,234,33,2025-05-02,NYM,@,STL,W 9-3,CG,5,5,0,3,0,0,0,3,0,0,0,1,.269,.321,.423,.745,3,0,0,0,0,0,.750,0.88,0.111,1.10,0.08%,2.52,15.00,19.50,8,C
7,235,35,2025-05-04 (2),NYM,@,STL,L 4-5,CG,4,2,0,1,0,0,0,1,0,0,2,0,.286,.375,.429,.804,1,0,0,0,0,0,.500,1.27,0.114,1.58,0.09%,1.22,9.00,12.50,7,C
8,236,36,2025-05-05,NYM,@,ARI,W 5-4,CG,4,4,1,1,0,0,0,0,0,0,0,1,.281,.361,.406,.767,1,0,0,0,0,0,.333,0.95,-0.057,1.23,-0.04%,-0.65,5.00,6.20,7,C
9,237,37,2025-05-06,NYM,@,ARI,L 1-5,CG,3,3,0,2,0,0,0,0,0,0,0,1,.314,.385,.429,.813,2,0,0,0,0,0,1.000,0.83,0.019,1.04,0.02%,0.41,6.00,6.00,8,C
10,238,39,2025-05-09,NYM,,CHC,W 7-2,CG,4,4,1,1,0,0,0,0,0,0,0,2,.308,.372,.410,.782,1,0,0,0,0,0,.500,0.36,-0.007,0.47,-0.01%,-0.29,5.00,6.20,5,C
11,239,40,2025-05-10,NYM,,CHC,L 5-6,CG,4,3,0,0,0,0,0,0,0,0,0,1,.286,.362,.381,.743,0,0,1,0,0,0,.000,1.07,-0.066,1.44,-0.05%,-0.16,2.00,3.00,8,C
12,240,41,2025-05-11,NYM,,CHC,W 6-2,6-GF,2,2,0,2,0,0,0,0,0,0,0,0,.318,.388,.409,.797,2,0,0,0,0,0,1.000,0.76,0.058,1.04,0.05%,0.49,6.00,6.00,7,C
