Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,778,1,2021-04-05,NYM,@,PHI,L 3-5,CG,5,4,0,1,0,0,0,0,0,0,1,1,.250,.400,.250,.650,1,0,0,0,0,0,.333,0.81,0.010,0.88,0.01%,-0.02,2,SS
2,779,2,2021-04-06,NYM,@,PHI,W 8-4,CG,5,4,1,0,0,0,0,1,0,0,0,0,.125,.200,.125,.325,0,0,0,0,1,0,.000,0.82,-0.045,0.89,-0.03%,-1.00,2,SS
3,780,3,2021-04-07,NYM,@,PHI,L 2-8,CG,5,3,0,1,0,0,0,0,0,0,1,0,.182,.333,.182,.515,1,0,1,0,0,0,.333,0.91,0.090,1.04,0.06%,0.91,2,SS
4,781,4,2021-04-08,NYM,,MIA,W 3-2,CG,5,3,1,1,0,0,0,0,0,0,2,0,.214,.400,.214,.614,1,0,0,0,0,1,.333,1.96,-0.077,1.96,-0.05%,-0.25,2,SS
5,782,5,2021-04-10,NYM,,MIA,L 0-3,CG,4,3,0,0,0,0,0,0,0,1,0,1,.176,.348,.176,.524,0,0,0,1,0,0,.000,1.61,-0.106,1.77,-0.07%,-0.94,2,SS
6,783,6,2021-04-11,NYM,,MIA,W 6-5,CG,5,3,0,0,0,0,0,0,0,0,1,0,.150,.333,.150,.483,0,0,0,1,0,0,.000,1.24,0.023,1.29,0.01%,0.07,2,SS
7,784,7,2021-04-13 (1),NYM,,PHI,W 4-3 (8),CG(8),4,3,1,0,0,0,0,0,0,0,1,0,.130,.323,.130,.453,0,1,0,0,0,0,.000,1.97,-0.161,2.45,-0.12%,-1.22,2,SS
8,785,8,2021-04-13 (2),NYM,,PHI,W 4-0 (7),CG(7),4,3,0,1,1,0,0,0,0,0,1,0,.154,.343,.192,.535,2,0,0,0,0,0,.333,0.63,0.054,0.83,0.04%,-0.28,2,SS
9,786,9,2021-04-14,NYM,,PHI,W 5-1,CG,5,4,2,2,0,0,0,0,0,0,1,0,.200,.375,.233,.608,2,0,0,0,0,0,.500,0.64,0.078,0.81,0.06%,1.04,2,SS
10,787,10,2021-04-17 (1),NYM,@,COL,W 4-3 (7),CG(7),4,4,0,1,0,0,0,1,0,0,0,0,.206,.364,.235,.599,1,0,0,0,0,0,.250,1.56,0.081,1.65,0.05%,0.76,2,SS
11,788,11,2021-04-17 (2),NYM,@,COL,L 2-7 (7),CG(7),3,2,1,0,0,0,0,0,0,0,1,0,.194,.362,.222,.584,0,0,0,0,0,0,.000,0.91,0.040,1.01,0.03%,0.17,2,SS
12,789,12,2021-04-18,NYM,@,COL,W 2-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.175,.333,.200,.533,0,0,0,0,0,0,.000,0.66,-0.085,0.69,-0.05%,-0.90,2,SS
13,790,13,2021-04-20,NYM,@,CHC,L 1-3,CG,5,4,0,0,0,0,0,0,0,0,1,0,.159,.321,.182,.503,0,0,0,0,0,0,.000,1.95,-0.191,2.26,-0.13%,-1.14,2,SS
14,791,14,2021-04-21,NYM,@,CHC,L 4-16,GS-7,4,4,2,3,0,0,1,1,0,0,0,1,.208,.350,.292,.642,6,0,0,0,0,0,1.000,0.63,0.089,0.68,0.06%,1.41,2,SS
15,792,15,2021-04-22,NYM,@,CHC,L 3-4 (10),CG(10),5,4,0,0,0,0,0,0,0,0,1,1,.192,.338,.269,.608,0,0,0,0,0,0,.000,2.10,-0.055,2.28,-0.04%,-0.37,2,SS
16,793,16,2021-04-23,NYM,,WSN,W 6-0,CG,5,5,0,1,0,0,0,0,0,0,0,2,.193,.329,.263,.592,1,0,0,0,0,0,.333,0.47,-0.040,0.55,-0.03%,-0.58,2,SS
17,794,17,2021-04-24,NYM,,WSN,L 1-7,CG,4,4,0,1,0,0,0,0,0,0,0,1,.197,.324,.262,.587,1,0,0,0,0,0,.333,0.57,-0.046,0.68,-0.03%,-0.69,2,SS
18,795,18,2021-04-25,NYM,,WSN,W 4-0,CG,4,4,0,1,0,0,0,0,0,0,0,0,.200,.321,.262,.582,1,0,0,0,0,0,.250,0.50,-0.037,0.58,-0.03%,-0.24,3,SS
19,796,19,2021-04-27,NYM,,BOS,L 1-2,CG,4,4,0,1,0,0,0,0,0,0,0,0,.203,.317,.261,.578,1,0,0,0,0,0,.250,1.19,-0.015,1.22,-0.01%,-0.11,1,SS
20,797,20,2021-04-28,NYM,,BOS,L 0-1,CG,4,3,0,0,0,0,0,0,0,0,1,2,.194,.314,.250,.564,0,0,0,0,0,0,.000,1.33,-0.044,1.34,-0.03%,0.12,2,SS
21,798,21,2021-04-30,NYM,@,PHI,L 1-2,CG,5,5,0,0,0,0,0,0,0,0,0,1,.182,.297,.234,.530,0,0,0,0,0,0,.000,1.43,-0.197,1.65,-0.14%,-1.22,2,SS
22,799,22,2021-05-01,NYM,@,PHI,W 5-4,CG,4,3,1,0,0,0,0,0,0,0,0,0,.175,.295,.225,.520,0,0,1,0,0,0,.000,0.90,-0.030,1.01,-0.02%,-0.16,2,SS
23,800,23,2021-05-02,NYM,@,PHI,W 8-7,CG,6,5,1,0,0,0,0,0,0,0,1,1,.165,.287,.212,.499,0,0,0,0,0,0,.000,1.68,-0.121,2.01,-0.09%,-1.51,2,SS
24,801,24,2021-05-03,NYM,@,STL,L 5-6,CG,5,4,0,0,0,0,0,0,0,0,1,2,.157,.283,.202,.485,0,0,0,0,0,0,.000,1.92,-0.107,2.08,-0.07%,-1.37,2,SS
25,802,25,2021-05-05 (1),NYM,@,STL,L 1-4 (7),CG(7),3,3,0,0,0,0,0,0,0,0,0,0,.152,.275,.196,.471,0,0,0,0,0,0,.000,1.05,-0.077,1.07,-0.05%,-0.53,1,SS
26,803,27,2021-05-06,NYM,@,STL,W 4-1,CG,6,3,1,1,0,0,0,0,0,0,3,1,.158,.296,.200,.496,1,0,0,0,0,0,.500,1.13,0.021,1.24,0.01%,0.61,2,SS
27,804,28,2021-05-07,NYM,,ARI,W 5-4 (10),CG(10),5,5,2,2,0,0,1,2,0,0,0,0,.170,.300,.240,.540,5,0,0,0,0,0,.250,1.52,0.200,1.66,0.13%,1.00,2,SS
28,805,29,2021-05-08,NYM,,ARI,W 4-2,CG,4,3,1,2,1,0,0,1,1,0,1,0,.184,.315,.262,.577,3,0,0,0,0,0,.667,0.52,0.144,0.58,0.10%,2.36,2,SS
29,806,30,2021-05-09,NYM,,ARI,W 4-2,CG,4,3,1,1,0,0,0,1,0,0,0,0,.189,.313,.264,.577,1,0,0,0,1,0,.250,0.88,0.028,1.02,0.02%,0.39,2,SS
30,807,31,2021-05-11,NYM,,BAL,W 3-2,CG,4,2,0,1,0,0,0,0,0,0,1,0,.194,.321,.269,.589,1,0,0,1,0,0,.500,1.73,0.110,2.04,0.08%,0.56,2,SS
31,808,32,2021-05-12,NYM,,BAL,W 7-1,CG,4,4,1,1,0,0,0,0,1,0,0,0,.196,.319,.268,.586,1,0,0,0,0,0,.250,0.35,0.006,0.43,0.00%,0.04,2,SS
32,809,33,2021-05-14,NYM,@,TBR,L 2-3,CG,4,4,0,0,0,0,0,0,0,0,0,3,.190,.309,.259,.568,0,0,0,0,0,0,.000,0.68,-0.070,0.85,-0.05%,-0.90,2,SS
33,810,34,2021-05-15,NYM,@,TBR,L 5-12,CG,4,4,1,1,0,0,1,1,0,0,0,3,.192,.308,.283,.591,4,0,0,0,0,0,,0.97,0.057,1.16,0.04%,0.38,2,SS
34,811,35,2021-05-16,NYM,@,TBR,L 1-7,CG,4,4,0,0,0,0,0,0,0,0,0,0,.185,.299,.274,.574,0,0,0,0,0,0,.000,0.72,-0.070,0.85,-0.05%,-0.85,2,SS
35,812,36,2021-05-17,NYM,@,ATL,W 3-1,CG,5,3,0,0,0,0,0,0,1,0,2,1,.181,.303,.268,.570,0,0,0,0,0,0,.000,1.14,-0.035,1.54,-0.03%,-0.07,1,SS
36,813,37,2021-05-18,NYM,@,ATL,W 4-3,CG,4,4,1,2,1,0,0,0,0,0,0,0,.191,.308,.282,.590,3,0,0,0,0,0,.500,0.62,0.049,0.89,0.04%,0.48,2,SS
37,814,38,2021-05-19,NYM,@,ATL,L 4-5,CG,4,4,0,0,0,0,0,0,0,0,0,0,.185,.300,.274,.574,0,0,0,0,0,0,.000,0.85,-0.088,1.26,-0.08%,-0.78,2,SS
38,815,39,2021-05-21,NYM,@,MIA,W 6-5 (12),CG(12),5,5,1,2,1,0,0,1,0,0,0,0,.193,.303,.286,.589,3,0,0,0,0,0,.400,1.38,0.180,2.01,0.16%,1.41,2,SS
39,816,40,2021-05-22,NYM,@,MIA,L 1-3,CG,4,3,0,1,0,0,0,0,0,0,1,1,.196,.308,.287,.594,1,0,0,0,0,0,.500,1.43,0.057,2.11,0.05%,0.18,2,SS
40,817,41,2021-05-23,NYM,@,MIA,L 1-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.190,.301,.279,.579,0,0,0,0,0,0,.000,0.32,-0.033,0.48,-0.03%,-0.61,2,SS
41,818,42,2021-05-24,NYM,,COL,L 2-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.185,.294,.272,.565,0,1,0,0,0,0,.000,1.91,-0.224,2.27,-0.16%,-1.38,2,SS
42,819,43,2021-05-25,NYM,,COL,W 3-1,CG,4,3,0,0,0,0,0,0,1,0,1,2,.182,.293,.266,.559,0,0,0,0,0,0,.000,1.05,-0.027,1.27,-0.02%,-0.28,2,SS
43,820,44,2021-05-27 (1),NYM,,COL,W 1-0 (7),CG(7),3,3,0,0,0,0,0,0,0,0,0,0,.178,.288,.261,.549,0,1,0,0,0,0,.000,0.93,-0.114,1.16,-0.09%,-1.15,2,SS
