Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1376,1,2025-03-27,NYM,@,HOU,L 1-3,CG,5,4,0,0,0,0,0,1,0,0,0,2,.000,.000,.000,.000,0,0,0,0,1,0,.000,1.55,-0.180,1.41,-0.10%,-1.02,2.00,3.50,1,SS
2,1377,2,2025-03-28,NYM,@,HOU,W 3-1,CG,4,3,0,0,0,0,0,0,0,0,0,1,.000,.111,.000,.111,0,0,1,0,0,0,.000,0.58,-0.033,0.49,-0.02%,-0.12,2.00,3.00,1,SS
3,1378,3,2025-03-29,NYM,@,HOU,L 1-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,.000,.077,.000,.077,0,0,0,0,0,0,.000,1.64,-0.145,1.47,-0.08%,-0.88,0.00,0.00,1,SS
4,1379,5,2025-04-01,NYM,@,MIA,L 2-4,CG,4,4,0,1,0,0,0,1,1,0,0,1,.067,.118,.067,.184,1,0,0,0,0,0,.333,1.01,0.003,1.03,0.00%,0.06,10.00,12.50,1,SS
5,1380,6,2025-04-02,NYM,@,MIA,W 6-5 (11),CG(11),5,5,1,1,0,0,0,0,0,0,0,2,.100,.136,.100,.236,1,0,0,0,0,0,.333,2.12,-0.194,2.16,-0.12%,-0.77,5.00,6.20,1,SS
6,1381,7,2025-04-04,NYM,,TOR,W 5-0,CG,4,2,2,1,1,0,0,0,1,0,2,0,.136,.231,.182,.413,2,0,0,0,0,0,.500,0.34,0.065,0.31,0.03%,1.33,18.00,24.40,1,SS
7,1382,8,2025-04-05,NYM,,TOR,W 3-2,CG,5,3,1,1,1,0,0,1,0,0,1,0,.160,.258,.240,.498,2,0,0,0,1,0,.250,1.99,0.265,1.90,0.15%,0.67,11.00,15.70,1,SS
8,1383,9,2025-04-06,NYM,,TOR,W 2-1,CG,4,4,0,1,0,0,0,0,0,0,0,1,.172,.257,.241,.499,1,1,0,0,0,0,.333,1.10,-0.083,1.10,-0.05%,-0.89,3.00,3.00,1,SS
9,1384,10,2025-04-07,NYM,,MIA,W 2-0,CG,4,4,1,3,0,0,0,0,0,0,0,0,.242,.308,.303,.611,3,0,0,0,0,0,.750,0.81,0.095,0.89,0.06%,0.98,11.00,12.20,1,SS
10,1385,11,2025-04-08,NYM,,MIA,W 10-5,CG,5,4,2,1,0,0,1,2,0,0,0,0,.243,.295,.378,.674,4,0,0,0,1,0,.000,1.02,0.141,1.17,0.10%,1.33,18.00,25.40,1,SS
11,1386,12,2025-04-09,NYM,,MIA,L 0-5,CG,4,4,0,1,0,0,0,0,0,0,0,0,.244,.292,.366,.658,1,0,0,0,0,0,.250,0.61,0.002,0.72,0.00%,-0.29,3.00,3.00,1,SS
12,1387,13,2025-04-11,NYM,@,ATH,W 7-6,CG,5,5,1,0,0,0,0,0,0,0,0,1,.217,.264,.326,.590,0,0,0,0,0,0,.000,0.87,-0.070,0.90,-0.04%,-0.72,2.00,3.20,1,SS
13,1388,14,2025-04-12,NYM,@,ATH,L 1-3,CG,4,3,0,1,0,0,0,0,0,0,1,0,.224,.281,.327,.607,1,0,0,0,0,0,.333,1.08,-0.001,1.14,0.00%,0.18,5.00,6.00,1,SS
14,1389,15,2025-04-13,NYM,@,ATH,W 8-0,CG,6,5,1,2,1,0,0,1,0,0,1,1,.241,.302,.352,.653,3,0,0,0,0,0,.500,0.59,0.168,0.64,0.11%,1.13,14.00,18.70,1,SS
15,1390,16,2025-04-14,NYM,@,MIN,W 5-1,CG,5,5,0,1,1,0,0,0,0,0,0,1,.237,.294,.356,.650,2,0,0,0,0,0,.250,0.92,-0.045,1.00,-0.03%,-0.65,5.00,6.00,1,SS
16,1391,17,2025-04-15,NYM,@,MIN,L 3-6,CG,5,5,0,1,0,0,0,0,0,0,0,2,.234,.288,.344,.631,1,0,0,0,0,0,.333,1.26,-0.085,1.45,-0.06%,-1.00,3.00,3.00,1,SS
17,1392,18,2025-04-16,NYM,@,MIN,L 3-4 (10),CG(10),5,3,1,1,0,0,0,0,0,0,1,1,.239,.308,.343,.651,1,0,1,0,0,0,.500,1.22,0.116,1.36,0.08%,0.83,9.00,12.20,1,SS
18,1393,19,2025-04-17,NYM,,STL,W 4-1,CG,4,4,0,3,0,0,0,1,0,0,0,0,.268,.329,.366,.695,3,0,0,0,0,0,.750,0.56,0.157,0.64,0.11%,1.86,11.00,12.50,1,SS
19,1394,20,2025-04-18,NYM,,STL,W 5-4,CG,5,5,1,1,0,0,1,1,0,0,0,0,.263,.322,.395,.717,4,0,0,0,0,0,.000,1.49,0.208,1.77,0.15%,-0.18,14.00,18.70,1,SS
20,1395,21,2025-04-19,NYM,,STL,W 3-0,CG,4,4,0,0,0,0,0,0,0,0,0,1,.250,.308,.375,.683,0,0,0,0,0,0,.000,0.73,-0.078,0.88,-0.06%,-0.90,0.00,0.00,1,SS
21,1396,22,2025-04-20,NYM,,STL,W 7-4,CG,5,5,3,3,0,0,1,1,0,0,0,1,.271,.323,.424,.746,6,0,0,0,0,0,.667,0.78,0.187,0.93,0.13%,1.36,24.00,31.10,1,SS
22,1397,23,2025-04-21,NYM,,PHI,W 5-4,CG,4,3,2,2,0,0,2,4,0,0,1,1,.284,.340,.500,.840,8,0,0,0,0,0,,0.73,0.222,1.00,0.18%,4.12,34.00,47.40,1,SS
23,1398,24,2025-04-22,NYM,,PHI,W 5-1,CG,5,5,1,3,0,0,0,1,0,0,0,1,.301,.352,.505,.858,3,0,0,0,0,0,.750,0.70,0.152,0.97,0.13%,1.19,13.00,15.70,1,SS
24,1399,25,2025-04-23,NYM,,PHI,W 4-3 (10),CG(10),5,4,1,2,0,0,0,0,0,0,1,0,.309,.364,.505,.869,2,0,0,0,0,0,.500,1.48,-0.053,2.05,-0.04%,0.11,10.00,12.20,1,SS
25,1400,26,2025-04-25,NYM,@,WSN,L 4-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.297,.351,.485,.836,0,0,0,0,0,0,.000,0.93,-0.095,1.22,-0.08%,-0.90,0.00,0.00,1,SS
26,1401,27,2025-04-26,NYM,@,WSN,W 2-0,CG,4,4,0,3,0,0,0,0,0,1,0,0,.314,.364,.495,.860,3,0,0,0,0,0,.750,0.70,0.015,0.92,0.01%,0.19,9.00,9.00,1,SS
27,1402,28,2025-04-27,NYM,@,WSN,L 7-8,CG,5,4,1,1,0,0,0,0,0,0,0,0,.312,.366,.486,.852,1,0,1,0,0,0,.250,0.43,0.008,0.55,0.01%,-0.12,7.00,9.20,1,SS
28,1403,29,2025-04-28,NYM,@,WSN,W 19-5,GS-8,5,3,1,0,0,0,0,0,0,0,0,0,.304,.367,.473,.840,0,0,2,0,0,0,.000,0.39,-0.045,0.51,-0.04%,0.04,6.00,9.20,1,SS
29,1404,30,2025-04-29,NYM,,ARI,W 8-3,CG,4,4,1,1,0,0,1,2,0,0,0,0,.302,.364,.491,.855,4,0,0,0,0,0,.000,0.37,0.113,0.47,0.09%,1.34,16.00,22.20,1,SS
30,1405,31,2025-04-30,NYM,,ARI,L 3-4,CG,5,4,1,2,1,0,0,0,0,0,1,0,.308,.372,.500,.872,3,0,0,0,0,0,.500,1.38,0.068,1.67,0.05%,0.72,12.00,15.20,1,SS
