Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1725,1,2023-03-30,LAD,,ARI,W 8-2,CG,5,4,1,2,0,0,0,0,0,0,1,1,.500,.600,.500,1.100,2,0,0,0,0,0,.667,0.82,-0.019,0.82,-0.01%,0.20,2,1B
2,1726,2,2023-03-31,LAD,,ARI,L 1-2,CG,5,5,0,0,0,0,0,0,0,0,0,1,.222,.300,.222,.522,0,0,0,0,0,0,.000,1.82,-0.218,1.88,-0.14%,-1.26,2,1B
3,1727,3,2023-04-01,LAD,,ARI,W 10-1,CG,4,3,1,1,0,0,0,0,0,1,1,1,.250,.357,.250,.607,1,0,0,0,0,0,.500,0.37,0.050,0.37,0.03%,0.33,2,1B
4,1728,4,2023-04-02,LAD,,ARI,L 1-2,CG,4,3,0,2,0,0,0,0,0,0,1,0,.333,.444,.333,.778,2,0,0,0,0,0,.667,1.16,0.105,1.22,0.07%,0.83,2,1B
5,1729,5,2023-04-03,LAD,,COL,W 13-4,CG,5,4,2,3,1,0,0,0,0,0,1,0,.421,.522,.474,.995,4,1,0,0,0,0,.750,0.44,0.004,0.44,0.00%,0.34,2,1B
6,1730,6,2023-04-04,LAD,,COL,W 5-2,CG,4,2,0,0,0,0,0,0,0,0,2,0,.381,.519,.429,.947,0,0,0,0,0,0,.000,0.49,-0.034,0.52,-0.02%,0.23,2,1B
7,1731,7,2023-04-06,LAD,@,ARI,W 5-2,CG,5,5,2,2,1,0,1,1,0,0,0,1,.385,.500,.577,1.077,6,1,0,0,0,0,.333,0.53,0.038,0.58,0.03%,-0.11,2,1B
8,1732,8,2023-04-07,LAD,@,ARI,L 3-6,CG,5,4,0,1,0,0,0,0,0,0,1,0,.367,.486,.533,1.020,1,0,0,0,0,0,.250,0.64,-0.021,0.75,-0.02%,-0.17,2,1B
9,1733,9,2023-04-08,LAD,@,ARI,L 8-12,CG,5,5,2,4,2,0,0,1,0,0,0,0,.429,.524,.629,1.152,6,0,0,0,0,0,.800,1.41,0.095,1.57,0.06%,1.45,2,1B
10,1734,10,2023-04-09,LAD,@,ARI,L 6-11,GS-6,3,3,1,1,0,0,0,0,0,0,0,0,.421,.511,.605,1.116,1,0,0,0,0,0,.333,1.09,0.022,1.19,0.01%,0.01,2,1B
11,1735,11,2023-04-10,LAD,@,SFG,W 9-1,CG,5,5,2,1,0,0,0,0,0,0,0,1,.395,.480,.558,1.038,1,0,0,0,0,0,.250,0.48,0.038,0.50,0.02%,0.37,2,1B
12,1736,12,2023-04-11,LAD,@,SFG,L 0-5,CG,5,5,0,0,0,0,0,0,0,0,0,3,.354,.436,.500,.936,0,0,0,0,0,0,.000,1.39,-0.139,1.45,-0.09%,-1.45,2,1B
13,1737,13,2023-04-12,LAD,@,SFG,W 10-5,CG,5,3,1,0,0,0,0,1,0,0,2,0,.333,.433,.471,.904,0,0,0,0,0,0,.000,1.29,0.031,1.37,0.02%,0.39,2,1B
14,1738,14,2023-04-14,LAD,,CHC,L 2-8,CG,4,4,0,0,0,0,0,0,0,0,0,0,.309,.406,.436,.843,0,0,0,0,0,0,.000,0.55,-0.056,0.56,-0.03%,-0.70,2,1B
15,1739,15,2023-04-15,LAD,,CHC,W 2-1,CG,4,3,0,1,0,0,0,0,0,0,1,1,.310,.412,.431,.843,1,0,0,0,0,0,.500,1.05,0.002,1.06,0.00%,-0.02,2,1B
16,1740,16,2023-04-16,LAD,,CHC,L 2-3,CG,5,5,0,1,0,0,0,0,0,0,0,4,.302,.397,.413,.810,1,0,0,0,0,0,1.000,2.32,-0.262,2.47,-0.17%,-1.29,2,1B
17,1741,17,2023-04-17,LAD,,NYM,L 6-8,CG,4,4,2,3,0,0,2,3,0,0,0,0,.328,.416,.522,.938,9,0,0,0,0,0,.500,1.08,0.415,1.07,0.25%,3.01,2,1B
18,1742,18,2023-04-18,LAD,,NYM,W 5-0,CG,5,4,1,1,0,0,0,1,0,0,0,0,.324,.402,.507,.909,1,0,0,0,1,0,.200,0.48,-0.011,0.47,-0.01%,-0.41,2,1B
19,1743,19,2023-04-19,LAD,,NYM,L 3-5,CG,4,3,1,0,0,0,0,0,0,0,1,2,.311,.395,.486,.882,0,0,0,0,0,0,.000,1.27,0.007,1.24,0.00%,-0.23,2,1B
20,1744,20,2023-04-20,LAD,@,CHC,W 6-2,CG,5,4,0,0,0,0,0,0,1,0,1,0,.295,.385,.462,.846,0,0,0,0,0,0,.000,0.94,0.027,0.84,0.02%,-0.34,2,1B
21,1745,21,2023-04-21,LAD,@,CHC,L 0-13,GS-6,2,2,0,0,0,0,0,0,0,0,0,0,.288,.376,.450,.826,0,0,0,0,0,0,.000,0.47,-0.024,0.45,-0.01%,-0.33,2,1B
22,1746,22,2023-04-22,LAD,@,CHC,W 9-4,CG,5,5,1,2,1,0,0,0,0,0,0,1,.294,.378,.459,.836,3,0,0,0,0,0,.500,0.82,0.076,0.76,0.04%,0.82,2,1B
23,1747,23,2023-04-23,LAD,@,CHC,W 7-3,CG,5,4,1,0,0,0,0,0,0,0,1,3,.281,.369,.438,.807,0,0,0,0,0,0,.000,0.70,0.006,0.69,0.00%,-0.51,2,1B
24,1748,24,2023-04-25,LAD,@,PIT,W 8-7,CG,5,4,1,1,0,0,0,1,0,0,1,1,.280,.370,.430,.800,1,0,0,0,0,0,.333,0.85,-0.021,0.90,-0.01%,0.48,2,1B
25,1749,25,2023-04-26,LAD,@,PIT,L 1-8,CG,4,4,1,2,0,0,1,1,0,0,0,0,.289,.375,.464,.839,5,0,0,0,0,0,.333,0.84,0.010,0.93,0.01%,0.97,2,1B
26,1750,26,2023-04-27,LAD,@,PIT,L 2-6,CG,4,4,0,1,0,0,0,0,0,0,0,1,.287,.371,.455,.826,1,0,0,0,0,0,.333,1.03,-0.053,1.10,-0.03%,-0.59,2,1B
27,1751,27,2023-04-28,LAD,,STL,W 7-3,CG,5,5,1,3,1,0,0,0,0,0,0,0,.302,.380,.472,.852,4,0,0,0,0,0,.600,0.59,0.056,0.58,0.03%,0.54,2,1B
28,1752,28,2023-04-29,LAD,,STL,W 1-0,CG,4,3,0,0,0,0,0,0,2,0,1,0,.294,.376,.459,.835,0,0,0,0,0,0,.000,0.82,-0.022,0.82,-0.01%,-0.09,2,1B
29,1753,29,2023-04-30,LAD,,STL,W 6-3,CG,5,4,0,1,0,0,0,0,1,0,1,1,.292,.377,.451,.828,1,0,0,0,0,1,.333,0.72,-0.076,0.72,-0.05%,-0.67,2,1B
30,1754,30,2023-05-01,LAD,,PHI,W 13-4,GS-8,5,5,1,3,1,0,0,2,0,0,0,2,.305,.385,.466,.851,4,0,0,0,0,0,1.000,0.29,0.017,0.33,0.01%,0.83,2,1B
31,1755,31,2023-05-02,LAD,,PHI,W 13-1,GS-9,5,5,2,2,1,0,1,2,0,0,0,1,.309,.386,.496,.882,6,0,0,0,0,0,.333,0.45,-0.002,0.52,0.00%,1.09,2,1B
32,1756,32,2023-05-03,LAD,,PHI,W 10-6,CG,5,3,1,1,1,0,0,1,0,0,1,0,.310,.386,.500,.886,2,0,0,0,1,1,.250,2.05,-0.056,2.43,-0.04%,-0.16,2,1B
33,1757,33,2023-05-05,LAD,@,SDP,L 2-5,CG,4,4,0,1,1,0,0,0,0,0,0,1,.308,.383,.500,.883,2,0,0,0,0,0,.333,0.74,0.061,0.95,0.05%,0.65,2,1B
34,1758,34,2023-05-06,LAD,@,SDP,W 2-1,CG,4,4,0,1,0,0,0,0,0,0,0,1,.306,.379,.493,.872,1,0,0,0,0,0,.333,0.60,-0.037,0.78,-0.03%,-0.29,2,1B
35,1759,35,2023-05-07,LAD,@,SDP,W 5-2 (10),CG(10),5,5,2,0,0,0,0,0,0,0,0,1,.295,.367,.475,.842,0,0,0,0,0,0,.000,1.16,-0.038,1.50,-0.03%,-0.20,2,1B
36,1760,36,2023-05-08,LAD,@,MIL,L 3-9,CG,4,4,1,1,1,0,0,0,0,0,0,1,.294,.364,.476,.840,2,0,0,0,0,0,.333,0.52,0.031,0.66,0.02%,-0.02,2,1B
37,1761,37,2023-05-09,LAD,@,MIL,W 6-2,CG,5,4,1,0,0,0,0,0,1,0,1,1,.286,.359,.463,.822,0,0,0,0,0,0,.000,0.63,0.047,0.82,0.04%,-0.59,2,1B
38,1762,38,2023-05-10,LAD,@,MIL,W 8-1,CG,5,5,1,2,0,0,1,3,0,0,0,1,.289,.360,.480,.841,5,0,0,0,0,0,.333,0.90,0.279,1.19,0.22%,1.90,2,1B
39,1763,39,2023-05-12,LAD,,SDP,W 4-2,CG,4,3,1,2,1,0,1,3,0,0,1,0,.297,.369,.510,.879,6,0,0,0,0,0,.500,0.91,0.272,1.28,0.23%,2.72,2,1B
40,1764,40,2023-05-13,LAD,,SDP,W 4-2,CG,4,3,2,2,1,0,0,0,0,0,1,1,.304,.378,.519,.897,3,0,0,0,0,1,1.000,0.69,0.078,0.96,0.07%,0.96,2,1B
41,1765,41,2023-05-14,LAD,,SDP,W 4-0,CG,4,4,1,1,0,0,0,0,0,0,0,0,.302,.375,.512,.887,1,0,0,0,0,0,.250,0.58,-0.031,0.78,-0.03%,-0.45,2,1B
42,1766,42,2023-05-15,LAD,,MIN,W 9-8 (12),CG(12),6,5,1,2,1,0,0,1,1,0,1,1,.305,.379,.515,.894,3,0,0,0,0,1,.500,1.19,0.033,1.49,0.03%,1.33,2,1B
43,1767,43,2023-05-16,LAD,,MIN,L 1-5,CG,4,3,0,2,0,0,0,1,0,0,1,0,.312,.387,.518,.904,2,0,0,0,0,0,.667,1.53,0.101,1.80,0.07%,0.82,2,1B
