Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,1886,1,2024-03-20,LAD,@,SDP,W 5-2,CG,5,2,0,0,0,0,0,0,0,0,2,1,.000,.600,.000,.600,0,0,1,0,0,0,.000,1.10,0.035,1.10,0.02%,-0.58,6.00,9.00,3,1B
2,1887,2,2024-03-21,LAD,,SDP,L 11-15,CG,6,4,0,1,0,0,0,0,0,0,2,2,.167,.545,.167,.712,1,0,0,0,0,0,.500,0.73,-0.009,0.77,-0.01%,-0.12,7.00,9.00,3,1B
3,1888,3,2024-03-28,LAD,,STL,W 7-1,CG,4,3,2,2,0,0,1,3,0,0,1,1,.333,.600,.667,1.267,5,0,0,0,0,0,1.000,0.60,0.127,0.57,0.07%,2.30,25.00,34.90,3,1B
4,1889,4,2024-03-29,LAD,,STL,W 6-3,CG,4,4,0,0,0,0,0,0,0,0,0,1,.231,.474,.462,.935,0,0,0,0,0,0,.000,0.36,-0.036,0.36,-0.02%,-0.96,0.00,0.00,3,1B
5,1890,5,2024-03-30,LAD,,STL,L 5-6 (10),CG(10),5,5,1,3,0,0,0,1,0,0,0,1,.333,.500,.500,1.000,3,0,0,0,0,0,.750,1.72,0.222,1.74,0.14%,1.67,13.00,15.70,3,1B
6,1891,6,2024-03-31,LAD,,STL,W 5-4,CG,4,3,0,0,0,0,0,0,0,0,0,0,.286,.464,.429,.893,0,0,1,0,0,0,.000,1.11,-0.083,1.09,-0.05%,-0.50,2.00,3.00,3,1B
7,1892,7,2024-04-01,LAD,,SFG,W 8-3,CG,4,4,2,3,1,0,0,2,0,0,0,1,.360,.500,.520,1.020,4,0,0,0,0,0,1.000,0.66,0.087,0.71,0.06%,2.01,19.00,25.40,3,1B
8,1893,8,2024-04-02,LAD,,SFG,W 5-4,CG,4,4,0,3,1,0,0,1,1,0,0,0,.414,.528,.586,1.114,4,0,0,0,0,0,.750,0.83,0.135,0.98,0.10%,1.17,18.00,21.50,3,1B
9,1894,9,2024-04-03,LAD,,SFG,W 5-4,CG,4,3,0,0,0,0,0,0,0,0,0,1,.375,.500,.531,1.031,0,0,1,0,0,0,.000,0.84,-0.057,0.97,-0.04%,-0.36,2.00,3.00,3,1B
10,1895,10,2024-04-05,LAD,@,CHC,L 7-9,CG,5,2,3,1,0,0,0,0,0,0,3,0,.382,.533,.529,1.063,1,0,0,0,0,0,.500,1.04,0.173,1.18,0.12%,1.58,15.00,21.60,3,1B
11,1896,11,2024-04-06,LAD,@,CHC,W 4-1,CG,5,5,0,0,0,0,0,0,0,0,0,2,.333,.480,.462,.942,0,1,0,0,0,0,.000,1.16,-0.159,1.31,-0.11%,-2.26,0.00,0.00,3,1B
12,1897,12,2024-04-07,LAD,@,CHC,L 1-8,GS-7,3,3,0,1,0,0,0,0,0,0,0,0,.333,.472,.452,.924,1,0,0,0,0,0,.333,0.34,-0.004,0.39,0.00%,-0.47,3.00,3.00,3,1B
13,1898,13,2024-04-08,LAD,@,MIN,W 4-2,CG,5,4,0,2,0,0,0,1,0,0,0,0,.348,.466,.457,.922,2,0,0,0,1,0,.400,1.07,0.109,1.16,0.07%,0.37,8.00,9.50,3,1B
